State County FIPS,Postal Code,Name,Median Household Income,Year
"26 , 1",MI,Alcona County,31116,2003
"26 , 3",MI,Alger County,35623,2003
"26 , 5",MI,Allegan County,46735,2003
"26 , 7",MI,Alpena County,34606,2003
"26 , 9",MI,Antrim County,39390,2003
"26 , 11",MI,Arenac County,32740,2003
"26 , 13",MI,Baraga County,32163,2003
"26 , 15",MI,Barry County,48362,2003
"26 , 17",MI,Bay County,39229,2003
"26 , 19",MI,Benzie County,39565,2003
"26 , 21",MI,Berrien County,38512,2003
"26 , 23",MI,Branch County,38331,2003
"26 , 25",MI,Calhoun County,39211,2003
"26 , 27",MI,Cass County,41459,2003
"26 , 29",MI,Charlevoix County,41899,2003
"26 , 31",MI,Cheboygan County,34411,2003
"26 , 33",MI,Chippewa County,33593,2003
"26 , 35",MI,Clare County,30094,2003
"26 , 37",MI,Clinton County,55421,2003
"26 , 39",MI,Crawford County,32836,2003
"26 , 41",MI,Delta County,37296,2003
"26 , 43",MI,Dickinson County,37808,2003
"26 , 45",MI,Eaton County,51079,2003
"26 , 47",MI,Emmet County,42867,2003
"26 , 49",MI,Genesee County,40305,2003
"26 , 51",MI,Gladwin County,33463,2003
"26 , 53",MI,Gogebic County,28284,2003
"26 , 55",MI,Grand Traverse County,43898,2003
"26 , 57",MI,Gratiot County,37276,2003
"26 , 59",MI,Hillsdale County,40135,2003
"26 , 61",MI,Houghton County,30092,2003
"26 , 63",MI,Huron County,35877,2003
"26 , 65",MI,Ingham County,41093,2003
"26 , 67",MI,Ionia County,43870,2003
"26 , 69",MI,Iosco County,31295,2003
"26 , 71",MI,Iron County,30097,2003
"26 , 73",MI,Isabella County,35118,2003
"26 , 75",MI,Jackson County,42622,2003
"26 , 77",MI,Kalamazoo County,42266,2003
"26 , 79",MI,Kalkaska County,35531,2003
"26 , 81",MI,Kent County,46985,2003
"26 , 83",MI,Keweenaw County,29907,2003
"26 , 85",MI,Lake County,27501,2003
"26 , 87",MI,Lapeer County,51896,2003
"26 , 89",MI,Leelanau County,50211,2003
"26 , 91",MI,Lenawee County,47188,2003
"26 , 93",MI,Livingston County,71509,2003
"26 , 95",MI,Luce County,31921,2003
"26 , 97",MI,Mackinac County,33876,2003
"26 , 99",MI,Macomb County,51782,2003
"26 , 101",MI,Manistee County,35296,2003
"26 , 103",MI,Marquette County,37082,2003
"26 , 105",MI,Mason County,35657,2003
"26 , 107",MI,Mecosta County,34827,2003
"26 , 109",MI,Menominee County,34577,2003
"26 , 111",MI,Midland County,48708,2003
"26 , 113",MI,Missaukee County,34452,2003
"26 , 115",MI,Monroe County,52638,2003
"26 , 117",MI,Montcalm County,38681,2003
"26 , 119",MI,Montmorency County,30452,2003
"26 , 121",MI,Muskegon County,37726,2003
"26 , 123",MI,Newaygo County,38488,2003
"26 , 125",MI,Oakland County,63658,2003
"26 , 127",MI,Oceana County,36768,2003
"26 , 129",MI,Ogemaw County,31137,2003
"26 , 131",MI,Ontonagon County,31293,2003
"26 , 133",MI,Osceola County,35005,2003
"26 , 135",MI,Oscoda County,28291,2003
"26 , 137",MI,Otsego County,42359,2003
"26 , 139",MI,Ottawa County,54107,2003
"26 , 141",MI,Presque Isle County,33050,2003
"26 , 143",MI,Roscommon County,30062,2003
"26 , 145",MI,Saginaw County,37954,2003
"26 , 147",MI,St. Clair County,47523,2003
"26 , 149",MI,St. Joseph County,39712,2003
"26 , 151",MI,Sanilac County,37100,2003
"26 , 153",MI,Schoolcraft County,32380,2003
"26 , 155",MI,Shiawassee County,43356,2003
"26 , 157",MI,Tuscola County,39862,2003
"26 , 159",MI,Van Buren County,40513,2003
"26 , 161",MI,Washtenaw County,54542,2003
"26 , 163",MI,Wayne County,37903,2003
"26 , 165",MI,Wexford County,36351,2003
"26 , 1",MI,Alcona County,31116,2004
"26 , 3",MI,Alger County,35623,2004
"26 , 5",MI,Allegan County,46735,2004
"26 , 7",MI,Alpena County,34606,2004
"26 , 9",MI,Antrim County,39390,2004
"26 , 11",MI,Arenac County,32740,2004
"26 , 13",MI,Baraga County,32163,2004
"26 , 15",MI,Barry County,48362,2004
"26 , 17",MI,Bay County,39229,2004
"26 , 19",MI,Benzie County,39565,2004
"26 , 21",MI,Berrien County,38512,2004
"26 , 23",MI,Branch County,38331,2004
"26 , 25",MI,Calhoun County,39211,2004
"26 , 27",MI,Cass County,41459,2004
"26 , 29",MI,Charlevoix County,41899,2004
"26 , 31",MI,Cheboygan County,34411,2004
"26 , 33",MI,Chippewa County,33593,2004
"26 , 35",MI,Clare County,30094,2004
"26 , 37",MI,Clinton County,55421,2004
"26 , 39",MI,Crawford County,32836,2004
"26 , 41",MI,Delta County,37296,2004
"26 , 43",MI,Dickinson County,37808,2004
"26 , 45",MI,Eaton County,51079,2004
"26 , 47",MI,Emmet County,42867,2004
"26 , 49",MI,Genesee County,40305,2004
"26 , 51",MI,Gladwin County,33463,2004
"26 , 53",MI,Gogebic County,28284,2004
"26 , 55",MI,Grand Traverse County,43898,2004
"26 , 57",MI,Gratiot County,37276,2004
"26 , 59",MI,Hillsdale County,40135,2004
"26 , 61",MI,Houghton County,30092,2004
"26 , 63",MI,Huron County,35877,2004
"26 , 65",MI,Ingham County,41093,2004
"26 , 67",MI,Ionia County,43870,2004
"26 , 69",MI,Iosco County,31295,2004
"26 , 71",MI,Iron County,30097,2004
"26 , 73",MI,Isabella County,35118,2004
"26 , 75",MI,Jackson County,42622,2004
"26 , 77",MI,Kalamazoo County,42266,2004
"26 , 79",MI,Kalkaska County,35531,2004
"26 , 81",MI,Kent County,46985,2004
"26 , 83",MI,Keweenaw County,29907,2004
"26 , 85",MI,Lake County,27501,2004
