,State County FIPS,Postal Code,Name,Median Household Income,Year
1312,"27 , 1",MN,Aitkin County,32997,2003
1313,"27 , 3",MN,Anoka County,61249,2003
1314,"27 , 5",MN,Becker County,38824,2003
1315,"27 , 7",MN,Beltrami County,35152,2003
1316,"27 , 9",MN,Benton County,45430,2003
1317,"27 , 11",MN,Big Stone County,33092,2003
1318,"27 , 13",MN,Blue Earth County,39692,2003
1319,"27 , 15",MN,Brown County,43080,2003
1320,"27 , 17",MN,Carlton County,42651,2003
1321,"27 , 19",MN,Carver County,74242,2003
1322,"27 , 21",MN,Cass County,37833,2003
1323,"27 , 23",MN,Chippewa County,38407,2003
1324,"27 , 25",MN,Chisago County,58605,2003
1325,"27 , 27",MN,Clay County,41390,2003
1326,"27 , 29",MN,Clearwater County,32571,2003
1327,"27 , 31",MN,Cook County,38728,2003
1328,"27 , 33",MN,Cottonwood County,36066,2003
1329,"27 , 35",MN,Crow Wing County,39608,2003
1330,"27 , 37",MN,Dakota County,65512,2003
1331,"27 , 39",MN,Dodge County,54702,2003
1332,"27 , 41",MN,Douglas County,41975,2003
1333,"27 , 43",MN,Faribault County,37541,2003
1334,"27 , 45",MN,Fillmore County,39674,2003
1335,"27 , 47",MN,Freeborn County,38373,2003
1336,"27 , 49",MN,Goodhue County,50443,2003
1337,"27 , 51",MN,Grant County,37293,2003
1338,"27 , 53",MN,Hennepin County,53815,2003
1339,"27 , 55",MN,Houston County,43713,2003
1340,"27 , 57",MN,Hubbard County,36491,2003
1341,"27 , 59",MN,Isanti County,53908,2003
1342,"27 , 61",MN,Itasca County,38526,2003
1343,"27 , 63",MN,Jackson County,39182,2003
1344,"27 , 65",MN,Kanabec County,41027,2003
1345,"27 , 67",MN,Kandiyohi County,41821,2003
1346,"27 , 69",MN,Kittson County,36476,2003
1347,"27 , 71",MN,Koochiching County,38672,2003
1348,"27 , 73",MN,Lac qui Parle County,34398,2003
1349,"27 , 75",MN,Lake County,43755,2003
1350,"27 , 77",MN,Lake of the Woods County,35498,2003
1351,"27 , 79",MN,Le Sueur County,48239,2003
1352,"27 , 81",MN,Lincoln County,33516,2003
1353,"27 , 83",MN,Lyon County,41281,2003
1354,"27 , 85",MN,McLeod County,47749,2003
1355,"27 , 87",MN,Mahnomen County,30264,2003
1356,"27 , 89",MN,Marshall County,41978,2003
1357,"27 , 91",MN,Martin County,38714,2003
1358,"27 , 93",MN,Meeker County,43403,2003
1359,"27 , 95",MN,Mille Lacs County,39592,2003
1360,"27 , 97",MN,Morrison County,38954,2003
1361,"27 , 99",MN,Mower County,38979,2003
1362,"27 , 101",MN,Murray County,37834,2003
1363,"27 , 103",MN,Nicollet County,46406,2003
1364,"27 , 105",MN,Nobles County,38315,2003
1365,"27 , 107",MN,Norman County,36013,2003
1366,"27 , 109",MN,Olmsted County,56808,2003
1367,"27 , 111",MN,Otter Tail County,37492,2003
1368,"27 , 113",MN,Pennington County,37231,2003
1369,"27 , 115",MN,Pine County,37817,2003
1370,"27 , 117",MN,Pipestone County,36893,2003
1371,"27 , 119",MN,Polk County,37438,2003
1372,"27 , 121",MN,Pope County,38627,2003
1373,"27 , 123",MN,Ramsey County,46684,2003
1374,"27 , 125",MN,Red Lake County,35879,2003
1375,"27 , 127",MN,Redwood County,38387,2003
1376,"27 , 129",MN,Renville County,39412,2003
1377,"27 , 131",MN,Rice County,49404,2003
1378,"27 , 133",MN,Rock County,40121,2003
1379,"27 , 135",MN,Roseau County,44330,2003
1380,"27 , 137",MN,St. Louis County,39492,2003
1381,"27 , 139",MN,Scott County,74077,2003
1382,"27 , 141",MN,Sherburne County,62349,2003
1383,"27 , 143",MN,Sibley County,41932,2003
1384,"27 , 145",MN,Stearns County,45757,2003
1385,"27 , 147",MN,Steele County,48720,2003
1386,"27 , 149",MN,Stevens County,39575,2003
1387,"27 , 151",MN,Swift County,35656,2003
1388,"27 , 153",MN,Todd County,33744,2003
1389,"27 , 155",MN,Traverse County,33285,2003
1390,"27 , 157",MN,Wabasha County,45126,2003
1391,"27 , 159",MN,Wadena County,32261,2003
1392,"27 , 161",MN,Waseca County,43650,2003
1393,"27 , 163",MN,Washington County,72210,2003
1394,"27 , 165",MN,Watonwan County,37096,2003
1395,"27 , 167",MN,Wilkin County,41809,2003
1396,"27 , 169",MN,Winona County,39647,2003
1397,"27 , 171",MN,Wright County,60326,2003
1398,"27 , 173",MN,Yellow Medicine County,36299,2003
1312,"27 , 1",MN,Aitkin County,32997,2004
1313,"27 , 3",MN,Anoka County,61249,2004
1314,"27 , 5",MN,Becker County,38824,2004
1315,"27 , 7",MN,Beltrami County,35152,2004
1316,"27 , 9",MN,Benton County,45430,2004
1317,"27 , 11",MN,Big Stone County,33092,2004
1318,"27 , 13",MN,Blue Earth County,39692,2004
1319,"27 , 15",MN,Brown County,43080,2004
1320,"27 , 17",MN,Carlton County,42651,2004
1321,"27 , 19",MN,Carver County,74242,2004
1322,"27 , 21",MN,Cass County,37833,2004
1323,"27 , 23",MN,Chippewa County,38407,2004
1324,"27 , 25",MN,Chisago County,58605,2004
1325,"27 , 27",MN,Clay County,41390,2004
1326,"27 , 29",MN,Clearwater County,32571,2004
1327,"27 , 31",MN,Cook County,38728,2004
1328,"27 , 33",MN,Cottonwood County,36066,2004
1329,"27 , 35",MN,Crow Wing County,39608,2004
1330,"27 , 37",MN,Dakota County,65512,2004
1331,"27 , 39",MN,Dodge County,54702,2004
1332,"27 , 41",MN,Douglas County,41975,2004
1333,"27 , 43",MN,Faribault County,37541,2004
1334,"27 , 45",MN,Fillmore County,39674,2004
1335,"27 , 47",MN,Freeborn County,38373,2004
1336,"27 , 49",MN,Goodhue County,50443,2004
