,State County FIPS,Postal Code,Name,Median Household Income,Year
1481,"29 , 1",MO,Adair County,28651,2003
1482,"29 , 3",MO,Andrew County,43337,2003
1483,"29 , 5",MO,Atchison County,33091,2003
1484,"29 , 7",MO,Audrain County,32681,2003
1485,"29 , 9",MO,Barry County,30767,2003
1486,"29 , 11",MO,Barton County,32297,2003
1487,"29 , 13",MO,Bates County,34163,2003
1488,"29 , 15",MO,Benton County,28074,2003
1489,"29 , 17",MO,Bollinger County,32387,2003
1490,"29 , 19",MO,Boone County,40084,2003
1491,"29 , 21",MO,Buchanan County,35762,2003
1492,"29 , 23",MO,Butler County,29012,2003
1493,"29 , 25",MO,Caldwell County,34813,2003
1494,"29 , 27",MO,Callaway County,39370,2003
1495,"29 , 29",MO,Camden County,36833,2003
1496,"29 , 31",MO,Cape Girardeau County,38991,2003
1497,"29 , 33",MO,Carroll County,32438,2003
1498,"29 , 35",MO,Carter County,25314,2003
1499,"29 , 37",MO,Cass County,51711,2003
1500,"29 , 39",MO,Cedar County,27717,2003
1501,"29 , 41",MO,Chariton County,33734,2003
1502,"29 , 43",MO,Christian County,42643,2003
1503,"29 , 45",MO,Clark County,32458,2003
1504,"29 , 47",MO,Clay County,53657,2003
1505,"29 , 49",MO,Clinton County,44539,2003
1506,"29 , 51",MO,Cole County,46892,2003
1507,"29 , 53",MO,Cooper County,36023,2003
1508,"29 , 55",MO,Crawford County,32375,2003
1509,"29 , 57",MO,Dade County,31295,2003
1510,"29 , 59",MO,Dallas County,29237,2003
1511,"29 , 61",MO,Daviess County,32518,2003
1512,"29 , 63",MO,DeKalb County,31850,2003
1513,"29 , 65",MO,Dent County,27811,2003
1514,"29 , 67",MO,Douglas County,26804,2003
1515,"29 , 69",MO,Dunklin County,27198,2003
1516,"29 , 71",MO,Franklin County,45501,2003
1517,"29 , 73",MO,Gasconade County,36058,2003
1518,"29 , 75",MO,Gentry County,30722,2003
1519,"29 , 77",MO,Greene County,36046,2003
1520,"29 , 79",MO,Grundy County,28852,2003
1521,"29 , 81",MO,Harrison County,29065,2003
1522,"29 , 83",MO,Henry County,32855,2003
1523,"29 , 85",MO,Hickory County,25851,2003
1524,"29 , 87",MO,Holt County,31652,2003
1525,"29 , 89",MO,Howard County,31938,2003
1526,"29 , 91",MO,Howell County,27815,2003
1527,"29 , 93",MO,Iron County,27605,2003
1528,"29 , 95",MO,Jackson County,42167,2003
1529,"29 , 97",MO,Jasper County,32487,2003
1530,"29 , 99",MO,Jefferson County,49903,2003
1531,"29 , 101",MO,Johnson County,37791,2003
1532,"29 , 103",MO,Knox County,29281,2003
1533,"29 , 105",MO,Laclede County,31551,2003
1534,"29 , 107",MO,Lafayette County,38886,2003
1535,"29 , 109",MO,Lawrence County,31941,2003
1536,"29 , 111",MO,Lewis County,32755,2003
1537,"29 , 113",MO,Lincoln County,46968,2003
1538,"29 , 115",MO,Linn County,29924,2003
1539,"29 , 117",MO,Livingston County,32894,2003
1540,"29 , 119",MO,McDonald County,28480,2003
1541,"29 , 121",MO,Macon County,32516,2003
1542,"29 , 123",MO,Madison County,28158,2003
1543,"29 , 125",MO,Maries County,32829,2003
1544,"29 , 127",MO,Marion County,33723,2003
1545,"29 , 129",MO,Mercer County,28670,2003
1546,"29 , 131",MO,Miller County,31343,2003
1547,"29 , 133",MO,Mississippi County,25282,2003
1548,"29 , 135",MO,Moniteau County,36829,2003
1549,"29 , 137",MO,Monroe County,32791,2003
1550,"29 , 139",MO,Montgomery County,34751,2003
1551,"29 , 141",MO,Morgan County,31109,2003
1552,"29 , 143",MO,New Madrid County,28984,2003
1553,"29 , 145",MO,Newton County,35215,2003
1554,"29 , 147",MO,Nodaway County,34075,2003
1555,"29 , 149",MO,Oregon County,24287,2003
1556,"29 , 151",MO,Osage County,40744,2003
1557,"29 , 153",MO,Ozark County,25784,2003
1558,"29 , 155",MO,Pemiscot County,24135,2003
1559,"29 , 157",MO,Perry County,38209,2003
1560,"29 , 159",MO,Pettis County,33669,2003
1561,"29 , 161",MO,Phelps County,32436,2003
1562,"29 , 163",MO,Pike County,33188,2003
1563,"29 , 165",MO,Platte County,60117,2003
1564,"29 , 167",MO,Polk County,31402,2003
1565,"29 , 169",MO,Pulaski County,37764,2003
1566,"29 , 171",MO,Putnam County,28019,2003
1567,"29 , 173",MO,Ralls County,38619,2003
1568,"29 , 175",MO,Randolph County,32205,2003
1569,"29 , 177",MO,Ray County,44099,2003
1570,"29 , 179",MO,Reynolds County,25782,2003
1571,"29 , 181",MO,Ripley County,25295,2003
1572,"29 , 183",MO,St. Charles County,63251,2003
1573,"29 , 185",MO,St. Clair County,26520,2003
1574,"29 , 186",MO,Ste. Genevieve County,42377,2003
1575,"29 , 187",MO,St. Francois County,32531,2003
1576,"29 , 189",MO,St. Louis County,51453,2003
1577,"29 , 195",MO,Saline County,32547,2003
1578,"29 , 197",MO,Schuyler County,28910,2003
1579,"29 , 199",MO,Scotland County,29132,2003
1580,"29 , 201",MO,Scott County,33051,2003
1581,"29 , 203",MO,Shannon County,22025,2003
1582,"29 , 205",MO,Shelby County,31097,2003
1583,"29 , 207",MO,Stoddard County,30202,2003
1584,"29 , 209",MO,Stone County,33808,2003
1585,"29 , 211",MO,Sullivan County,26791,2003
1586,"29 , 213",MO,Taney County,31065,2003
1587,"29 , 215",MO,Texas County,26138,2003
1588,"29 , 217",MO,Vernon County,30476,2003
1589,"29 , 219",MO,Warren County,44546,2003
1590,"29 , 221",MO,Washington County,28153,2003
1591,"29 , 223",MO,Wayne County,24022,2003
1592,"29 , 225",MO,Webster County,34304,2003
1593,"29 , 227",MO,Worth County,27817,2003
1594,"29 , 229",MO,Wright County,25611,2003
1595,"29 , 510",MO,St. Louis city,28209,2003
1481,"29 , 1",MO,Adair County,28651,2004
1482,"29 , 3",MO,Andrew County,43337,2004
1483,"29 , 5",MO,Atchison County,33091,2004
1484,"29 , 7",MO,Audrain County,32681,2004
1485,"29 , 9",MO,Barry County,30767,2004
1486,"29 , 11",MO,Barton County,32297,2004
1487,"29 , 13",MO,Bates County,34163,2004
1488,"29 , 15",MO,Benton County,28074,2004
1489,"29 , 17",MO,Bollinger County,32387,2004
1490,"29 , 19",MO,Boone County,40084,2004
1491,"29 , 21",MO,Buchanan County,35762,2004
1492,"29 , 23",MO,Butler County,29012,2004
1493,"29 , 25",MO,Caldwell County,34813,2004
1494,"29 , 27",MO,Callaway County,39370,2004
1495,"29 , 29",MO,Camden County,36833,2004
1496,"29 , 31",MO,Cape Girardeau County,38991,2004
1497,"29 , 33",MO,Carroll County,32438,2004
1498,"29 , 35",MO,Carter County,25314,2004
1499,"29 , 37",MO,Cass County,51711,2004
1500,"29 , 39",MO,Cedar County,27717,2004
1501,"29 , 41",MO,Chariton County,33734,2004
1502,"29 , 43",MO,Christian County,42643,2004
1503,"29 , 45",MO,Clark County,32458,2004
1504,"29 , 47",MO,Clay County,53657,2004
1505,"29 , 49",MO,Clinton County,44539,2004
1506,"29 , 51",MO,Cole County,46892,2004
1507,"29 , 53",MO,Cooper County,36023,2004
1508,"29 , 55",MO,Crawford County,32375,2004
1509,"29 , 57",MO,Dade County,31295,2004
1510,"29 , 59",MO,Dallas County,29237,2004
1511,"29 , 61",MO,Daviess County,32518,2004
1512,"29 , 63",MO,DeKalb County,31850,2004
1513,"29 , 65",MO,Dent County,27811,2004
1514,"29 , 67",MO,Douglas County,26804,2004
1515,"29 , 69",MO,Dunklin County,27198,2004
