,State County FIPS,Postal Code,Name,Median Household Income,Year
1399,"28 , 1",MS,Adams County,25381,2003
1400,"28 , 3",MS,Alcorn County,30158,2003
1401,"28 , 5",MS,Amite County,27609,2003
1402,"28 , 7",MS,Attala County,26544,2003
1403,"28 , 9",MS,Benton County,25571,2003
1404,"28 , 11",MS,Bolivar County,23825,2003
1405,"28 , 13",MS,Calhoun County,27935,2003
1406,"28 , 15",MS,Carroll County,30728,2003
1407,"28 , 17",MS,Chickasaw County,28030,2003
1408,"28 , 19",MS,Choctaw County,26707,2003
1409,"28 , 21",MS,Claiborne County,22892,2003
1410,"28 , 23",MS,Clarke County,27340,2003
1411,"28 , 25",MS,Clay County,27912,2003
1412,"28 , 27",MS,Coahoma County,23416,2003
1413,"28 , 29",MS,Copiah County,27075,2003
1414,"28 , 31",MS,Covington County,27632,2003
1415,"28 , 33",MS,DeSoto County,51952,2003
1416,"28 , 35",MS,Forrest County,29411,2003
1417,"28 , 37",MS,Franklin County,26312,2003
1418,"28 , 39",MS,George County,36469,2003
1419,"28 , 41",MS,Greene County,28784,2003
1420,"28 , 43",MS,Grenada County,29099,2003
1421,"28 , 45",MS,Hancock County,36058,2003
1422,"28 , 47",MS,Harrison County,35062,2003
1423,"28 , 49",MS,Hinds County,34115,2003
1424,"28 , 51",MS,Holmes County,19128,2003
1425,"28 , 53",MS,Humphreys County,20193,2003
1426,"28 , 55",MS,Issaquena County,19893,2003
1427,"28 , 57",MS,Itawamba County,34403,2003
1428,"28 , 59",MS,Jackson County,39455,2003
1429,"28 , 61",MS,Jasper County,25871,2003
1430,"28 , 63",MS,Jefferson County,19836,2003
1431,"28 , 65",MS,Jefferson Davis County,22027,2003
1432,"28 , 67",MS,Jones County,29282,2003
1433,"28 , 69",MS,Kemper County,24763,2003
1434,"28 , 71",MS,Lafayette County,31338,2003
1435,"28 , 73",MS,Lamar County,39520,2003
1436,"28 , 75",MS,Lauderdale County,31597,2003
1437,"28 , 77",MS,Lawrence County,30242,2003
1438,"28 , 79",MS,Leake County,27646,2003
1439,"28 , 81",MS,Lee County,37057,2003
1440,"28 , 83",MS,Leflore County,21943,2003
1441,"28 , 85",MS,Lincoln County,30353,2003
1442,"28 , 87",MS,Lowndes County,31899,2003
1443,"28 , 89",MS,Madison County,49648,2003
1444,"28 , 91",MS,Marion County,26576,2003
1445,"28 , 93",MS,Marshall County,29673,2003
1446,"28 , 95",MS,Monroe County,30958,2003
1447,"28 , 97",MS,Montgomery County,25959,2003
1448,"28 , 99",MS,Neshoba County,30533,2003
1449,"28 , 101",MS,Newton County,30062,2003
1450,"28 , 103",MS,Noxubee County,22163,2003
1451,"28 , 105",MS,Oktibbeha County,27691,2003
1452,"28 , 107",MS,Panola County,27953,2003
1453,"28 , 109",MS,Pearl River County,32160,2003
1454,"28 , 111",MS,Perry County,28994,2003
1455,"28 , 113",MS,Pike County,25518,2003
1456,"28 , 115",MS,Pontotoc County,33888,2003
1457,"28 , 117",MS,Prentiss County,29849,2003
1458,"28 , 119",MS,Quitman County,21217,2003
1459,"28 , 121",MS,Rankin County,46621,2003
1460,"28 , 123",MS,Scott County,27466,2003
1461,"28 , 125",MS,Sharkey County,22386,2003
1462,"28 , 127",MS,Simpson County,28178,2003
1463,"28 , 129",MS,Smith County,29306,2003
1464,"28 , 131",MS,Stone County,32125,2003
1465,"28 , 133",MS,Sunflower County,22527,2003
1466,"28 , 135",MS,Tallahatchie County,23111,2003
1467,"28 , 137",MS,Tate County,36210,2003
1468,"28 , 139",MS,Tippah County,30534,2003
1469,"28 , 141",MS,Tishomingo County,29643,2003
1470,"28 , 143",MS,Tunica County,26230,2003
