State County FIPS,Postal Code,Name,Median Household Income,Year
"30 , 1",MT,Beaverhead County,31605,2003
"30 , 3",MT,Big Horn County,27719,2003
"30 , 5",MT,Blaine County,25373,2003
"30 , 7",MT,Broadwater County,33360,2003
"30 , 9",MT,Carbon County,34499,2003
"30 , 11",MT,Carter County,26301,2003
"30 , 13",MT,Cascade County,34546,2003
"30 , 15",MT,Chouteau County,28774,2003
"30 , 17",MT,Custer County,31980,2003
"30 , 19",MT,Daniels County,28081,2003
"30 , 21",MT,Dawson County,33900,2003
"30 , 23",MT,Deer Lodge County,28553,2003
"30 , 25",MT,Fallon County,35354,2003
"30 , 27",MT,Fergus County,31612,2003
"30 , 29",MT,Flathead County,37492,2003
"30 , 31",MT,Gallatin County,40724,2003
"30 , 33",MT,Garfield County,28572,2003
"30 , 35",MT,Glacier County,27129,2003
"30 , 37",MT,Golden Valley County,24739,2003
"30 , 39",MT,Granite County,30988,2003
"30 , 41",MT,Hill County,32365,2003
"30 , 43",MT,Jefferson County,45407,2003
"30 , 45",MT,Judith Basin County,27014,2003
"30 , 47",MT,Lake County,30362,2003
"30 , 49",MT,Lewis and Clark County,40578,2003
"30 , 51",MT,Liberty County,28258,2003
"30 , 53",MT,Lincoln County,29331,2003
"30 , 55",MT,McCone County,27921,2003
"30 , 57",MT,Madison County,31856,2003
"30 , 59",MT,Meagher County,26010,2003
"30 , 61",MT,Mineral County,29904,2003
"30 , 63",MT,Missoula County,36790,2003
"30 , 65",MT,Musselshell County,27499,2003
"30 , 67",MT,Park County,32837,2003
"30 , 69",MT,Petroleum County,23622,2003
"30 , 71",MT,Phillips County,29472,2003
"30 , 73",MT,Pondera County,29420,2003
"30 , 75",MT,Powder River County,28851,2003
"30 , 77",MT,Powell County,29676,2003
"30 , 79",MT,Prairie County,28238,2003
"30 , 81",MT,Ravalli County,34907,2003
"30 , 83",MT,Richland County,34365,2003
"30 , 85",MT,Roosevelt County,25677,2003
"30 , 87",MT,Rosebud County,38696,2003
"30 , 89",MT,Sanders County,28456,2003
"30 , 91",MT,Sheridan County,29651,2003
"30 , 93",MT,Silver Bow County,32263,2003
"30 , 95",MT,Stillwater County,44890,2003
"30 , 97",MT,Sweet Grass County,34253,2003
"30 , 99",MT,Teton County,30928,2003
"30 , 101",MT,Toole County,29946,2003
"30 , 103",MT,Treasure County,30961,2003
"30 , 105",MT,Valley County,32391,2003
"30 , 107",MT,Wheatland County,23620,2003
"30 , 109",MT,Wibaux County,29653,2003
"30 , 111",MT,Yellowstone County,41174,2003
"30 , 1",MT,Beaverhead County,31605,2004
"30 , 3",MT,Big Horn County,27719,2004
"30 , 5",MT,Blaine County,25373,2004
"30 , 7",MT,Broadwater County,33360,2004
"30 , 9",MT,Carbon County,34499,2004
"30 , 11",MT,Carter County,26301,2004
"30 , 13",MT,Cascade County,34546,2004
"30 , 15",MT,Chouteau County,28774,2004
"30 , 17",MT,Custer County,31980,2004
"30 , 19",MT,Daniels County,28081,2004
"30 , 21",MT,Dawson County,33900,2004
"30 , 23",MT,Deer Lodge County,28553,2004
"30 , 25",MT,Fallon County,35354,2004
"30 , 27",MT,Fergus County,31612,2004
"30 , 29",MT,Flathead County,37492,2004
"30 , 31",MT,Gallatin County,40724,2004
"30 , 33",MT,Garfield County,28572,2004
"30 , 35",MT,Glacier County,27129,2004
"30 , 37",MT,Golden Valley County,24739,2004
"30 , 39",MT,Granite County,30988,2004
"30 , 41",MT,Hill County,32365,2004
"30 , 43",MT,Jefferson County,45407,2004
"30 , 45",MT,Judith Basin County,27014,2004
"30 , 47",MT,Lake County,30362,2004
"30 , 49",MT,Lewis and Clark County,40578,2004
"30 , 51",MT,Liberty County,28258,2004
"30 , 53",MT,Lincoln County,29331,2004
"30 , 55",MT,McCone County,27921,2004
"30 , 57",MT,Madison County,31856,2004
"30 , 59",MT,Meagher County,26010,2004
"30 , 61",MT,Mineral County,29904,2004
"30 , 63",MT,Missoula County,36790,2004
"30 , 65",MT,Musselshell County,27499,2004
"30 , 67",MT,Park County,32837,2004
"30 , 69",MT,Petroleum County,23622,2004
"30 , 71",MT,Phillips County,29472,2004
"30 , 73",MT,Pondera County,29420,2004
"30 , 75",MT,Powder River County,28851,2004
"30 , 77",MT,Powell County,29676,2004
"30 , 79",MT,Prairie County,28238,2004
"30 , 81",MT,Ravalli County,34907,2004
"30 , 83",MT,Richland County,34365,2004
"30 , 85",MT,Roosevelt County,25677,2004
"30 , 87",MT,Rosebud County,38696,2004
"30 , 89",MT,Sanders County,28456,2004
"30 , 91",MT,Sheridan County,29651,2004
"30 , 93",MT,Silver Bow County,32263,2004
"30 , 95",MT,Stillwater County,44890,2004
"30 , 97",MT,Sweet Grass County,34253,2004
"30 , 99",MT,Teton County,30928,2004
"30 , 101",MT,Toole County,29946,2004
"30 , 103",MT,Treasure County,30961,2004
"30 , 105",MT,Valley County,32391,2004
"30 , 107",MT,Wheatland County,23620,2004
"30 , 109",MT,Wibaux County,29653,2004
"30 , 111",MT,Yellowstone County,41174,2004
"30 , 1",MT,Beaverhead County,31605,2005
"30 , 3",MT,Big Horn County,27719,2005
"30 , 5",MT,Blaine County,25373,2005
"30 , 7",MT,Broadwater County,33360,2005
"30 , 9",MT,Carbon County,34499,2005
"30 , 11",MT,Carter County,26301,2005
"30 , 13",MT,Cascade County,34546,2005
"30 , 15",MT,Chouteau County,28774,2005
