,State County FIPS,Postal Code,Name,Median Household Income,Year
1652,"31 , 1",NE,Adams County,38341,2003
1653,"31 , 3",NE,Antelope County,33260,2003
1654,"31 , 5",NE,Arthur County,30848,2003
1655,"31 , 7",NE,Banner County,33703,2003
1656,"31 , 9",NE,Blaine County,27810,2003
1657,"31 , 11",NE,Boone County,34055,2003
1658,"31 , 13",NE,Box Butte County,41119,2003
1659,"31 , 15",NE,Boyd County,27834,2003
1660,"31 , 17",NE,Brown County,31250,2003
1661,"31 , 19",NE,Buffalo County,39968,2003
1662,"31 , 21",NE,Burt County,35319,2003
1663,"31 , 23",NE,Butler County,38209,2003
1664,"31 , 25",NE,Cass County,51019,2003
1665,"31 , 27",NE,Cedar County,38977,2003
1666,"31 , 29",NE,Chase County,34682,2003
1667,"31 , 31",NE,Cherry County,32253,2003
1668,"31 , 33",NE,Cheyenne County,39396,2003
1669,"31 , 35",NE,Clay County,36239,2003
1670,"31 , 37",NE,Colfax County,37261,2003
1671,"31 , 39",NE,Cuming County,36851,2003
1672,"31 , 41",NE,Custer County,33494,2003
1673,"31 , 43",NE,Dakota County,38864,2003
1674,"31 , 45",NE,Dawes County,30007,2003
1675,"31 , 47",NE,Dawson County,36624,2003
1676,"31 , 49",NE,Deuel County,35308,2003
1677,"31 , 51",NE,Dixon County,37285,2003
1678,"31 , 53",NE,Dodge County,39127,2003
1679,"31 , 55",NE,Douglas County,46711,2003
1680,"31 , 57",NE,Dundy County,28846,2003
1681,"31 , 59",NE,Fillmore County,37449,2003
1682,"31 , 61",NE,Franklin County,32069,2003
1683,"31 , 63",NE,Frontier County,34419,2003
1684,"31 , 65",NE,Furnas County,31592,2003
1685,"31 , 67",NE,Gage County,36826,2003
1686,"31 , 69",NE,Garden County,28649,2003
1687,"31 , 71",NE,Garfield County,29624,2003
1688,"31 , 73",NE,Gosper County,38297,2003
1689,"31 , 75",NE,Grant County,36833,2003
1690,"31 , 77",NE,Greeley County,32251,2003
1691,"31 , 79",NE,Hall County,39073,2003
1692,"31 , 81",NE,Hamilton County,44016,2003
1693,"31 , 83",NE,Harlan County,32345,2003
1694,"31 , 85",NE,Hayes County,26372,2003
1695,"31 , 87",NE,Hitchcock County,29759,2003
1696,"31 , 89",NE,Holt County,33077,2003
1697,"31 , 91",NE,Hooker County,32418,2003
1698,"31 , 93",NE,Howard County,35836,2003
1699,"31 , 95",NE,Jefferson County,34735,2003
1700,"31 , 97",NE,Johnson County,37207,2003
1701,"31 , 99",NE,Kearney County,40403,2003
1702,"31 , 101",NE,Keith County,33796,2003
1703,"31 , 103",NE,Keya Paha County,31260,2003
1704,"31 , 105",NE,Kimball County,31457,2003
1705,"31 , 107",NE,Knox County,30724,2003
1706,"31 , 109",NE,Lancaster County,44800,2003
1707,"31 , 111",NE,Lincoln County,39433,2003
