State County FIPS,Postal Code,Name,Median Household Income,Year
"33 , 1",NH,Belknap County,46877,2003
"33 , 3",NH,Carroll County,43210,2003
"33 , 5",NH,Cheshire County,45179,2003
"33 , 7",NH,Coos County,35260,2003
"33 , 9",NH,Grafton County,46048,2003
"33 , 11",NH,Hillsborough County,56202,2003
"33 , 13",NH,Merrimack County,51508,2003
"33 , 15",NH,Rockingham County,65209,2003
"33 , 17",NH,Strafford County,46354,2003
"33 , 19",NH,Sullivan County,43958,2003
"33 , 1",NH,Belknap County,46877,2004
"33 , 3",NH,Carroll County,43210,2004
"33 , 5",NH,Cheshire County,45179,2004
"33 , 7",NH,Coos County,35260,2004
"33 , 9",NH,Grafton County,46048,2004
"33 , 11",NH,Hillsborough County,56202,2004
"33 , 13",NH,Merrimack County,51508,2004
"33 , 15",NH,Rockingham County,65209,2004
"33 , 17",NH,Strafford County,46354,2004
"33 , 19",NH,Sullivan County,43958,2004
"33 , 1",NH,Belknap County,46877,2005
"33 , 3",NH,Carroll County,43210,2005
"33 , 5",NH,Cheshire County,45179,2005
"33 , 7",NH,Coos County,35260,2005
"33 , 9",NH,Grafton County,46048,2005
"33 , 11",NH,Hillsborough County,56202,2005
"33 , 13",NH,Merrimack County,51508,2005
"33 , 15",NH,Rockingham County,65209,2005
"33 , 17",NH,Strafford County,46354,2005
"33 , 19",NH,Sullivan County,43958,2005
"33 , 1",NH,Belknap County,46877,2006
"33 , 3",NH,Carroll County,43210,2006
"33 , 5",NH,Cheshire County,45179,2006
"33 , 7",NH,Coos County,35260,2006
"33 , 9",NH,Grafton County,46048,2006
"33 , 11",NH,Hillsborough County,56202,2006
"33 , 13",NH,Merrimack County,51508,2006
"33 , 15",NH,Rockingham County,65209,2006
"33 , 17",NH,Strafford County,46354,2006
"33 , 19",NH,Sullivan County,43958,2006
"33 , 1",NH,Belknap County,46877,2007
"33 , 3",NH,Carroll County,43210,2007
"33 , 5",NH,Cheshire County,45179,2007
"33 , 7",NH,Coos County,35260,2007
"33 , 9",NH,Grafton County,46048,2007
"33 , 11",NH,Hillsborough County,56202,2007
"33 , 13",NH,Merrimack County,51508,2007
"33 , 15",NH,Rockingham County,65209,2007
"33 , 17",NH,Strafford County,46354,2007
"33 , 19",NH,Sullivan County,43958,2007
"33 , 1",NH,Belknap County,46877,2008
"33 , 3",NH,Carroll County,43210,2008
"33 , 5",NH,Cheshire County,45179,2008
"33 , 7",NH,Coos County,35260,2008
"33 , 9",NH,Grafton County,46048,2008
"33 , 11",NH,Hillsborough County,56202,2008
"33 , 13",NH,Merrimack County,51508,2008
"33 , 15",NH,Rockingham County,65209,2008
"33 , 17",NH,Strafford County,46354,2008
"33 , 19",NH,Sullivan County,43958,2008
"33 , 1",NH,Belknap County,46877,2009
"33 , 3",NH,Carroll County,43210,2009
"33 , 5",NH,Cheshire County,45179,2009
"33 , 7",NH,Coos County,35260,2009
"33 , 9",NH,Grafton County,46048,2009
"33 , 11",NH,Hillsborough County,56202,2009
"33 , 13",NH,Merrimack County,51508,2009
"33 , 15",NH,Rockingham County,65209,2009
"33 , 17",NH,Strafford County,46354,2009
"33 , 19",NH,Sullivan County,43958,2009
"33 , 1",NH,Belknap County,46877,2010
"33 , 3",NH,Carroll County,43210,2010
"33 , 5",NH,Cheshire County,45179,2010
"33 , 7",NH,Coos County,35260,2010
"33 , 9",NH,Grafton County,46048,2010
"33 , 11",NH,Hillsborough County,56202,2010
"33 , 13",NH,Merrimack County,51508,2010
"33 , 15",NH,Rockingham County,65209,2010
"33 , 17",NH,Strafford County,46354,2010
"33 , 19",NH,Sullivan County,43958,2010
"33 , 1",NH,Belknap County,46877,2011
"33 , 3",NH,Carroll County,43210,2011
"33 , 5",NH,Cheshire County,45179,2011
"33 , 7",NH,Coos County,35260,2011
"33 , 9",NH,Grafton County,46048,2011
"33 , 11",NH,Hillsborough County,56202,2011
"33 , 13",NH,Merrimack County,51508,2011
"33 , 15",NH,Rockingham County,65209,2011
"33 , 17",NH,Strafford County,46354,2011
"33 , 19",NH,Sullivan County,43958,2011
"33 , 1",NH,Belknap County,46877,2012
"33 , 3",NH,Carroll County,43210,2012
"33 , 5",NH,Cheshire County,45179,2012
"33 , 7",NH,Coos County,35260,2012
"33 , 9",NH,Grafton County,46048,2012
"33 , 11",NH,Hillsborough County,56202,2012
"33 , 13",NH,Merrimack County,51508,2012
"33 , 15",NH,Rockingham County,65209,2012
"33 , 17",NH,Strafford County,46354,2012
"33 , 19",NH,Sullivan County,43958,2012
"33 , 1",NH,Belknap County,46877,2013
"33 , 3",NH,Carroll County,43210,2013
"33 , 5",NH,Cheshire County,45179,2013
