,State County FIPS,Postal Code,Name,Median Household Income,Year
1772,"34 , 1",NJ,Atlantic County,43200,2003
1773,"34 , 3",NJ,Bergen County,64046,2003
1774,"34 , 5",NJ,Burlington County,61479,2003
1775,"34 , 7",NJ,Camden County,47577,2003
1776,"34 , 9",NJ,Cape May County,42072,2003
1777,"34 , 11",NJ,Cumberland County,37931,2003
1778,"34 , 13",NJ,Essex County,42852,2003
1779,"34 , 15",NJ,Gloucester County,57117,2003
1780,"34 , 17",NJ,Hudson County,38828,2003
1781,"34 , 19",NJ,Hunterdon County,84126,2003
1782,"34 , 21",NJ,Mercer County,55587,2003
1783,"34 , 23",NJ,Middlesex County,59359,2003
1784,"34 , 25",NJ,Monmouth County,68911,2003
1785,"34 , 27",NJ,Morris County,80077,2003
1786,"34 , 29",NJ,Ocean County,48269,2003
1787,"34 , 31",NJ,Passaic County,46191,2003
1788,"34 , 33",NJ,Salem County,46952,2003
1789,"34 , 35",NJ,Somerset County,78130,2003
1790,"34 , 37",NJ,Sussex County,69369,2003
1791,"34 , 39",NJ,Union County,53945,2003
1792,"34 , 41",NJ,Warren County,58998,2003
1772,"34 , 1",NJ,Atlantic County,43200,2004
1773,"34 , 3",NJ,Bergen County,64046,2004
1774,"34 , 5",NJ,Burlington County,61479,2004
1775,"34 , 7",NJ,Camden County,47577,2004
1776,"34 , 9",NJ,Cape May County,42072,2004
1777,"34 , 11",NJ,Cumberland County,37931,2004
1778,"34 , 13",NJ,Essex County,42852,2004
1779,"34 , 15",NJ,Gloucester County,57117,2004
1780,"34 , 17",NJ,Hudson County,38828,2004
1781,"34 , 19",NJ,Hunterdon County,84126,2004
1782,"34 , 21",NJ,Mercer County,55587,2004
1783,"34 , 23",NJ,Middlesex County,59359,2004
1784,"34 , 25",NJ,Monmouth County,68911,2004
1785,"34 , 27",NJ,Morris County,80077,2004
1786,"34 , 29",NJ,Ocean County,48269,2004
1787,"34 , 31",NJ,Passaic County,46191,2004
1788,"34 , 33",NJ,Salem County,46952,2004
1789,"34 , 35",NJ,Somerset County,78130,2004
1790,"34 , 37",NJ,Sussex County,69369,2004
1791,"34 , 39",NJ,Union County,53945,2004
1792,"34 , 41",NJ,Warren County,58998,2004
1772,"34 , 1",NJ,Atlantic County,43200,2005
1773,"34 , 3",NJ,Bergen County,64046,2005
1774,"34 , 5",NJ,Burlington County,61479,2005
1775,"34 , 7",NJ,Camden County,47577,2005
1776,"34 , 9",NJ,Cape May County,42072,2005
1777,"34 , 11",NJ,Cumberland County,37931,2005
1778,"34 , 13",NJ,Essex County,42852,2005
1779,"34 , 15",NJ,Gloucester County,57117,2005
1780,"34 , 17",NJ,Hudson County,38828,2005
1781,"34 , 19",NJ,Hunterdon County,84126,2005
1782,"34 , 21",NJ,Mercer County,55587,2005
1783,"34 , 23",NJ,Middlesex County,59359,2005
1784,"34 , 25",NJ,Monmouth County,68911,2005
1785,"34 , 27",NJ,Morris County,80077,2005
1786,"34 , 29",NJ,Ocean County,48269,2005
1787,"34 , 31",NJ,Passaic County,46191,2005
1788,"34 , 33",NJ,Salem County,46952,2005
1789,"34 , 35",NJ,Somerset County,78130,2005
1790,"34 , 37",NJ,Sussex County,69369,2005
1791,"34 , 39",NJ,Union County,53945,2005
1792,"34 , 41",NJ,Warren County,58998,2005
1772,"34 , 1",NJ,Atlantic County,43200,2006
1773,"34 , 3",NJ,Bergen County,64046,2006
1774,"34 , 5",NJ,Burlington County,61479,2006
1775,"34 , 7",NJ,Camden County,47577,2006
1776,"34 , 9",NJ,Cape May County,42072,2006
1777,"34 , 11",NJ,Cumberland County,37931,2006
1778,"34 , 13",NJ,Essex County,42852,2006
1779,"34 , 15",NJ,Gloucester County,57117,2006
1780,"34 , 17",NJ,Hudson County,38828,2006
1781,"34 , 19",NJ,Hunterdon County,84126,2006
1782,"34 , 21",NJ,Mercer County,55587,2006
1783,"34 , 23",NJ,Middlesex County,59359,2006
1784,"34 , 25",NJ,Monmouth County,68911,2006
1785,"34 , 27",NJ,Morris County,80077,2006
1786,"34 , 29",NJ,Ocean County,48269,2006
1787,"34 , 31",NJ,Passaic County,46191,2006
1788,"34 , 33",NJ,Salem County,46952,2006
1789,"34 , 35",NJ,Somerset County,78130,2006
