,State County FIPS,Postal Code,Name,Median Household Income,Year
1793,"35 , 1",NM,Bernalillo County,41115,2003
1794,"35 , 3",NM,Catron County,24267,2003
1795,"35 , 5",NM,Chaves County,28708,2003
1796,"35 , 6",NM,Cibola County,28592,2003
1797,"35 , 7",NM,Colfax County,31644,2003
1798,"35 , 9",NM,Curry County,30823,2003
1799,"35 , 11",NM,DeBaca County,26201,2003
1800,"35 , 13",NM,Dona Ana County,30189,2003
1801,"35 , 15",NM,Eddy County,34712,2003
1802,"35 , 17",NM,Grant County,28301,2003
1803,"35 , 19",NM,Guadalupe County,24202,2003
1804,"35 , 21",NM,Harding County,24604,2003
1805,"35 , 23",NM,Hidalgo County,22540,2003
1806,"35 , 25",NM,Lea County,33612,2003
1807,"35 , 27",NM,Lincoln County,33013,2003
1808,"35 , 28",NM,Los Alamos County,93383,2003
1809,"35 , 29",NM,Luna County,22498,2003
1810,"35 , 31",NM,McKinley County,26558,2003
1811,"35 , 33",NM,Mora County,24845,2003
1812,"35 , 35",NM,Otero County,31427,2003
1813,"35 , 37",NM,Quay County,23636,2003
1814,"35 , 39",NM,Rio Arriba County,32523,2003
1815,"35 , 41",NM,Roosevelt County,27315,2003
1816,"35 , 43",NM,Sandoval County,46540,2003
1817,"35 , 45",NM,San Juan County,35976,2003
1818,"35 , 47",NM,San Miguel County,27131,2003
1819,"35 , 49",NM,Santa Fe County,43045,2003
1820,"35 , 51",NM,Sierra County,23163,2003
1821,"35 , 53",NM,Socorro County,25759,2003
1822,"35 , 55",NM,Taos County,28836,2003
1823,"35 , 57",NM,Torrance County,29759,2003
1824,"35 , 59",NM,Union County,28498,2003
1825,"35 , 61",NM,Valencia County,35985,2003
1793,"35 , 1",NM,Bernalillo County,41115,2004
1794,"35 , 3",NM,Catron County,24267,2004
1795,"35 , 5",NM,Chaves County,28708,2004
1796,"35 , 6",NM,Cibola County,28592,2004
1797,"35 , 7",NM,Colfax County,31644,2004
1798,"35 , 9",NM,Curry County,30823,2004
1799,"35 , 11",NM,DeBaca County,26201,2004
1800,"35 , 13",NM,Dona Ana County,30189,2004
1801,"35 , 15",NM,Eddy County,34712,2004
1802,"35 , 17",NM,Grant County,28301,2004
1803,"35 , 19",NM,Guadalupe County,24202,2004
1804,"35 , 21",NM,Harding County,24604,2004
1805,"35 , 23",NM,Hidalgo County,22540,2004
1806,"35 , 25",NM,Lea County,33612,2004
1807,"35 , 27",NM,Lincoln County,33013,2004
1808,"35 , 28",NM,Los Alamos County,93383,2004
