,State County FIPS,Postal Code,Name,Median Household Income,Year
1745,"32 , 1",NV,Churchill County,43069,2003
1746,"32 , 3",NV,Clark County,43756,2003
1747,"32 , 5",NV,Douglas County,53301,2003
1748,"32 , 7",NV,Elko County,49762,2003
1749,"32 , 9",NV,Esmeralda County,35622,2003
1750,"32 , 11",NV,Eureka County,41068,2003
1751,"32 , 13",NV,Humboldt County,45113,2003
1752,"32 , 15",NV,Lander County,46237,2003
1753,"32 , 17",NV,Lincoln County,36160,2003
1754,"32 , 19",NV,Lyon County,43373,2003
1755,"32 , 21",NV,Mineral County,31481,2003
1756,"32 , 23",NV,Nye County,38311,2003
1757,"32 , 27",NV,Pershing County,37228,2003
1758,"32 , 29",NV,Storey County,50077,2003
1759,"32 , 31",NV,Washoe County,50155,2003
1760,"32 , 33",NV,White Pine County,36765,2003
1761,"32 , 510",NV,Carson City,43142,2003
1745,"32 , 1",NV,Churchill County,43069,2004
1746,"32 , 3",NV,Clark County,43756,2004
1747,"32 , 5",NV,Douglas County,53301,2004
1748,"32 , 7",NV,Elko County,49762,2004
1749,"32 , 9",NV,Esmeralda County,35622,2004
1750,"32 , 11",NV,Eureka County,41068,2004
1751,"32 , 13",NV,Humboldt County,45113,2004
1752,"32 , 15",NV,Lander County,46237,2004
1753,"32 , 17",NV,Lincoln County,36160,2004
1754,"32 , 19",NV,Lyon County,43373,2004
1755,"32 , 21",NV,Mineral County,31481,2004
1756,"32 , 23",NV,Nye County,38311,2004
1757,"32 , 27",NV,Pershing County,37228,2004
1758,"32 , 29",NV,Storey County,50077,2004
1759,"32 , 31",NV,Washoe County,50155,2004
1760,"32 , 33",NV,White Pine County,36765,2004
1761,"32 , 510",NV,Carson City,43142,2004
1745,"32 , 1",NV,Churchill County,43069,2005
1746,"32 , 3",NV,Clark County,43756,2005
1747,"32 , 5",NV,Douglas County,53301,2005
1748,"32 , 7",NV,Elko County,49762,2005
1749,"32 , 9",NV,Esmeralda County,35622,2005
1750,"32 , 11",NV,Eureka County,41068,2005
1751,"32 , 13",NV,Humboldt County,45113,2005
1752,"32 , 15",NV,Lander County,46237,2005
1753,"32 , 17",NV,Lincoln County,36160,2005
1754,"32 , 19",NV,Lyon County,43373,2005
1755,"32 , 21",NV,Mineral County,31481,2005
1756,"32 , 23",NV,Nye County,38311,2005
1757,"32 , 27",NV,Pershing County,37228,2005
1758,"32 , 29",NV,Storey County,50077,2005
1759,"32 , 31",NV,Washoe County,50155,2005
1760,"32 , 33",NV,White Pine County,36765,2005
1761,"32 , 510",NV,Carson City,43142,2005
1745,"32 , 1",NV,Churchill County,43069,2006
1746,"32 , 3",NV,Clark County,43756,2006
1747,"32 , 5",NV,Douglas County,53301,2006
1748,"32 , 7",NV,Elko County,49762,2006
1749,"32 , 9",NV,Esmeralda County,35622,2006
1750,"32 , 11",NV,Eureka County,41068,2006
1751,"32 , 13",NV,Humboldt County,45113,2006
1752,"32 , 15",NV,Lander County,46237,2006
1753,"32 , 17",NV,Lincoln County,36160,2006
1754,"32 , 19",NV,Lyon County,43373,2006
1755,"32 , 21",NV,Mineral County,31481,2006
1756,"32 , 23",NV,Nye County,38311,2006
1757,"32 , 27",NV,Pershing County,37228,2006
1758,"32 , 29",NV,Storey County,50077,2006
1759,"32 , 31",NV,Washoe County,50155,2006
1760,"32 , 33",NV,White Pine County,36765,2006
1761,"32 , 510",NV,Carson City,43142,2006
1745,"32 , 1",NV,Churchill County,43069,2007
1746,"32 , 3",NV,Clark County,43756,2007
1747,"32 , 5",NV,Douglas County,53301,2007
1748,"32 , 7",NV,Elko County,49762,2007
1749,"32 , 9",NV,Esmeralda County,35622,2007
1750,"32 , 11",NV,Eureka County,41068,2007
1751,"32 , 13",NV,Humboldt County,45113,2007
1752,"32 , 15",NV,Lander County,46237,2007
1753,"32 , 17",NV,Lincoln County,36160,2007
1754,"32 , 19",NV,Lyon County,43373,2007
1755,"32 , 21",NV,Mineral County,31481,2007
1756,"32 , 23",NV,Nye County,38311,2007
1757,"32 , 27",NV,Pershing County,37228,2007
1758,"32 , 29",NV,Storey County,50077,2007
1759,"32 , 31",NV,Washoe County,50155,2007
1760,"32 , 33",NV,White Pine County,36765,2007
1761,"32 , 510",NV,Carson City,43142,2007
1745,"32 , 1",NV,Churchill County,43069,2008
1746,"32 , 3",NV,Clark County,43756,2008
1747,"32 , 5",NV,Douglas County,53301,2008
1748,"32 , 7",NV,Elko County,49762,2008
1749,"32 , 9",NV,Esmeralda County,35622,2008
1750,"32 , 11",NV,Eureka County,41068,2008
1751,"32 , 13",NV,Humboldt County,45113,2008
1752,"32 , 15",NV,Lander County,46237,2008
1753,"32 , 17",NV,Lincoln County,36160,2008
1754,"32 , 19",NV,Lyon County,43373,2008
1755,"32 , 21",NV,Mineral County,31481,2008
1756,"32 , 23",NV,Nye County,38311,2008
1757,"32 , 27",NV,Pershing County,37228,2008
1758,"32 , 29",NV,Storey County,50077,2008
1759,"32 , 31",NV,Washoe County,50155,2008
1760,"32 , 33",NV,White Pine County,36765,2008
1761,"32 , 510",NV,Carson City,43142,2008
1745,"32 , 1",NV,Churchill County,43069,2009
1746,"32 , 3",NV,Clark County,43756,2009
1747,"32 , 5",NV,Douglas County,53301,2009
1748,"32 , 7",NV,Elko County,49762,2009
1749,"32 , 9",NV,Esmeralda County,35622,2009
1750,"32 , 11",NV,Eureka County,41068,2009
1751,"32 , 13",NV,Humboldt County,45113,2009
1752,"32 , 15",NV,Lander County,46237,2009
1753,"32 , 17",NV,Lincoln County,36160,2009
1754,"32 , 19",NV,Lyon County,43373,2009
1755,"32 , 21",NV,Mineral County,31481,2009
1756,"32 , 23",NV,Nye County,38311,2009
1757,"32 , 27",NV,Pershing County,37228,2009
1758,"32 , 29",NV,Storey County,50077,2009
1759,"32 , 31",NV,Washoe County,50155,2009
1760,"32 , 33",NV,White Pine County,36765,2009
1761,"32 , 510",NV,Carson City,43142,2009
1745,"32 , 1",NV,Churchill County,43069,2010
1746,"32 , 3",NV,Clark County,43756,2010
1747,"32 , 5",NV,Douglas County,53301,2010
1748,"32 , 7",NV,Elko County,49762,2010
1749,"32 , 9",NV,Esmeralda County,35622,2010
1750,"32 , 11",NV,Eureka County,41068,2010
1751,"32 , 13",NV,Humboldt County,45113,2010
1752,"32 , 15",NV,Lander County,46237,2010
