,State County FIPS,Postal Code,Name,Median Household Income,Year
1826,"36 , 1",NY,Albany County,44352,2003
1827,"36 , 3",NY,Allegany County,32902,2003
1828,"36 , 5",NY,Bronx County,27855,2003
1829,"36 , 7",NY,Broome County,36222,2003
1830,"36 , 9",NY,Cattaraugus County,34915,2003
1831,"36 , 11",NY,Cayuga County,38146,2003
1832,"36 , 13",NY,Chautauqua County,33958,2003
1833,"36 , 15",NY,Chemung County,36221,2003
1834,"36 , 17",NY,Chenango County,35088,2003
1835,"36 , 19",NY,Clinton County,38853,2003
1836,"36 , 21",NY,Columbia County,41435,2003
1837,"36 , 23",NY,Cortland County,35547,2003
1838,"36 , 25",NY,Delaware County,32830,2003
1839,"36 , 27",NY,Dutchess County,54518,2003
1840,"36 , 29",NY,Erie County,40828,2003
1841,"36 , 31",NY,Essex County,35832,2003
1842,"36 , 33",NY,Franklin County,32611,2003
1843,"36 , 35",NY,Fulton County,34929,2003
1844,"36 , 37",NY,Genesee County,41091,2003
1845,"36 , 39",NY,Greene County,38038,2003
1846,"36 , 41",NY,Hamilton County,35045,2003
1847,"36 , 43",NY,Herkimer County,34050,2003
1848,"36 , 45",NY,Jefferson County,34462,2003
1849,"36 , 47",NY,Kings County,30672,2003
1850,"36 , 49",NY,Lewis County,34349,2003
1851,"36 , 51",NY,Livingston County,41938,2003
1852,"36 , 53",NY,Madison County,40198,2003
1853,"36 , 55",NY,Monroe County,44403,2003
1854,"36 , 57",NY,Montgomery County,34716,2003
1855,"36 , 59",NY,Nassau County,71246,2003
1856,"36 , 61",NY,New York County,43930,2003
1857,"36 , 63",NY,Niagara County,39020,2003
1858,"36 , 65",NY,Oneida County,36237,2003
1859,"36 , 67",NY,Onondaga County,41922,2003
1860,"36 , 69",NY,Ontario County,45197,2003
1861,"36 , 71",NY,Orange County,53171,2003
1862,"36 , 73",NY,Orleans County,37008,2003
1863,"36 , 75",NY,Oswego County,38230,2003
1864,"36 , 77",NY,Otsego County,34338,2003
1865,"36 , 79",NY,Putnam County,72683,2003
1866,"36 , 81",NY,Queens County,38041,2003
1867,"36 , 83",NY,Rensselaer County,44212,2003
1868,"36 , 85",NY,Richmond County,54252,2003
1869,"36 , 87",NY,Rockland County,65026,2003
1870,"36 , 89",NY,St. Lawrence County,33018,2003
1871,"36 , 91",NY,Saratoga County,53756,2003
1872,"36 , 93",NY,Schenectady County,43441,2003
1873,"36 , 95",NY,Schoharie County,35858,2003
1874,"36 , 97",NY,Schuyler County,36533,2003
1875,"36 , 99",NY,Seneca County,37804,2003
1876,"36 , 101",NY,Steuben County,36278,2003
1877,"36 , 103",NY,Suffolk County,63366,2003
1878,"36 , 105",NY,Sullivan County,37523,2003
1879,"36 , 107",NY,Tioga County,41093,2003
1880,"36 , 109",NY,Tompkins County,38240,2003
1881,"36 , 111",NY,Ulster County,42070,2003
1882,"36 , 113",NY,Warren County,40643,2003
1883,"36 , 115",NY,Washington County,37584,2003
1884,"36 , 117",NY,Wayne County,44063,2003
1885,"36 , 119",NY,Westchester County,61979,2003
1886,"36 , 121",NY,Wyoming County,40116,2003
1887,"36 , 123",NY,Yates County,34998,2003
1826,"36 , 1",NY,Albany County,44352,2004
1827,"36 , 3",NY,Allegany County,32902,2004
1828,"36 , 5",NY,Bronx County,27855,2004
1829,"36 , 7",NY,Broome County,36222,2004
1830,"36 , 9",NY,Cattaraugus County,34915,2004
1831,"36 , 11",NY,Cayuga County,38146,2004
1832,"36 , 13",NY,Chautauqua County,33958,2004
1833,"36 , 15",NY,Chemung County,36221,2004
1834,"36 , 17",NY,Chenango County,35088,2004
1835,"36 , 19",NY,Clinton County,38853,2004
1836,"36 , 21",NY,Columbia County,41435,2004
1837,"36 , 23",NY,Cortland County,35547,2004
1838,"36 , 25",NY,Delaware County,32830,2004
1839,"36 , 27",NY,Dutchess County,54518,2004
1840,"36 , 29",NY,Erie County,40828,2004
1841,"36 , 31",NY,Essex County,35832,2004
1842,"36 , 33",NY,Franklin County,32611,2004
1843,"36 , 35",NY,Fulton County,34929,2004
1844,"36 , 37",NY,Genesee County,41091,2004
1845,"36 , 39",NY,Greene County,38038,2004
1846,"36 , 41",NY,Hamilton County,35045,2004
1847,"36 , 43",NY,Herkimer County,34050,2004
1848,"36 , 45",NY,Jefferson County,34462,2004
1849,"36 , 47",NY,Kings County,30672,2004
1850,"36 , 49",NY,Lewis County,34349,2004
1851,"36 , 51",NY,Livingston County,41938,2004
1852,"36 , 53",NY,Madison County,40198,2004
1853,"36 , 55",NY,Monroe County,44403,2004
1854,"36 , 57",NY,Montgomery County,34716,2004
1855,"36 , 59",NY,Nassau County,71246,2004
1856,"36 , 61",NY,New York County,43930,2004
1857,"36 , 63",NY,Niagara County,39020,2004
1858,"36 , 65",NY,Oneida County,36237,2004
1859,"36 , 67",NY,Onondaga County,41922,2004
1860,"36 , 69",NY,Ontario County,45197,2004
1861,"36 , 71",NY,Orange County,53171,2004
1862,"36 , 73",NY,Orleans County,37008,2004
1863,"36 , 75",NY,Oswego County,38230,2004
1864,"36 , 77",NY,Otsego County,34338,2004
1865,"36 , 79",NY,Putnam County,72683,2004
1866,"36 , 81",NY,Queens County,38041,2004
1867,"36 , 83",NY,Rensselaer County,44212,2004
1868,"36 , 85",NY,Richmond County,54252,2004
1869,"36 , 87",NY,Rockland County,65026,2004
1870,"36 , 89",NY,St. Lawrence County,33018,2004
1871,"36 , 91",NY,Saratoga County,53756,2004
1872,"36 , 93",NY,Schenectady County,43441,2004
1873,"36 , 95",NY,Schoharie County,35858,2004
1874,"36 , 97",NY,Schuyler County,36533,2004
1875,"36 , 99",NY,Seneca County,37804,2004
1876,"36 , 101",NY,Steuben County,36278,2004
1877,"36 , 103",NY,Suffolk County,63366,2004
1878,"36 , 105",NY,Sullivan County,37523,2004
1879,"36 , 107",NY,Tioga County,41093,2004
1880,"36 , 109",NY,Tompkins County,38240,2004
1881,"36 , 111",NY,Ulster County,42070,2004
1882,"36 , 113",NY,Warren County,40643,2004
1883,"36 , 115",NY,Washington County,37584,2004
1884,"36 , 117",NY,Wayne County,44063,2004
1885,"36 , 119",NY,Westchester County,61979,2004
1886,"36 , 121",NY,Wyoming County,40116,2004
1887,"36 , 123",NY,Yates County,34998,2004
1826,"36 , 1",NY,Albany County,44352,2005
1827,"36 , 3",NY,Allegany County,32902,2005
1828,"36 , 5",NY,Bronx County,27855,2005
1829,"36 , 7",NY,Broome County,36222,2005
1830,"36 , 9",NY,Cattaraugus County,34915,2005
1831,"36 , 11",NY,Cayuga County,38146,2005
1832,"36 , 13",NY,Chautauqua County,33958,2005
1833,"36 , 15",NY,Chemung County,36221,2005
1834,"36 , 17",NY,Chenango County,35088,2005
1835,"36 , 19",NY,Clinton County,38853,2005
1836,"36 , 21",NY,Columbia County,41435,2005
1837,"36 , 23",NY,Cortland County,35547,2005
1838,"36 , 25",NY,Delaware County,32830,2005
1839,"36 , 27",NY,Dutchess County,54518,2005
1840,"36 , 29",NY,Erie County,40828,2005
1841,"36 , 31",NY,Essex County,35832,2005
1842,"36 , 33",NY,Franklin County,32611,2005
1843,"36 , 35",NY,Fulton County,34929,2005
1844,"36 , 37",NY,Genesee County,41091,2005
1845,"36 , 39",NY,Greene County,38038,2005
1846,"36 , 41",NY,Hamilton County,35045,2005
1847,"36 , 43",NY,Herkimer County,34050,2005
1848,"36 , 45",NY,Jefferson County,34462,2005
1849,"36 , 47",NY,Kings County,30672,2005
1850,"36 , 49",NY,Lewis County,34349,2005
1851,"36 , 51",NY,Livingston County,41938,2005
1852,"36 , 53",NY,Madison County,40198,2005
1853,"36 , 55",NY,Monroe County,44403,2005
1854,"36 , 57",NY,Montgomery County,34716,2005
1855,"36 , 59",NY,Nassau County,71246,2005
1856,"36 , 61",NY,New York County,43930,2005
1857,"36 , 63",NY,Niagara County,39020,2005
1858,"36 , 65",NY,Oneida County,36237,2005
1859,"36 , 67",NY,Onondaga County,41922,2005
1860,"36 , 69",NY,Ontario County,45197,2005
1861,"36 , 71",NY,Orange County,53171,2005
1862,"36 , 73",NY,Orleans County,37008,2005
1863,"36 , 75",NY,Oswego County,38230,2005
1864,"36 , 77",NY,Otsego County,34338,2005
1865,"36 , 79",NY,Putnam County,72683,2005
1866,"36 , 81",NY,Queens County,38041,2005
1867,"36 , 83",NY,Rensselaer County,44212,2005
1868,"36 , 85",NY,Richmond County,54252,2005
1869,"36 , 87",NY,Rockland County,65026,2005
1870,"36 , 89",NY,St. Lawrence County,33018,2005
1871,"36 , 91",NY,Saratoga County,53756,2005
1872,"36 , 93",NY,Schenectady County,43441,2005
1873,"36 , 95",NY,Schoharie County,35858,2005
1874,"36 , 97",NY,Schuyler County,36533,2005
1875,"36 , 99",NY,Seneca County,37804,2005
1876,"36 , 101",NY,Steuben County,36278,2005
1877,"36 , 103",NY,Suffolk County,63366,2005
1878,"36 , 105",NY,Sullivan County,37523,2005
1879,"36 , 107",NY,Tioga County,41093,2005
1880,"36 , 109",NY,Tompkins County,38240,2005
1881,"36 , 111",NY,Ulster County,42070,2005
1882,"36 , 113",NY,Warren County,40643,2005
1883,"36 , 115",NY,Washington County,37584,2005
1884,"36 , 117",NY,Wayne County,44063,2005
1885,"36 , 119",NY,Westchester County,61979,2005
1886,"36 , 121",NY,Wyoming County,40116,2005
1887,"36 , 123",NY,Yates County,34998,2005
1826,"36 , 1",NY,Albany County,44352,2006
1827,"36 , 3",NY,Allegany County,32902,2006
1828,"36 , 5",NY,Bronx County,27855,2006
1829,"36 , 7",NY,Broome County,36222,2006
1830,"36 , 9",NY,Cattaraugus County,34915,2006
1831,"36 , 11",NY,Cayuga County,38146,2006
1832,"36 , 13",NY,Chautauqua County,33958,2006
1833,"36 , 15",NY,Chemung County,36221,2006
1834,"36 , 17",NY,Chenango County,35088,2006
1835,"36 , 19",NY,Clinton County,38853,2006
1836,"36 , 21",NY,Columbia County,41435,2006
1837,"36 , 23",NY,Cortland County,35547,2006
1838,"36 , 25",NY,Delaware County,32830,2006
1839,"36 , 27",NY,Dutchess County,54518,2006
1840,"36 , 29",NY,Erie County,40828,2006
1841,"36 , 31",NY,Essex County,35832,2006
1842,"36 , 33",NY,Franklin County,32611,2006
1843,"36 , 35",NY,Fulton County,34929,2006
1844,"36 , 37",NY,Genesee County,41091,2006
1845,"36 , 39",NY,Greene County,38038,2006
1846,"36 , 41",NY,Hamilton County,35045,2006
1847,"36 , 43",NY,Herkimer County,34050,2006
1848,"36 , 45",NY,Jefferson County,34462,2006
1849,"36 , 47",NY,Kings County,30672,2006
1850,"36 , 49",NY,Lewis County,34349,2006
1851,"36 , 51",NY,Livingston County,41938,2006
1852,"36 , 53",NY,Madison County,40198,2006
1853,"36 , 55",NY,Monroe County,44403,2006
1854,"36 , 57",NY,Montgomery County,34716,2006
1855,"36 , 59",NY,Nassau County,71246,2006
1856,"36 , 61",NY,New York County,43930,2006
1857,"36 , 63",NY,Niagara County,39020,2006
1858,"36 , 65",NY,Oneida County,36237,2006
1859,"36 , 67",NY,Onondaga County,41922,2006
1860,"36 , 69",NY,Ontario County,45197,2006
1861,"36 , 71",NY,Orange County,53171,2006
1862,"36 , 73",NY,Orleans County,37008,2006
1863,"36 , 75",NY,Oswego County,38230,2006
1864,"36 , 77",NY,Otsego County,34338,2006
1865,"36 , 79",NY,Putnam County,72683,2006
1866,"36 , 81",NY,Queens County,38041,2006
1867,"36 , 83",NY,Rensselaer County,44212,2006
1868,"36 , 85",NY,Richmond County,54252,2006
1869,"36 , 87",NY,Rockland County,65026,2006
1870,"36 , 89",NY,St. Lawrence County,33018,2006
1871,"36 , 91",NY,Saratoga County,53756,2006
1872,"36 , 93",NY,Schenectady County,43441,2006
1873,"36 , 95",NY,Schoharie County,35858,2006
1874,"36 , 97",NY,Schuyler County,36533,2006
1875,"36 , 99",NY,Seneca County,37804,2006
1876,"36 , 101",NY,Steuben County,36278,2006
1877,"36 , 103",NY,Suffolk County,63366,2006
1878,"36 , 105",NY,Sullivan County,37523,2006
1879,"36 , 107",NY,Tioga County,41093,2006
1880,"36 , 109",NY,Tompkins County,38240,2006
1881,"36 , 111",NY,Ulster County,42070,2006
1882,"36 , 113",NY,Warren County,40643,2006
1883,"36 , 115",NY,Washington County,37584,2006
1884,"36 , 117",NY,Wayne County,44063,2006
1885,"36 , 119",NY,Westchester County,61979,2006
1886,"36 , 121",NY,Wyoming County,40116,2006
1887,"36 , 123",NY,Yates County,34998,2006
1826,"36 , 1",NY,Albany County,44352,2007
1827,"36 , 3",NY,Allegany County,32902,2007
1828,"36 , 5",NY,Bronx County,27855,2007
1829,"36 , 7",NY,Broome County,36222,2007
1830,"36 , 9",NY,Cattaraugus County,34915,2007
1831,"36 , 11",NY,Cayuga County,38146,2007
1832,"36 , 13",NY,Chautauqua County,33958,2007
1833,"36 , 15",NY,Chemung County,36221,2007
1834,"36 , 17",NY,Chenango County,35088,2007
1835,"36 , 19",NY,Clinton County,38853,2007
1836,"36 , 21",NY,Columbia County,41435,2007
1837,"36 , 23",NY,Cortland County,35547,2007
1838,"36 , 25",NY,Delaware County,32830,2007
1839,"36 , 27",NY,Dutchess County,54518,2007
1840,"36 , 29",NY,Erie County,40828,2007
1841,"36 , 31",NY,Essex County,35832,2007
1842,"36 , 33",NY,Franklin County,32611,2007
1843,"36 , 35",NY,Fulton County,34929,2007
1844,"36 , 37",NY,Genesee County,41091,2007
1845,"36 , 39",NY,Greene County,38038,2007
1846,"36 , 41",NY,Hamilton County,35045,2007
1847,"36 , 43",NY,Herkimer County,34050,2007
1848,"36 , 45",NY,Jefferson County,34462,2007
1849,"36 , 47",NY,Kings County,30672,2007
1850,"36 , 49",NY,Lewis County,34349,2007
1851,"36 , 51",NY,Livingston County,41938,2007
1852,"36 , 53",NY,Madison County,40198,2007
1853,"36 , 55",NY,Monroe County,44403,2007
1854,"36 , 57",NY,Montgomery County,34716,2007
1855,"36 , 59",NY,Nassau County,71246,2007
1856,"36 , 61",NY,New York County,43930,2007
1857,"36 , 63",NY,Niagara County,39020,2007
1858,"36 , 65",NY,Oneida County,36237,2007
1859,"36 , 67",NY,Onondaga County,41922,2007
1860,"36 , 69",NY,Ontario County,45197,2007
1861,"36 , 71",NY,Orange County,53171,2007
1862,"36 , 73",NY,Orleans County,37008,2007
1863,"36 , 75",NY,Oswego County,38230,2007
1864,"36 , 77",NY,Otsego County,34338,2007
1865,"36 , 79",NY,Putnam County,72683,2007
1866,"36 , 81",NY,Queens County,38041,2007
1867,"36 , 83",NY,Rensselaer County,44212,2007
1868,"36 , 85",NY,Richmond County,54252,2007
1869,"36 , 87",NY,Rockland County,65026,2007
1870,"36 , 89",NY,St. Lawrence County,33018,2007
1871,"36 , 91",NY,Saratoga County,53756,2007
1872,"36 , 93",NY,Schenectady County,43441,2007
1873,"36 , 95",NY,Schoharie County,35858,2007
1874,"36 , 97",NY,Schuyler County,36533,2007
1875,"36 , 99",NY,Seneca County,37804,2007
1876,"36 , 101",NY,Steuben County,36278,2007
1877,"36 , 103",NY,Suffolk County,63366,2007
1878,"36 , 105",NY,Sullivan County,37523,2007
1879,"36 , 107",NY,Tioga County,41093,2007
1880,"36 , 109",NY,Tompkins County,38240,2007
1881,"36 , 111",NY,Ulster County,42070,2007
1882,"36 , 113",NY,Warren County,40643,2007
1883,"36 , 115",NY,Washington County,37584,2007
1884,"36 , 117",NY,Wayne County,44063,2007
1885,"36 , 119",NY,Westchester County,61979,2007
1886,"36 , 121",NY,Wyoming County,40116,2007
1887,"36 , 123",NY,Yates County,34998,2007
1826,"36 , 1",NY,Albany County,44352,2008
1827,"36 , 3",NY,Allegany County,32902,2008
1828,"36 , 5",NY,Bronx County,27855,2008
1829,"36 , 7",NY,Broome County,36222,2008
1830,"36 , 9",NY,Cattaraugus County,34915,2008
1831,"36 , 11",NY,Cayuga County,38146,2008
1832,"36 , 13",NY,Chautauqua County,33958,2008
1833,"36 , 15",NY,Chemung County,36221,2008
1834,"36 , 17",NY,Chenango County,35088,2008
1835,"36 , 19",NY,Clinton County,38853,2008
1836,"36 , 21",NY,Columbia County,41435,2008
1837,"36 , 23",NY,Cortland County,35547,2008
1838,"36 , 25",NY,Delaware County,32830,2008
1839,"36 , 27",NY,Dutchess County,54518,2008
1840,"36 , 29",NY,Erie County,40828,2008
1841,"36 , 31",NY,Essex County,35832,2008
1842,"36 , 33",NY,Franklin County,32611,2008
1843,"36 , 35",NY,Fulton County,34929,2008
1844,"36 , 37",NY,Genesee County,41091,2008
1845,"36 , 39",NY,Greene County,38038,2008
1846,"36 , 41",NY,Hamilton County,35045,2008
1847,"36 , 43",NY,Herkimer County,34050,2008
1848,"36 , 45",NY,Jefferson County,34462,2008
1849,"36 , 47",NY,Kings County,30672,2008
1850,"36 , 49",NY,Lewis County,34349,2008
1851,"36 , 51",NY,Livingston County,41938,2008
1852,"36 , 53",NY,Madison County,40198,2008
1853,"36 , 55",NY,Monroe County,44403,2008
1854,"36 , 57",NY,Montgomery County,34716,2008
1855,"36 , 59",NY,Nassau County,71246,2008
1856,"36 , 61",NY,New York County,43930,2008
1857,"36 , 63",NY,Niagara County,39020,2008
1858,"36 , 65",NY,Oneida County,36237,2008
1859,"36 , 67",NY,Onondaga County,41922,2008
1860,"36 , 69",NY,Ontario County,45197,2008
1861,"36 , 71",NY,Orange County,53171,2008
1862,"36 , 73",NY,Orleans County,37008,2008
1863,"36 , 75",NY,Oswego County,38230,2008
1864,"36 , 77",NY,Otsego County,34338,2008
1865,"36 , 79",NY,Putnam County,72683,2008
1866,"36 , 81",NY,Queens County,38041,2008
1867,"36 , 83",NY,Rensselaer County,44212,2008
1868,"36 , 85",NY,Richmond County,54252,2008
1869,"36 , 87",NY,Rockland County,65026,2008
1870,"36 , 89",NY,St. Lawrence County,33018,2008
1871,"36 , 91",NY,Saratoga County,53756,2008
1872,"36 , 93",NY,Schenectady County,43441,2008
1873,"36 , 95",NY,Schoharie County,35858,2008
1874,"36 , 97",NY,Schuyler County,36533,2008
1875,"36 , 99",NY,Seneca County,37804,2008
1876,"36 , 101",NY,Steuben County,36278,2008
1877,"36 , 103",NY,Suffolk County,63366,2008
1878,"36 , 105",NY,Sullivan County,37523,2008
1879,"36 , 107",NY,Tioga County,41093,2008
1880,"36 , 109",NY,Tompkins County,38240,2008
1881,"36 , 111",NY,Ulster County,42070,2008
1882,"36 , 113",NY,Warren County,40643,2008
1883,"36 , 115",NY,Washington County,37584,2008
1884,"36 , 117",NY,Wayne County,44063,2008
1885,"36 , 119",NY,Westchester County,61979,2008
1886,"36 , 121",NY,Wyoming County,40116,2008
1887,"36 , 123",NY,Yates County,34998,2008
1826,"36 , 1",NY,Albany County,44352,2009
1827,"36 , 3",NY,Allegany County,32902,2009
1828,"36 , 5",NY,Bronx County,27855,2009
1829,"36 , 7",NY,Broome County,36222,2009
1830,"36 , 9",NY,Cattaraugus County,34915,2009
1831,"36 , 11",NY,Cayuga County,38146,2009
1832,"36 , 13",NY,Chautauqua County,33958,2009
1833,"36 , 15",NY,Chemung County,36221,2009
1834,"36 , 17",NY,Chenango County,35088,2009
1835,"36 , 19",NY,Clinton County,38853,2009
1836,"36 , 21",NY,Columbia County,41435,2009
1837,"36 , 23",NY,Cortland County,35547,2009
1838,"36 , 25",NY,Delaware County,32830,2009
1839,"36 , 27",NY,Dutchess County,54518,2009
1840,"36 , 29",NY,Erie County,40828,2009
1841,"36 , 31",NY,Essex County,35832,2009
1842,"36 , 33",NY,Franklin County,32611,2009
1843,"36 , 35",NY,Fulton County,34929,2009
1844,"36 , 37",NY,Genesee County,41091,2009
1845,"36 , 39",NY,Greene County,38038,2009
1846,"36 , 41",NY,Hamilton County,35045,2009
1847,"36 , 43",NY,Herkimer County,34050,2009
1848,"36 , 45",NY,Jefferson County,34462,2009
1849,"36 , 47",NY,Kings County,30672,2009
1850,"36 , 49",NY,Lewis County,34349,2009
1851,"36 , 51",NY,Livingston County,41938,2009
1852,"36 , 53",NY,Madison County,40198,2009
1853,"36 , 55",NY,Monroe County,44403,2009
1854,"36 , 57",NY,Montgomery County,34716,2009
1855,"36 , 59",NY,Nassau County,71246,2009
1856,"36 , 61",NY,New York County,43930,2009
1857,"36 , 63",NY,Niagara County,39020,2009
1858,"36 , 65",NY,Oneida County,36237,2009
1859,"36 , 67",NY,Onondaga County,41922,2009
1860,"36 , 69",NY,Ontario County,45197,2009
1861,"36 , 71",NY,Orange County,53171,2009
1862,"36 , 73",NY,Orleans County,37008,2009
1863,"36 , 75",NY,Oswego County,38230,2009
1864,"36 , 77",NY,Otsego County,34338,2009
1865,"36 , 79",NY,Putnam County,72683,2009
1866,"36 , 81",NY,Queens County,38041,2009
1867,"36 , 83",NY,Rensselaer County,44212,2009
1868,"36 , 85",NY,Richmond County,54252,2009
1869,"36 , 87",NY,Rockland County,65026,2009
1870,"36 , 89",NY,St. Lawrence County,33018,2009
1871,"36 , 91",NY,Saratoga County,53756,2009
1872,"36 , 93",NY,Schenectady County,43441,2009
1873,"36 , 95",NY,Schoharie County,35858,2009
1874,"36 , 97",NY,Schuyler County,36533,2009
1875,"36 , 99",NY,Seneca County,37804,2009
1876,"36 , 101",NY,Steuben County,36278,2009
1877,"36 , 103",NY,Suffolk County,63366,2009
1878,"36 , 105",NY,Sullivan County,37523,2009
1879,"36 , 107",NY,Tioga County,41093,2009
1880,"36 , 109",NY,Tompkins County,38240,2009
1881,"36 , 111",NY,Ulster County,42070,2009
1882,"36 , 113",NY,Warren County,40643,2009
1883,"36 , 115",NY,Washington County,37584,2009
1884,"36 , 117",NY,Wayne County,44063,2009
1885,"36 , 119",NY,Westchester County,61979,2009
1886,"36 , 121",NY,Wyoming County,40116,2009
1887,"36 , 123",NY,Yates County,34998,2009
1826,"36 , 1",NY,Albany County,44352,2010
1827,"36 , 3",NY,Allegany County,32902,2010
1828,"36 , 5",NY,Bronx County,27855,2010
1829,"36 , 7",NY,Broome County,36222,2010
1830,"36 , 9",NY,Cattaraugus County,34915,2010
1831,"36 , 11",NY,Cayuga County,38146,2010
1832,"36 , 13",NY,Chautauqua County,33958,2010
1833,"36 , 15",NY,Chemung County,36221,2010
1834,"36 , 17",NY,Chenango County,35088,2010
1835,"36 , 19",NY,Clinton County,38853,2010
1836,"36 , 21",NY,Columbia County,41435,2010
1837,"36 , 23",NY,Cortland County,35547,2010
1838,"36 , 25",NY,Delaware County,32830,2010
1839,"36 , 27",NY,Dutchess County,54518,2010
1840,"36 , 29",NY,Erie County,40828,2010
1841,"36 , 31",NY,Essex County,35832,2010
1842,"36 , 33",NY,Franklin County,32611,2010
1843,"36 , 35",NY,Fulton County,34929,2010
