State County FIPS,Postal Code,Name,Median Household Income,Year
"40 , 1",OK,Adair County,27374,2003
"40 , 3",OK,Alfalfa County,31630,2003
"40 , 5",OK,Atoka County,26703,2003
"40 , 7",OK,Beaver County,38161,2003
"40 , 9",OK,Beckham County,31659,2003
"40 , 11",OK,Blaine County,29487,2003
"40 , 13",OK,Bryan County,28687,2003
"40 , 15",OK,Caddo County,29057,2003
"40 , 17",OK,Canadian County,50181,2003
"40 , 19",OK,Carter County,30870,2003
"40 , 21",OK,Cherokee County,28084,2003
"40 , 23",OK,Choctaw County,24458,2003
"40 , 25",OK,Cimarron County,27439,2003
"40 , 27",OK,Cleveland County,45889,2003
"40 , 29",OK,Coal County,24536,2003
"40 , 31",OK,Comanche County,34704,2003
"40 , 33",OK,Cotton County,29262,2003
"40 , 35",OK,Craig County,32549,2003
"40 , 37",OK,Creek County,35379,2003
"40 , 39",OK,Custer County,30533,2003
"40 , 41",OK,Delaware County,29752,2003
"40 , 43",OK,Dewey County,31615,2003
"40 , 45",OK,Ellis County,31123,2003
"40 , 47",OK,Garfield County,34432,2003
"40 , 49",OK,Garvin County,30705,2003
"40 , 51",OK,Grady County,36847,2003
"40 , 53",OK,Grant County,31420,2003
"40 , 55",OK,Greer County,25334,2003
"40 , 57",OK,Harmon County,23582,2003
"40 , 59",OK,Harper County,39497,2003
"40 , 61",OK,Haskell County,27644,2003
"40 , 63",OK,Hughes County,24613,2003
"40 , 65",OK,Jackson County,34449,2003
"40 , 67",OK,Jefferson County,24303,2003
"40 , 69",OK,Johnston County,27357,2003
"40 , 71",OK,Kay County,33128,2003
"40 , 73",OK,Kingfisher County,41000,2003
"40 , 75",OK,Kiowa County,27520,2003
"40 , 77",OK,Latimer County,28497,2003
"40 , 79",OK,Le Flore County,28586,2003
"40 , 81",OK,Lincoln County,33030,2003
"40 , 83",OK,Logan County,40997,2003
"40 , 85",OK,Love County,34309,2003
"40 , 87",OK,McClain County,39983,2003
"40 , 89",OK,McCurtain County,25186,2003
"40 , 91",OK,McIntosh County,26796,2003
"40 , 93",OK,Major County,35110,2003
"40 , 95",OK,Marshall County,28423,2003
"40 , 97",OK,Mayes County,32199,2003
"40 , 99",OK,Murray County,31166,2003
"40 , 101",OK,Muskogee County,30676,2003
"40 , 103",OK,Noble County,34890,2003
"40 , 105",OK,Nowata County,31229,2003
"40 , 107",OK,Okfuskee County,25205,2003
"40 , 109",OK,Oklahoma County,37421,2003
"40 , 111",OK,Okmulgee County,29104,2003
"40 , 113",OK,Osage County,36590,2003
"40 , 115",OK,Ottawa County,28473,2003
"40 , 117",OK,Pawnee County,33024,2003
"40 , 119",OK,Payne County,31031,2003
"40 , 121",OK,Pittsburg County,31255,2003
"40 , 123",OK,Pontotoc County,28493,2003
"40 , 125",OK,Pottawatomie County,33737,2003
"40 , 127",OK,Pushmataha County,24071,2003
"40 , 129",OK,Roger Mills County,33436,2003
"40 , 131",OK,Rogers County,47878,2003
"40 , 133",OK,Seminole County,26564,2003
"40 , 135",OK,Sequoyah County,29303,2003
"40 , 137",OK,Stephens County,33734,2003
"40 , 139",OK,Texas County,33847,2003
"40 , 141",OK,Tillman County,25878,2003
"40 , 143",OK,Tulsa County,39434,2003
"40 , 145",OK,Wagoner County,43281,2003
"40 , 147",OK,Washington County,37787,2003
"40 , 149",OK,Washita County,31483,2003
"40 , 151",OK,Woods County,31245,2003
"40 , 153",OK,Woodward County,36030,2003
"40 , 1",OK,Adair County,27374,2004
"40 , 3",OK,Alfalfa County,31630,2004
"40 , 5",OK,Atoka County,26703,2004
"40 , 7",OK,Beaver County,38161,2004
"40 , 9",OK,Beckham County,31659,2004
"40 , 11",OK,Blaine County,29487,2004
"40 , 13",OK,Bryan County,28687,2004
