,State County FIPS,Postal Code,Name,Median Household Income,Year
2206,"41 , 1",OR,Baker County,30546,2003
2207,"41 , 3",OR,Benton County,43674,2003
2208,"41 , 5",OR,Clackamas County,52367,2003
2209,"41 , 7",OR,Clatsop County,36087,2003
2210,"41 , 9",OR,Columbia County,47156,2003
2211,"41 , 11",OR,Coos County,32015,2003
2212,"41 , 13",OR,Crook County,35968,2003
2213,"41 , 15",OR,Curry County,31399,2003
2214,"41 , 17",OR,Deschutes County,44154,2003
2215,"41 , 19",OR,Douglas County,34500,2003
2216,"41 , 21",OR,Gilliam County,38063,2003
2217,"41 , 23",OR,Grant County,32934,2003
2218,"41 , 25",OR,Harney County,30966,2003
2219,"41 , 27",OR,Hood River County,38616,2003
2220,"41 , 29",OR,Jackson County,36737,2003
2221,"41 , 31",OR,Jefferson County,35741,2003
2222,"41 , 33",OR,Josephine County,31578,2003
2223,"41 , 35",OR,Klamath County,32414,2003
2224,"41 , 37",OR,Lake County,30579,2003
2225,"41 , 39",OR,Lane County,36685,2003
2226,"41 , 41",OR,Lincoln County,33334,2003
2227,"41 , 43",OR,Linn County,38449,2003
2228,"41 , 45",OR,Malheur County,29530,2003
2229,"41 , 47",OR,Marion County,39470,2003
2230,"41 , 49",OR,Morrow County,40469,2003
2231,"41 , 51",OR,Multnomah County,41781,2003
2232,"41 , 53",OR,Polk County,43469,2003
2233,"41 , 55",OR,Sherman County,36321,2003
2234,"41 , 57",OR,Tillamook County,34795,2003
2235,"41 , 59",OR,Umatilla County,36901,2003
2236,"41 , 61",OR,Union County,35694,2003
2237,"41 , 63",OR,Wallowa County,33082,2003
2238,"41 , 65",OR,Wasco County,34183,2003
2239,"41 , 67",OR,Washington County,54184,2003
2240,"41 , 69",OR,Wheeler County,29359,2003
2241,"41 , 71",OR,Yamhill County,43663,2003
2206,"41 , 1",OR,Baker County,30546,2004
2207,"41 , 3",OR,Benton County,43674,2004
2208,"41 , 5",OR,Clackamas County,52367,2004
2209,"41 , 7",OR,Clatsop County,36087,2004
2210,"41 , 9",OR,Columbia County,47156,2004
2211,"41 , 11",OR,Coos County,32015,2004
2212,"41 , 13",OR,Crook County,35968,2004
2213,"41 , 15",OR,Curry County,31399,2004
2214,"41 , 17",OR,Deschutes County,44154,2004
2215,"41 , 19",OR,Douglas County,34500,2004
2216,"41 , 21",OR,Gilliam County,38063,2004
2217,"41 , 23",OR,Grant County,32934,2004
2218,"41 , 25",OR,Harney County,30966,2004
2219,"41 , 27",OR,Hood River County,38616,2004
2220,"41 , 29",OR,Jackson County,36737,2004
2221,"41 , 31",OR,Jefferson County,35741,2004
2222,"41 , 33",OR,Josephine County,31578,2004
2223,"41 , 35",OR,Klamath County,32414,2004
2224,"41 , 37",OR,Lake County,30579,2004
2225,"41 , 39",OR,Lane County,36685,2004
2226,"41 , 41",OR,Lincoln County,33334,2004
2227,"41 , 43",OR,Linn County,38449,2004
2228,"41 , 45",OR,Malheur County,29530,2004
2229,"41 , 47",OR,Marion County,39470,2004
2230,"41 , 49",OR,Morrow County,40469,2004
2231,"41 , 51",OR,Multnomah County,41781,2004
2232,"41 , 53",OR,Polk County,43469,2004
2233,"41 , 55",OR,Sherman County,36321,2004
2234,"41 , 57",OR,Tillamook County,34795,2004
2235,"41 , 59",OR,Umatilla County,36901,2004
2236,"41 , 61",OR,Union County,35694,2004
2237,"41 , 63",OR,Wallowa County,33082,2004
2238,"41 , 65",OR,Wasco County,34183,2004
2239,"41 , 67",OR,Washington County,54184,2004
2240,"41 , 69",OR,Wheeler County,29359,2004
2241,"41 , 71",OR,Yamhill County,43663,2004
2206,"41 , 1",OR,Baker County,30546,2005
2207,"41 , 3",OR,Benton County,43674,2005
2208,"41 , 5",OR,Clackamas County,52367,2005
2209,"41 , 7",OR,Clatsop County,36087,2005
2210,"41 , 9",OR,Columbia County,47156,2005
2211,"41 , 11",OR,Coos County,32015,2005
2212,"41 , 13",OR,Crook County,35968,2005
2213,"41 , 15",OR,Curry County,31399,2005
2214,"41 , 17",OR,Deschutes County,44154,2005
2215,"41 , 19",OR,Douglas County,34500,2005
2216,"41 , 21",OR,Gilliam County,38063,2005
2217,"41 , 23",OR,Grant County,32934,2005
2218,"41 , 25",OR,Harney County,30966,2005
2219,"41 , 27",OR,Hood River County,38616,2005
2220,"41 , 29",OR,Jackson County,36737,2005
2221,"41 , 31",OR,Jefferson County,35741,2005
2222,"41 , 33",OR,Josephine County,31578,2005
2223,"41 , 35",OR,Klamath County,32414,2005
2224,"41 , 37",OR,Lake County,30579,2005
2225,"41 , 39",OR,Lane County,36685,2005
2226,"41 , 41",OR,Lincoln County,33334,2005
2227,"41 , 43",OR,Linn County,38449,2005
2228,"41 , 45",OR,Malheur County,29530,2005
2229,"41 , 47",OR,Marion County,39470,2005
2230,"41 , 49",OR,Morrow County,40469,2005
2231,"41 , 51",OR,Multnomah County,41781,2005
2232,"41 , 53",OR,Polk County,43469,2005
2233,"41 , 55",OR,Sherman County,36321,2005
2234,"41 , 57",OR,Tillamook County,34795,2005
2235,"41 , 59",OR,Umatilla County,36901,2005
2236,"41 , 61",OR,Union County,35694,2005
2237,"41 , 63",OR,Wallowa County,33082,2005
2238,"41 , 65",OR,Wasco County,34183,2005
2239,"41 , 67",OR,Washington County,54184,2005
2240,"41 , 69",OR,Wheeler County,29359,2005
2241,"41 , 71",OR,Yamhill County,43663,2005
2206,"41 , 1",OR,Baker County,30546,2006
2207,"41 , 3",OR,Benton County,43674,2006
2208,"41 , 5",OR,Clackamas County,52367,2006
2209,"41 , 7",OR,Clatsop County,36087,2006
2210,"41 , 9",OR,Columbia County,47156,2006
2211,"41 , 11",OR,Coos County,32015,2006
2212,"41 , 13",OR,Crook County,35968,2006
2213,"41 , 15",OR,Curry County,31399,2006
2214,"41 , 17",OR,Deschutes County,44154,2006
2215,"41 , 19",OR,Douglas County,34500,2006
2216,"41 , 21",OR,Gilliam County,38063,2006
2217,"41 , 23",OR,Grant County,32934,2006
2218,"41 , 25",OR,Harney County,30966,2006
2219,"41 , 27",OR,Hood River County,38616,2006
2220,"41 , 29",OR,Jackson County,36737,2006
2221,"41 , 31",OR,Jefferson County,35741,2006
2222,"41 , 33",OR,Josephine County,31578,2006
2223,"41 , 35",OR,Klamath County,32414,2006
2224,"41 , 37",OR,Lake County,30579,2006
2225,"41 , 39",OR,Lane County,36685,2006
2226,"41 , 41",OR,Lincoln County,33334,2006
2227,"41 , 43",OR,Linn County,38449,2006
2228,"41 , 45",OR,Malheur County,29530,2006
2229,"41 , 47",OR,Marion County,39470,2006
2230,"41 , 49",OR,Morrow County,40469,2006
2231,"41 , 51",OR,Multnomah County,41781,2006
2232,"41 , 53",OR,Polk County,43469,2006
2233,"41 , 55",OR,Sherman County,36321,2006
2234,"41 , 57",OR,Tillamook County,34795,2006
2235,"41 , 59",OR,Umatilla County,36901,2006
2236,"41 , 61",OR,Union County,35694,2006
2237,"41 , 63",OR,Wallowa County,33082,2006
2238,"41 , 65",OR,Wasco County,34183,2006
2239,"41 , 67",OR,Washington County,54184,2006
2240,"41 , 69",OR,Wheeler County,29359,2006
2241,"41 , 71",OR,Yamhill County,43663,2006
2206,"41 , 1",OR,Baker County,30546,2007
2207,"41 , 3",OR,Benton County,43674,2007
2208,"41 , 5",OR,Clackamas County,52367,2007
2209,"41 , 7",OR,Clatsop County,36087,2007
2210,"41 , 9",OR,Columbia County,47156,2007
2211,"41 , 11",OR,Coos County,32015,2007
2212,"41 , 13",OR,Crook County,35968,2007
2213,"41 , 15",OR,Curry County,31399,2007
2214,"41 , 17",OR,Deschutes County,44154,2007
2215,"41 , 19",OR,Douglas County,34500,2007
2216,"41 , 21",OR,Gilliam County,38063,2007
2217,"41 , 23",OR,Grant County,32934,2007
2218,"41 , 25",OR,Harney County,30966,2007
2219,"41 , 27",OR,Hood River County,38616,2007
2220,"41 , 29",OR,Jackson County,36737,2007
2221,"41 , 31",OR,Jefferson County,35741,2007
2222,"41 , 33",OR,Josephine County,31578,2007
