,State County FIPS,Postal Code,Name,Median Household Income,Year
2242,"42 , 1",PA,Adams County,47177,2003
2243,"42 , 3",PA,Allegheny County,41468,2003
2244,"42 , 5",PA,Armstrong County,34570,2003
2245,"42 , 7",PA,Beaver County,37937,2003
2246,"42 , 9",PA,Bedford County,34870,2003
2247,"42 , 11",PA,Berks County,45214,2003
2248,"42 , 13",PA,Blair County,34300,2003
2249,"42 , 15",PA,Bradford County,36817,2003
2250,"42 , 17",PA,Bucks County,62548,2003
2251,"42 , 19",PA,Butler County,46435,2003
2252,"42 , 21",PA,Cambria County,31306,2003
2253,"42 , 23",PA,Cameron County,33780,2003
2254,"42 , 25",PA,Carbon County,38816,2003
2255,"42 , 27",PA,Centre County,37720,2003
2256,"42 , 29",PA,Chester County,68044,2003
2257,"42 , 31",PA,Clarion County,32782,2003
2258,"42 , 33",PA,Clearfield County,33040,2003
2259,"42 , 35",PA,Clinton County,33037,2003
2260,"42 , 37",PA,Columbia County,36619,2003
2261,"42 , 39",PA,Crawford County,33989,2003
2262,"42 , 41",PA,Cumberland County,49077,2003
2263,"42 , 43",PA,Dauphin County,45557,2003
2264,"42 , 45",PA,Delaware County,49862,2003
2265,"42 , 47",PA,Elk County,39467,2003
2266,"42 , 49",PA,Erie County,37129,2003
2267,"42 , 51",PA,Fayette County,29506,2003
2268,"42 , 53",PA,Forest County,29446,2003
2269,"42 , 55",PA,Franklin County,42963,2003
2270,"42 , 57",PA,Fulton County,37945,2003
2271,"42 , 59",PA,Greene County,31709,2003
2272,"42 , 61",PA,Huntingdon County,34267,2003
2273,"42 , 63",PA,Indiana County,32563,2003
2274,"42 , 65",PA,Jefferson County,32961,2003
2275,"42 , 67",PA,Juniata County,38356,2003
2276,"42 , 69",PA,Lackawanna County,36725,2003
2277,"42 , 71",PA,Lancaster County,47499,2003
2278,"42 , 73",PA,Lawrence County,34558,2003
2279,"42 , 75",PA,Lebanon County,42673,2003
2280,"42 , 77",PA,Lehigh County,44385,2003
2281,"42 , 79",PA,Luzerne County,35518,2003
2282,"42 , 81",PA,Lycoming County,35969,2003
2283,"42 , 83",PA,Mc Kean County,34500,2003
2284,"42 , 85",PA,Mercer County,35693,2003
2285,"42 , 87",PA,Mifflin County,34103,2003
2286,"42 , 89",PA,Monroe County,48297,2003
2287,"42 , 91",PA,Montgomery County,65316,2003
2288,"42 , 93",PA,Montour County,41373,2003
