State County FIPS,Postal Code,Name,Median Household Income,Year
"44 , 1",RI,Bristol County,52614,2003
"44 , 3",RI,Kent County,51134,2003
"44 , 5",RI,Newport County,51470,2003
"44 , 7",RI,Providence County,38728,2003
"44 , 9",RI,Washington County,57276,2003
"44 , 1",RI,Bristol County,52614,2004
"44 , 3",RI,Kent County,51134,2004
"44 , 5",RI,Newport County,51470,2004
"44 , 7",RI,Providence County,38728,2004
"44 , 9",RI,Washington County,57276,2004
"44 , 1",RI,Bristol County,52614,2005
"44 , 3",RI,Kent County,51134,2005
"44 , 5",RI,Newport County,51470,2005
"44 , 7",RI,Providence County,38728,2005
"44 , 9",RI,Washington County,57276,2005
"44 , 1",RI,Bristol County,52614,2006
"44 , 3",RI,Kent County,51134,2006
"44 , 5",RI,Newport County,51470,2006
"44 , 7",RI,Providence County,38728,2006
"44 , 9",RI,Washington County,57276,2006
"44 , 1",RI,Bristol County,52614,2007
"44 , 3",RI,Kent County,51134,2007
"44 , 5",RI,Newport County,51470,2007
"44 , 7",RI,Providence County,38728,2007
"44 , 9",RI,Washington County,57276,2007
"44 , 1",RI,Bristol County,52614,2008
"44 , 3",RI,Kent County,51134,2008
"44 , 5",RI,Newport County,51470,2008
"44 , 7",RI,Providence County,38728,2008
"44 , 9",RI,Washington County,57276,2008
"44 , 1",RI,Bristol County,52614,2009
"44 , 3",RI,Kent County,51134,2009
"44 , 5",RI,Newport County,51470,2009
"44 , 7",RI,Providence County,38728,2009
"44 , 9",RI,Washington County,57276,2009
"44 , 1",RI,Bristol County,52614,2010
"44 , 3",RI,Kent County,51134,2010
"44 , 5",RI,Newport County,51470,2010
"44 , 7",RI,Providence County,38728,2010
"44 , 9",RI,Washington County,57276,2010
"44 , 1",RI,Bristol County,52614,2011
"44 , 3",RI,Kent County,51134,2011
"44 , 5",RI,Newport County,51470,2011
"44 , 7",RI,Providence County,38728,2011
"44 , 9",RI,Washington County,57276,2011
"44 , 1",RI,Bristol County,52614,2012
"44 , 3",RI,Kent County,51134,2012
"44 , 5",RI,Newport County,51470,2012
"44 , 7",RI,Providence County,38728,2012
"44 , 9",RI,Washington County,57276,2012
"44 , 1",RI,Bristol County,52614,2013
"44 , 3",RI,Kent County,51134,2013
"44 , 5",RI,Newport County,51470,2013
"44 , 7",RI,Providence County,38728,2013
"44 , 9",RI,Washington County,57276,2013
"44 , 1",RI,Bristol County,52614,2014
"44 , 3",RI,Kent County,51134,2014
"44 , 5",RI,Newport County,51470,2014
"44 , 7",RI,Providence County,38728,2014
"44 , 9",RI,Washington County,57276,2014
"44 , 1",RI,Bristol County,52614,2015
"44 , 3",RI,Kent County,51134,2015
"44 , 5",RI,Newport County,51470,2015
"44 , 7",RI,Providence County,38728,2015
"44 , 9",RI,Washington County,57276,2015
"44 , 1",RI,Bristol County,52614,2016
"44 , 3",RI,Kent County,51134,2016
"44 , 5",RI,Newport County,51470,2016
"44 , 7",RI,Providence County,38728,2016
"44 , 9",RI,Washington County,57276,2016
"44 , 1",RI,Bristol County,52614,2017
"44 , 3",RI,Kent County,51134,2017
"44 , 5",RI,Newport County,51470,2017
"44 , 7",RI,Providence County,38728,2017
"44 , 9",RI,Washington County,57276,2017
"44 , 1",RI,Bristol County,52614,2018
"44 , 3",RI,Kent County,51134,2018
"44 , 5",RI,Newport County,51470,2018
"44 , 7",RI,Providence County,38728,2018
"44 , 9",RI,Washington County,57276,2018
