,State County FIPS,Postal Code,Name,Median Household Income,Year
2314,"45 , 1",SC,Abbeville County,30578,2003
2315,"45 , 3",SC,Aiken County,39360,2003
2316,"45 , 5",SC,Allendale County,21006,2003
2317,"45 , 7",SC,Anderson County,38355,2003
2318,"45 , 9",SC,Bamberg County,24860,2003
2319,"45 , 11",SC,Barnwell County,26597,2003
2320,"45 , 13",SC,Beaufort County,46669,2003
2321,"45 , 15",SC,Berkeley County,42058,2003
2322,"45 , 17",SC,Calhoun County,33782,2003
2323,"45 , 19",SC,Charleston County,39319,2003
2324,"45 , 21",SC,Cherokee County,34344,2003
2325,"45 , 23",SC,Chester County,33068,2003
2326,"45 , 25",SC,Chesterfield County,30516,2003
2327,"45 , 27",SC,Clarendon County,26765,2003
2328,"45 , 29",SC,Colleton County,29760,2003
2329,"45 , 31",SC,Darlington County,31413,2003
2330,"45 , 33",SC,Dillon County,26806,2003
2331,"45 , 35",SC,Dorchester County,44564,2003
2332,"45 , 37",SC,Edgefield County,34544,2003
2333,"45 , 39",SC,Fairfield County,30925,2003
2334,"45 , 41",SC,Florence County,34948,2003
2335,"45 , 43",SC,Georgetown County,36473,2003
2336,"45 , 45",SC,Greenville County,42081,2003
2337,"45 , 47",SC,Greenwood County,34662,2003
2338,"45 , 49",SC,Hampton County,28284,2003
2339,"45 , 51",SC,Horry County,35630,2003
2340,"45 , 53",SC,Jasper County,28628,2003
2341,"45 , 55",SC,Kershaw County,40328,2003
2342,"45 , 57",SC,Lancaster County,34329,2003
2343,"45 , 59",SC,Laurens County,32544,2003
2344,"45 , 61",SC,Lee County,26065,2003
2345,"45 , 63",SC,Lexington County,45803,2003
2346,"45 , 65",SC,McCormick County,30443,2003
2347,"45 , 67",SC,Marion County,26281,2003
2348,"45 , 69",SC,Marlboro County,26968,2003
2349,"45 , 71",SC,Newberry County,33210,2003
2350,"45 , 73",SC,Oconee County,38246,2003
2351,"45 , 75",SC,Orangeburg County,29437,2003
2352,"45 , 77",SC,Pickens County,37885,2003
