,State County FIPS,Postal Code,Name,Median Household Income,Year
2360,"46 , 3",SD,Aurora County,33642,2003
2361,"46 , 5",SD,Beadle County,33768,2003
2362,"46 , 7",SD,Bennett County,25909,2003
2363,"46 , 9",SD,Bon Homme County,32599,2003
2364,"46 , 11",SD,Brookings County,37987,2003
2365,"46 , 13",SD,Brown County,39980,2003
2366,"46 , 15",SD,Brule County,32936,2003
2367,"46 , 17",SD,Buffalo County,17136,2003
2368,"46 , 19",SD,Butte County,32574,2003
2369,"46 , 21",SD,Campbell County,30326,2003
2370,"46 , 23",SD,Charles Mix County,28296,2003
2371,"46 , 25",SD,Clark County,31111,2003
2372,"46 , 27",SD,Clay County,30328,2003
2373,"46 , 29",SD,Codington County,39673,2003
2374,"46 , 31",SD,Corson County,22752,2003
2375,"46 , 33",SD,Custer County,39794,2003
2376,"46 , 35",SD,Davison County,37598,2003
2377,"46 , 37",SD,Day County,32086,2003
2378,"46 , 39",SD,Deuel County,36893,2003
2379,"46 , 41",SD,Dewey County,26360,2003
2380,"46 , 43",SD,Douglas County,32073,2003
2381,"46 , 45",SD,Edmunds County,36677,2003
2382,"46 , 47",SD,Fall River County,30330,2003
2383,"46 , 49",SD,Faulk County,31116,2003
2384,"46 , 51",SD,Grant County,36779,2003
2385,"46 , 53",SD,Gregory County,27073,2003
2386,"46 , 55",SD,Haakon County,33137,2003
2387,"46 , 57",SD,Hamlin County,36968,2003
2388,"46 , 59",SD,Hand County,33312,2003
2389,"46 , 61",SD,Hanson County,39530,2003
2390,"46 , 63",SD,Harding County,31088,2003
2391,"46 , 65",SD,Hughes County,46638,2003
2392,"46 , 67",SD,Hutchinson County,33437,2003
2393,"46 , 69",SD,Hyde County,33282,2003
2394,"46 , 71",SD,Jackson County,23406,2003
2395,"46 , 73",SD,Jerauld County,32552,2003
2396,"46 , 75",SD,Jones County,31686,2003
2397,"46 , 77",SD,Kingsbury County,34427,2003
2398,"46 , 79",SD,Lake County,38482,2003
2399,"46 , 81",SD,Lawrence County,35534,2003
2400,"46 , 83",SD,Lincoln County,59703,2003
2401,"46 , 85",SD,Lyman County,29648,2003
2402,"46 , 87",SD,McCook County,38046,2003
2403,"46 , 89",SD,McPherson County,25703,2003
2404,"46 , 91",SD,Marshall County,32529,2003
2405,"46 , 93",SD,Meade County,41788,2003
2406,"46 , 95",SD,Mellette County,23864,2003
2407,"46 , 97",SD,Miner County,30754,2003
2408,"46 , 99",SD,Minnehaha County,45970,2003
2409,"46 , 101",SD,Moody County,38206,2003
2410,"46 , 103",SD,Pennington County,39214,2003
2411,"46 , 105",SD,Perkins County,29050,2003
2412,"46 , 107",SD,Potter County,33412,2003
2413,"46 , 109",SD,Roberts County,29888,2003
2414,"46 , 111",SD,Sanborn County,35470,2003
2415,"46 , 113",SD,Shannon County,22817,2003
2416,"46 , 115",SD,Spink County,31847,2003
2417,"46 , 117",SD,Stanley County,44024,2003
2418,"46 , 119",SD,Sully County,35468,2003
