,State County FIPS,Postal Code,Name,Median Household Income,Year
2426,"47 , 1",TN,Anderson County,38288,2003
2427,"47 , 3",TN,Bedford County,37443,2003
2428,"47 , 5",TN,Benton County,29063,2003
2429,"47 , 7",TN,Bledsoe County,29861,2003
2430,"47 , 9",TN,Blount County,40678,2003
2431,"47 , 11",TN,Bradley County,37038,2003
2432,"47 , 13",TN,Campbell County,27516,2003
2433,"47 , 15",TN,Cannon County,35614,2003
2434,"47 , 17",TN,Carroll County,31772,2003
2435,"47 , 19",TN,Carter County,28869,2003
2436,"47 , 21",TN,Cheatham County,48065,2003
2437,"47 , 23",TN,Chester County,35030,2003
2438,"47 , 25",TN,Claiborne County,27908,2003
2439,"47 , 27",TN,Clay County,25260,2003
2440,"47 , 29",TN,Cocke County,26320,2003
2441,"47 , 31",TN,Coffee County,37773,2003
2442,"47 , 33",TN,Crockett County,31330,2003
2443,"47 , 35",TN,Cumberland County,32546,2003
2444,"47 , 37",TN,Davidson County,40958,2003
2445,"47 , 39",TN,Decatur County,30207,2003
2446,"47 , 41",TN,DeKalb County,33191,2003
2447,"47 , 43",TN,Dickson County,39305,2003
2448,"47 , 45",TN,Dyer County,34344,2003
2449,"47 , 47",TN,Fayette County,44649,2003
2450,"47 , 49",TN,Fentress County,24686,2003
2451,"47 , 51",TN,Franklin County,36575,2003
2452,"47 , 53",TN,Gibson County,32382,2003
2453,"47 , 55",TN,Giles County,35053,2003
2454,"47 , 57",TN,Grainger County,29724,2003
2455,"47 , 59",TN,Greene County,32378,2003
2456,"47 , 61",TN,Grundy County,26112,2003
2457,"47 , 63",TN,Hamblen County,33857,2003
2458,"47 , 65",TN,Hamilton County,39649,2003
2459,"47 , 67",TN,Hancock County,19317,2003
2460,"47 , 69",TN,Hardeman County,29657,2003
2461,"47 , 71",TN,Hardin County,28639,2003
2462,"47 , 73",TN,Hawkins County,33407,2003
2463,"47 , 75",TN,Haywood County,28861,2003
2464,"47 , 77",TN,Henderson County,34178,2003
2465,"47 , 79",TN,Henry County,30374,2003
2466,"47 , 81",TN,Hickman County,31854,2003
2467,"47 , 83",TN,Houston County,31760,2003
2468,"47 , 85",TN,Humphreys County,36099,2003
2469,"47 , 87",TN,Jackson County,28281,2003
2470,"47 , 89",TN,Jefferson County,34571,2003
2471,"47 , 91",TN,Johnson County,24225,2003
2472,"47 , 93",TN,Knox County,40743,2003
2473,"47 , 95",TN,Lake County,22678,2003
2474,"47 , 97",TN,Lauderdale County,29233,2003
2475,"47 , 99",TN,Lawrence County,31760,2003
2476,"47 , 101",TN,Lewis County,31053,2003
2477,"47 , 103",TN,Lincoln County,35717,2003
2478,"47 , 105",TN,Loudon County,43194,2003
2479,"47 , 107",TN,McMinn County,33890,2003
2480,"47 , 109",TN,McNairy County,31306,2003
2481,"47 , 111",TN,Macon County,31279,2003
2482,"47 , 113",TN,Madison County,37620,2003
2483,"47 , 115",TN,Marion County,33197,2003
2484,"47 , 117",TN,Marshall County,38617,2003
2485,"47 , 119",TN,Maury County,43714,2003
2486,"47 , 121",TN,Meigs County,30789,2003
2487,"47 , 123",TN,Monroe County,32567,2003
2488,"47 , 125",TN,Montgomery County,40047,2003
2489,"47 , 127",TN,Moore County,40436,2003
2490,"47 , 129",TN,Morgan County,29634,2003
2491,"47 , 131",TN,Obion County,34092,2003
2492,"47 , 133",TN,Overton County,29308,2003
2493,"47 , 135",TN,Perry County,28936,2003
2494,"47 , 137",TN,Pickett County,25257,2003
2495,"47 , 139",TN,Polk County,30588,2003
2496,"47 , 141",TN,Putnam County,32512,2003
2497,"47 , 143",TN,Rhea County,32558,2003
2498,"47 , 145",TN,Roane County,36922,2003
2499,"47 , 147",TN,Robertson County,44952,2003
2500,"47 , 149",TN,Rutherford County,48622,2003
2501,"47 , 151",TN,Scott County,25364,2003
2502,"47 , 153",TN,Sequatchie County,32767,2003
2503,"47 , 155",TN,Sevier County,35912,2003
2504,"47 , 157",TN,Shelby County,39110,2003
2505,"47 , 159",TN,Smith County,37186,2003
2506,"47 , 161",TN,Stewart County,34826,2003
2507,"47 , 163",TN,Sullivan County,35627,2003
2508,"47 , 165",TN,Sumner County,47284,2003
2509,"47 , 167",TN,Tipton County,41997,2003
2510,"47 , 169",TN,Trousdale County,32935,2003
2511,"47 , 171",TN,Unicoi County,32068,2003
2512,"47 , 173",TN,Union County,28499,2003
2513,"47 , 175",TN,Van Buren County,29982,2003
2514,"47 , 177",TN,Warren County,32186,2003
2515,"47 , 179",TN,Washington County,34635,2003
2516,"47 , 181",TN,Wayne County,27327,2003
2517,"47 , 183",TN,Weakley County,31163,2003
2518,"47 , 185",TN,White County,30161,2003
2519,"47 , 187",TN,Williamson County,76142,2003
2520,"47 , 189",TN,Wilson County,52720,2003
2426,"47 , 1",TN,Anderson County,38288,2004
2427,"47 , 3",TN,Bedford County,37443,2004
