,State County FIPS,Postal Code,Name,Median Household Income,Year
2521,"48 , 1",TX,Anderson County,31485,2003
2522,"48 , 3",TX,Andrews County,38190,2003
2523,"48 , 5",TX,Angelina County,34630,2003
2524,"48 , 7",TX,Aransas County,31245,2003
2525,"48 , 9",TX,Archer County,41580,2003
2526,"48 , 11",TX,Armstrong County,38697,2003
2527,"48 , 13",TX,Atascosa County,33884,2003
2528,"48 , 15",TX,Austin County,42007,2003
2529,"48 , 17",TX,Bailey County,28505,2003
2530,"48 , 19",TX,Bandera County,39396,2003
2531,"48 , 21",TX,Bastrop County,43693,2003
2532,"48 , 23",TX,Baylor County,26112,2003
2533,"48 , 25",TX,Bee County,27743,2003
2534,"48 , 27",TX,Bell County,38203,2003
2535,"48 , 29",TX,Bexar County,38676,2003
2536,"48 , 31",TX,Blanco County,41609,2003
2537,"48 , 33",TX,Borden County,40767,2003
2538,"48 , 35",TX,Bosque County,34970,2003
2539,"48 , 37",TX,Bowie County,34615,2003
2540,"48 , 39",TX,Brazoria County,51674,2003
2541,"48 , 41",TX,Brazos County,31569,2003
2542,"48 , 43",TX,Brewster County,29295,2003
2543,"48 , 45",TX,Briscoe County,29256,2003
2544,"48 , 47",TX,Brooks County,20905,2003
2545,"48 , 49",TX,Brown County,31835,2003
2546,"48 , 51",TX,Burleson County,33979,2003
2547,"48 , 53",TX,Burnet County,40954,2003
2548,"48 , 55",TX,Caldwell County,36850,2003
2549,"48 , 57",TX,Calhoun County,35211,2003
2550,"48 , 59",TX,Callahan County,33152,2003
2551,"48 , 61",TX,Cameron County,26352,2003
2552,"48 , 63",TX,Camp County,31700,2003
2553,"48 , 65",TX,Carson County,38341,2003
2554,"48 , 67",TX,Cass County,30285,2003
2555,"48 , 69",TX,Castro County,34761,2003
2556,"48 , 71",TX,Chambers County,56478,2003
2557,"48 , 73",TX,Cherokee County,30040,2003
2558,"48 , 75",TX,Childress County,27416,2003
2559,"48 , 77",TX,Clay County,37957,2003
2560,"48 , 79",TX,Cochran County,26841,2003
2561,"48 , 81",TX,Coke County,29934,2003
2562,"48 , 83",TX,Coleman County,25479,2003
2563,"48 , 85",TX,Collin County,74333,2003
2564,"48 , 87",TX,Collingsworth County,28098,2003
2565,"48 , 89",TX,Colorado County,32528,2003
2566,"48 , 91",TX,Comal County,48888,2003
2567,"48 , 93",TX,Comanche County,29726,2003
2568,"48 , 95",TX,Concho County,28151,2003
2569,"48 , 97",TX,Cooke County,39744,2003
2570,"48 , 99",TX,Coryell County,35133,2003
2571,"48 , 101",TX,Cottle County,26623,2003
2572,"48 , 103",TX,Crane County,36684,2003
2573,"48 , 105",TX,Crockett County,33180,2003
2574,"48 , 107",TX,Crosby County,28124,2003
2575,"48 , 109",TX,Culberson County,23923,2003
2576,"48 , 111",TX,Dallam County,29825,2003
2577,"48 , 113",TX,Dallas County,41256,2003
2578,"48 , 115",TX,Dawson County,27089,2003
2579,"48 , 117",TX,Deaf Smith County,29203,2003
2580,"48 , 119",TX,Delta County,29540,2003
2581,"48 , 121",TX,Denton County,61460,2003
2582,"48 , 123",TX,DeWitt County,29421,2003
2583,"48 , 125",TX,Dickens County,24663,2003
2584,"48 , 127",TX,Dimmit County,23667,2003
2585,"48 , 129",TX,Donley County,29049,2003
2586,"48 , 131",TX,Duval County,25165,2003
2587,"48 , 133",TX,Eastland County,28174,2003
2588,"48 , 135",TX,Ector County,33124,2003
2589,"48 , 137",TX,Edwards County,25991,2003
2590,"48 , 139",TX,Ellis County,49839,2003
2591,"48 , 141",TX,El Paso County,31161,2003
2592,"48 , 143",TX,Erath County,30737,2003
2593,"48 , 145",TX,Falls County,26944,2003
2594,"48 , 147",TX,Fannin County,34014,2003
2595,"48 , 149",TX,Fayette County,38107,2003
2596,"48 , 151",TX,Fisher County,29325,2003
2597,"48 , 153",TX,Floyd County,26942,2003
2598,"48 , 155",TX,Foard County,25329,2003
2599,"48 , 157",TX,Fort Bend County,64983,2003
2600,"48 , 159",TX,Franklin County,36997,2003
2601,"48 , 161",TX,Freestone County,34114,2003
2602,"48 , 163",TX,Frio County,24340,2003
2603,"48 , 165",TX,Gaines County,31553,2003
2604,"48 , 167",TX,Galveston County,44872,2003
2605,"48 , 169",TX,Garza County,28807,2003
2606,"48 , 171",TX,Gillespie County,40105,2003
2607,"48 , 173",TX,Glasscock County,38792,2003
2608,"48 , 175",TX,Goliad County,36166,2003
2609,"48 , 177",TX,Gonzales County,28890,2003
2610,"48 , 179",TX,Gray County,33746,2003
2611,"48 , 181",TX,Grayson County,37772,2003
2612,"48 , 183",TX,Gregg County,37076,2003
2613,"48 , 185",TX,Grimes County,32546,2003
2614,"48 , 187",TX,Guadalupe County,45609,2003
2615,"48 , 189",TX,Hale County,31024,2003
2616,"48 , 191",TX,Hall County,24261,2003
2617,"48 , 193",TX,Hamilton County,30356,2003
2618,"48 , 195",TX,Hansford County,35087,2003
2619,"48 , 197",TX,Hardeman County,28921,2003
2620,"48 , 199",TX,Hardin County,40465,2003
2621,"48 , 201",TX,Harris County,42262,2003
2622,"48 , 203",TX,Harrison County,34521,2003
2623,"48 , 205",TX,Hartley County,41324,2003
2624,"48 , 207",TX,Haskell County,25690,2003
2625,"48 , 209",TX,Hays County,45893,2003
2626,"48 , 211",TX,Hemphill County,42408,2003
2627,"48 , 213",TX,Henderson County,32503,2003
2628,"48 , 215",TX,Hidalgo County,25937,2003
