,State County FIPS,Postal Code,Name,Median Household Income,Year
2775,"49 , 1",UT,Beaver County,38039,2003
2776,"49 , 3",UT,Box Elder County,47329,2003
2777,"49 , 5",UT,Cache County,41802,2003
2778,"49 , 7",UT,Carbon County,36291,2003
2779,"49 , 9",UT,Daggett County,34824,2003
2780,"49 , 11",UT,Davis County,56885,2003
2781,"49 , 13",UT,Duchesne County,36501,2003
2782,"49 , 15",UT,Emery County,41293,2003
2783,"49 , 17",UT,Garfield County,34910,2003
2784,"49 , 19",UT,Grand County,31699,2003
2785,"49 , 21",UT,Iron County,35862,2003
2786,"49 , 23",UT,Juab County,40204,2003
2787,"49 , 25",UT,Kane County,36117,2003
2788,"49 , 27",UT,Millard County,38825,2003
2789,"49 , 29",UT,Morgan County,56684,2003
2790,"49 , 31",UT,Piute County,29195,2003
2791,"49 , 33",UT,Rich County,43200,2003
2792,"49 , 35",UT,Salt Lake County,49076,2003
2793,"49 , 37",UT,San Juan County,27778,2003
2794,"49 , 39",UT,Sanpete County,34494,2003
2795,"49 , 41",UT,Sevier County,37614,2003
2796,"49 , 43",UT,Summit County,65610,2003
2797,"49 , 45",UT,Tooele County,51266,2003
2798,"49 , 47",UT,Uintah County,39140,2003
2799,"49 , 49",UT,Utah County,46428,2003
2800,"49 , 51",UT,Wasatch County,51180,2003
2801,"49 , 53",UT,Washington County,39777,2003
2802,"49 , 55",UT,Wayne County,32465,2003
2803,"49 , 57",UT,Weber County,46718,2003
2775,"49 , 1",UT,Beaver County,38039,2004
2776,"49 , 3",UT,Box Elder County,47329,2004
2777,"49 , 5",UT,Cache County,41802,2004
2778,"49 , 7",UT,Carbon County,36291,2004
2779,"49 , 9",UT,Daggett County,34824,2004
2780,"49 , 11",UT,Davis County,56885,2004
2781,"49 , 13",UT,Duchesne County,36501,2004
2782,"49 , 15",UT,Emery County,41293,2004
2783,"49 , 17",UT,Garfield County,34910,2004
2784,"49 , 19",UT,Grand County,31699,2004
2785,"49 , 21",UT,Iron County,35862,2004
2786,"49 , 23",UT,Juab County,40204,2004
2787,"49 , 25",UT,Kane County,36117,2004
2788,"49 , 27",UT,Millard County,38825,2004
2789,"49 , 29",UT,Morgan County,56684,2004
2790,"49 , 31",UT,Piute County,29195,2004
2791,"49 , 33",UT,Rich County,43200,2004
2792,"49 , 35",UT,Salt Lake County,49076,2004
2793,"49 , 37",UT,San Juan County,27778,2004
2794,"49 , 39",UT,Sanpete County,34494,2004
2795,"49 , 41",UT,Sevier County,37614,2004
2796,"49 , 43",UT,Summit County,65610,2004
2797,"49 , 45",UT,Tooele County,51266,2004
2798,"49 , 47",UT,Uintah County,39140,2004
2799,"49 , 49",UT,Utah County,46428,2004
2800,"49 , 51",UT,Wasatch County,51180,2004
2801,"49 , 53",UT,Washington County,39777,2004
2802,"49 , 55",UT,Wayne County,32465,2004
2803,"49 , 57",UT,Weber County,46718,2004
2775,"49 , 1",UT,Beaver County,38039,2005
2776,"49 , 3",UT,Box Elder County,47329,2005
2777,"49 , 5",UT,Cache County,41802,2005
2778,"49 , 7",UT,Carbon County,36291,2005
2779,"49 , 9",UT,Daggett County,34824,2005
2780,"49 , 11",UT,Davis County,56885,2005
2781,"49 , 13",UT,Duchesne County,36501,2005
2782,"49 , 15",UT,Emery County,41293,2005
2783,"49 , 17",UT,Garfield County,34910,2005
2784,"49 , 19",UT,Grand County,31699,2005
2785,"49 , 21",UT,Iron County,35862,2005
2786,"49 , 23",UT,Juab County,40204,2005
2787,"49 , 25",UT,Kane County,36117,2005
2788,"49 , 27",UT,Millard County,38825,2005
2789,"49 , 29",UT,Morgan County,56684,2005
2790,"49 , 31",UT,Piute County,29195,2005
2791,"49 , 33",UT,Rich County,43200,2005
2792,"49 , 35",UT,Salt Lake County,49076,2005
2793,"49 , 37",UT,San Juan County,27778,2005
2794,"49 , 39",UT,Sanpete County,34494,2005
2795,"49 , 41",UT,Sevier County,37614,2005
2796,"49 , 43",UT,Summit County,65610,2005
2797,"49 , 45",UT,Tooele County,51266,2005
2798,"49 , 47",UT,Uintah County,39140,2005
2799,"49 , 49",UT,Utah County,46428,2005
2800,"49 , 51",UT,Wasatch County,51180,2005
2801,"49 , 53",UT,Washington County,39777,2005
2802,"49 , 55",UT,Wayne County,32465,2005
2803,"49 , 57",UT,Weber County,46718,2005
2775,"49 , 1",UT,Beaver County,38039,2006
2776,"49 , 3",UT,Box Elder County,47329,2006
2777,"49 , 5",UT,Cache County,41802,2006
2778,"49 , 7",UT,Carbon County,36291,2006
2779,"49 , 9",UT,Daggett County,34824,2006
2780,"49 , 11",UT,Davis County,56885,2006
2781,"49 , 13",UT,Duchesne County,36501,2006
2782,"49 , 15",UT,Emery County,41293,2006
2783,"49 , 17",UT,Garfield County,34910,2006
2784,"49 , 19",UT,Grand County,31699,2006
2785,"49 , 21",UT,Iron County,35862,2006
2786,"49 , 23",UT,Juab County,40204,2006
2787,"49 , 25",UT,Kane County,36117,2006
2788,"49 , 27",UT,Millard County,38825,2006
2789,"49 , 29",UT,Morgan County,56684,2006
2790,"49 , 31",UT,Piute County,29195,2006
2791,"49 , 33",UT,Rich County,43200,2006
2792,"49 , 35",UT,Salt Lake County,49076,2006
2793,"49 , 37",UT,San Juan County,27778,2006
2794,"49 , 39",UT,Sanpete County,34494,2006
2795,"49 , 41",UT,Sevier County,37614,2006
2796,"49 , 43",UT,Summit County,65610,2006
2797,"49 , 45",UT,Tooele County,51266,2006
2798,"49 , 47",UT,Uintah County,39140,2006
2799,"49 , 49",UT,Utah County,46428,2006
2800,"49 , 51",UT,Wasatch County,51180,2006
2801,"49 , 53",UT,Washington County,39777,2006
2802,"49 , 55",UT,Wayne County,32465,2006
2803,"49 , 57",UT,Weber County,46718,2006
2775,"49 , 1",UT,Beaver County,38039,2007
2776,"49 , 3",UT,Box Elder County,47329,2007
2777,"49 , 5",UT,Cache County,41802,2007
2778,"49 , 7",UT,Carbon County,36291,2007
2779,"49 , 9",UT,Daggett County,34824,2007
2780,"49 , 11",UT,Davis County,56885,2007
2781,"49 , 13",UT,Duchesne County,36501,2007
2782,"49 , 15",UT,Emery County,41293,2007
2783,"49 , 17",UT,Garfield County,34910,2007
2784,"49 , 19",UT,Grand County,31699,2007
2785,"49 , 21",UT,Iron County,35862,2007
2786,"49 , 23",UT,Juab County,40204,2007
2787,"49 , 25",UT,Kane County,36117,2007
2788,"49 , 27",UT,Millard County,38825,2007
2789,"49 , 29",UT,Morgan County,56684,2007
2790,"49 , 31",UT,Piute County,29195,2007
2791,"49 , 33",UT,Rich County,43200,2007
2792,"49 , 35",UT,Salt Lake County,49076,2007
2793,"49 , 37",UT,San Juan County,27778,2007
2794,"49 , 39",UT,Sanpete County,34494,2007
2795,"49 , 41",UT,Sevier County,37614,2007
2796,"49 , 43",UT,Summit County,65610,2007
2797,"49 , 45",UT,Tooele County,51266,2007
2798,"49 , 47",UT,Uintah County,39140,2007
2799,"49 , 49",UT,Utah County,46428,2007
2800,"49 , 51",UT,Wasatch County,51180,2007
2801,"49 , 53",UT,Washington County,39777,2007
2802,"49 , 55",UT,Wayne County,32465,2007
2803,"49 , 57",UT,Weber County,46718,2007
2775,"49 , 1",UT,Beaver County,38039,2008
2776,"49 , 3",UT,Box Elder County,47329,2008
2777,"49 , 5",UT,Cache County,41802,2008
2778,"49 , 7",UT,Carbon County,36291,2008
2779,"49 , 9",UT,Daggett County,34824,2008
2780,"49 , 11",UT,Davis County,56885,2008
2781,"49 , 13",UT,Duchesne County,36501,2008
2782,"49 , 15",UT,Emery County,41293,2008
2783,"49 , 17",UT,Garfield County,34910,2008
2784,"49 , 19",UT,Grand County,31699,2008
2785,"49 , 21",UT,Iron County,35862,2008
2786,"49 , 23",UT,Juab County,40204,2008
2787,"49 , 25",UT,Kane County,36117,2008
2788,"49 , 27",UT,Millard County,38825,2008
2789,"49 , 29",UT,Morgan County,56684,2008
2790,"49 , 31",UT,Piute County,29195,2008
2791,"49 , 33",UT,Rich County,43200,2008
2792,"49 , 35",UT,Salt Lake County,49076,2008
2793,"49 , 37",UT,San Juan County,27778,2008
2794,"49 , 39",UT,Sanpete County,34494,2008
2795,"49 , 41",UT,Sevier County,37614,2008
2796,"49 , 43",UT,Summit County,65610,2008
2797,"49 , 45",UT,Tooele County,51266,2008
2798,"49 , 47",UT,Uintah County,39140,2008
2799,"49 , 49",UT,Utah County,46428,2008
