State County FIPS,Postal Code,Name,Median Household Income,Year
"51 , 1",VA,Accomack County,30063,2003
"51 , 3",VA,Albemarle County,53104,2003
"51 , 5",VA,Alleghany County,37349,2003
"51 , 7",VA,Amelia County,42591,2003
"51 , 9",VA,Amherst County,37549,2003
"51 , 11",VA,Appomattox County,36939,2003
"51 , 13",VA,Arlington County,67161,2003
"51 , 15",VA,Augusta County,45434,2003
"51 , 17",VA,Bath County,36523,2003
"51 , 19",VA,Bedford County,47263,2003
"51 , 21",VA,Bland County,32742,2003
"51 , 23",VA,Botetourt County,52094,2003
"51 , 25",VA,Brunswick County,30503,2003
"51 , 27",VA,Buchanan County,24427,2003
"51 , 29",VA,Buckingham County,30610,2003
"51 , 31",VA,Campbell County,38606,2003
"51 , 33",VA,Caroline County,41640,2003
"51 , 35",VA,Carroll County,31850,2003
"51 , 36",VA,Charles City County,43275,2003
"51 , 37",VA,Charlotte County,30276,2003
"51 , 41",VA,Chesterfield County,61907,2003
"51 , 43",VA,Clarke County,53777,2003
"51 , 45",VA,Craig County,38869,2003
"51 , 47",VA,Culpeper County,50162,2003
"51 , 49",VA,Cumberland County,33700,2003
"51 , 51",VA,Dickenson County,25479,2003
"51 , 53",VA,Dinwiddie County,42123,2003
"51 , 57",VA,Essex County,37239,2003
"51 , 59",VA,Fairfax County,82648,2003
"51 , 61",VA,Fauquier County,68140,2003
"51 , 63",VA,Floyd County,35073,2003
"51 , 65",VA,Fluvanna County,49274,2003
"51 , 67",VA,Franklin County,39049,2003
"51 , 69",VA,Frederick County,52722,2003
"51 , 71",VA,Giles County,35816,2003
"51 , 73",VA,Gloucester County,47211,2003
"51 , 75",VA,Goochland County,61142,2003
"51 , 77",VA,Grayson County,29386,2003
"51 , 79",VA,Greene County,49974,2003
"51 , 81",VA,Greensville County,30049,2003
"51 , 83",VA,Halifax County,30119,2003
"51 , 85",VA,Hanover County,65423,2003
"51 , 87",VA,Henrico County,51201,2003
"51 , 89",VA,Henry County,31360,2003
"51 , 91",VA,Highland County,31219,2003
