,State County FIPS,Postal Code,Name,Median Household Income,Year
2804,"50 , 1",VT,Addison County,45369,2003
2805,"50 , 3",VT,Bennington County,40818,2003
2806,"50 , 5",VT,Caledonia County,36116,2003
2807,"50 , 7",VT,Chittenden County,51922,2003
2808,"50 , 9",VT,Essex County,31286,2003
2809,"50 , 11",VT,Franklin County,43672,2003
2810,"50 , 13",VT,Grand Isle County,47096,2003
2811,"50 , 15",VT,Lamoille County,41574,2003
2812,"50 , 17",VT,Orange County,42282,2003
2813,"50 , 19",VT,Orleans County,33772,2003
2814,"50 , 21",VT,Rutland County,38803,2003
2815,"50 , 23",VT,Washington County,44072,2003
2816,"50 , 25",VT,Windham County,40287,2003
2817,"50 , 27",VT,Windsor County,43008,2003
2804,"50 , 1",VT,Addison County,45369,2004
2805,"50 , 3",VT,Bennington County,40818,2004
2806,"50 , 5",VT,Caledonia County,36116,2004
2807,"50 , 7",VT,Chittenden County,51922,2004
2808,"50 , 9",VT,Essex County,31286,2004
2809,"50 , 11",VT,Franklin County,43672,2004
2810,"50 , 13",VT,Grand Isle County,47096,2004
2811,"50 , 15",VT,Lamoille County,41574,2004
2812,"50 , 17",VT,Orange County,42282,2004
2813,"50 , 19",VT,Orleans County,33772,2004
2814,"50 , 21",VT,Rutland County,38803,2004
2815,"50 , 23",VT,Washington County,44072,2004
2816,"50 , 25",VT,Windham County,40287,2004
2817,"50 , 27",VT,Windsor County,43008,2004
2804,"50 , 1",VT,Addison County,45369,2005
2805,"50 , 3",VT,Bennington County,40818,2005
2806,"50 , 5",VT,Caledonia County,36116,2005
2807,"50 , 7",VT,Chittenden County,51922,2005
2808,"50 , 9",VT,Essex County,31286,2005
2809,"50 , 11",VT,Franklin County,43672,2005
2810,"50 , 13",VT,Grand Isle County,47096,2005
2811,"50 , 15",VT,Lamoille County,41574,2005
2812,"50 , 17",VT,Orange County,42282,2005
2813,"50 , 19",VT,Orleans County,33772,2005
2814,"50 , 21",VT,Rutland County,38803,2005
2815,"50 , 23",VT,Washington County,44072,2005
2816,"50 , 25",VT,Windham County,40287,2005
2817,"50 , 27",VT,Windsor County,43008,2005
2804,"50 , 1",VT,Addison County,45369,2006
2805,"50 , 3",VT,Bennington County,40818,2006
2806,"50 , 5",VT,Caledonia County,36116,2006
2807,"50 , 7",VT,Chittenden County,51922,2006
2808,"50 , 9",VT,Essex County,31286,2006
2809,"50 , 11",VT,Franklin County,43672,2006
2810,"50 , 13",VT,Grand Isle County,47096,2006
2811,"50 , 15",VT,Lamoille County,41574,2006
2812,"50 , 17",VT,Orange County,42282,2006
2813,"50 , 19",VT,Orleans County,33772,2006
2814,"50 , 21",VT,Rutland County,38803,2006
2815,"50 , 23",VT,Washington County,44072,2006
2816,"50 , 25",VT,Windham County,40287,2006
2817,"50 , 27",VT,Windsor County,43008,2006
2804,"50 , 1",VT,Addison County,45369,2007
2805,"50 , 3",VT,Bennington County,40818,2007
2806,"50 , 5",VT,Caledonia County,36116,2007
2807,"50 , 7",VT,Chittenden County,51922,2007
2808,"50 , 9",VT,Essex County,31286,2007
2809,"50 , 11",VT,Franklin County,43672,2007
2810,"50 , 13",VT,Grand Isle County,47096,2007
2811,"50 , 15",VT,Lamoille County,41574,2007
2812,"50 , 17",VT,Orange County,42282,2007
2813,"50 , 19",VT,Orleans County,33772,2007
2814,"50 , 21",VT,Rutland County,38803,2007
2815,"50 , 23",VT,Washington County,44072,2007
2816,"50 , 25",VT,Windham County,40287,2007
2817,"50 , 27",VT,Windsor County,43008,2007
2804,"50 , 1",VT,Addison County,45369,2008
2805,"50 , 3",VT,Bennington County,40818,2008
2806,"50 , 5",VT,Caledonia County,36116,2008
2807,"50 , 7",VT,Chittenden County,51922,2008
2808,"50 , 9",VT,Essex County,31286,2008
2809,"50 , 11",VT,Franklin County,43672,2008
2810,"50 , 13",VT,Grand Isle County,47096,2008
2811,"50 , 15",VT,Lamoille County,41574,2008
2812,"50 , 17",VT,Orange County,42282,2008
2813,"50 , 19",VT,Orleans County,33772,2008
2814,"50 , 21",VT,Rutland County,38803,2008
2815,"50 , 23",VT,Washington County,44072,2008
2816,"50 , 25",VT,Windham County,40287,2008
2817,"50 , 27",VT,Windsor County,43008,2008
2804,"50 , 1",VT,Addison County,45369,2009
2805,"50 , 3",VT,Bennington County,40818,2009
2806,"50 , 5",VT,Caledonia County,36116,2009
2807,"50 , 7",VT,Chittenden County,51922,2009
2808,"50 , 9",VT,Essex County,31286,2009
2809,"50 , 11",VT,Franklin County,43672,2009
2810,"50 , 13",VT,Grand Isle County,47096,2009
2811,"50 , 15",VT,Lamoille County,41574,2009
2812,"50 , 17",VT,Orange County,42282,2009
2813,"50 , 19",VT,Orleans County,33772,2009
2814,"50 , 21",VT,Rutland County,38803,2009
2815,"50 , 23",VT,Washington County,44072,2009
2816,"50 , 25",VT,Windham County,40287,2009
2817,"50 , 27",VT,Windsor County,43008,2009
2804,"50 , 1",VT,Addison County,45369,2010
2805,"50 , 3",VT,Bennington County,40818,2010
2806,"50 , 5",VT,Caledonia County,36116,2010
2807,"50 , 7",VT,Chittenden County,51922,2010
2808,"50 , 9",VT,Essex County,31286,2010
2809,"50 , 11",VT,Franklin County,43672,2010
2810,"50 , 13",VT,Grand Isle County,47096,2010
2811,"50 , 15",VT,Lamoille County,41574,2010
2812,"50 , 17",VT,Orange County,42282,2010
2813,"50 , 19",VT,Orleans County,33772,2010
2814,"50 , 21",VT,Rutland County,38803,2010
2815,"50 , 23",VT,Washington County,44072,2010
2816,"50 , 25",VT,Windham County,40287,2010
2817,"50 , 27",VT,Windsor County,43008,2010
