,State County FIPS,Postal Code,Name,Median Household Income,Year
2952,"53 , 1",WA,Adams County,35241,2003
2953,"53 , 3",WA,Asotin County,34698,2003
2954,"53 , 5",WA,Benton County,51753,2003
2955,"53 , 7",WA,Chelan County,38515,2003
2956,"53 , 9",WA,Clallam County,38651,2003
2957,"53 , 11",WA,Clark County,50312,2003
2958,"53 , 13",WA,Columbia County,35153,2003
2959,"53 , 15",WA,Cowlitz County,40464,2003
2960,"53 , 17",WA,Douglas County,39520,2003
2961,"53 , 19",WA,Ferry County,30606,2003
2962,"53 , 21",WA,Franklin County,40404,2003
2963,"53 , 23",WA,Garfield County,33920,2003
2964,"53 , 25",WA,Grant County,36283,2003
2965,"53 , 27",WA,Grays Harbor County,35479,2003
2966,"53 , 29",WA,Island County,45551,2003
2967,"53 , 31",WA,Jefferson County,40390,2003
2968,"53 , 33",WA,King County,53541,2003
2969,"53 , 35",WA,Kitsap County,51127,2003
2970,"53 , 37",WA,Kittitas County,34993,2003
2971,"53 , 39",WA,Klickitat County,36082,2003
2972,"53 , 41",WA,Lewis County,36808,2003
2973,"53 , 43",WA,Lincoln County,37266,2003
2974,"53 , 45",WA,Mason County,41312,2003
2975,"53 , 47",WA,Okanogan County,30396,2003
2976,"53 , 49",WA,Pacific County,32101,2003
2977,"53 , 51",WA,Pend Oreille County,34276,2003
2978,"53 , 53",WA,Pierce County,48205,2003
2979,"53 , 55",WA,San Juan County,44059,2003
2980,"53 , 57",WA,Skagit County,44636,2003
2981,"53 , 59",WA,Skamania County,40338,2003
2982,"53 , 61",WA,Snohomish County,52907,2003
2983,"53 , 63",WA,Spokane County,39874,2003
2984,"53 , 65",WA,Stevens County,36112,2003
2985,"53 , 67",WA,Thurston County,50808,2003
2986,"53 , 69",WA,Wahkiakum County,40416,2003
2987,"53 , 71",WA,Walla Walla County,37456,2003
2988,"53 , 73",WA,Whatcom County,41971,2003
2989,"53 , 75",WA,Whitman County,31096,2003
2990,"53 , 77",WA,Yakima County,34780,2003
2952,"53 , 1",WA,Adams County,35241,2004
2953,"53 , 3",WA,Asotin County,34698,2004
2954,"53 , 5",WA,Benton County,51753,2004
2955,"53 , 7",WA,Chelan County,38515,2004
2956,"53 , 9",WA,Clallam County,38651,2004
2957,"53 , 11",WA,Clark County,50312,2004
2958,"53 , 13",WA,Columbia County,35153,2004
2959,"53 , 15",WA,Cowlitz County,40464,2004
2960,"53 , 17",WA,Douglas County,39520,2004
2961,"53 , 19",WA,Ferry County,30606,2004
2962,"53 , 21",WA,Franklin County,40404,2004
2963,"53 , 23",WA,Garfield County,33920,2004
2964,"53 , 25",WA,Grant County,36283,2004
2965,"53 , 27",WA,Grays Harbor County,35479,2004
2966,"53 , 29",WA,Island County,45551,2004
2967,"53 , 31",WA,Jefferson County,40390,2004
2968,"53 , 33",WA,King County,53541,2004
2969,"53 , 35",WA,Kitsap County,51127,2004
2970,"53 , 37",WA,Kittitas County,34993,2004
2971,"53 , 39",WA,Klickitat County,36082,2004
2972,"53 , 41",WA,Lewis County,36808,2004
2973,"53 , 43",WA,Lincoln County,37266,2004
2974,"53 , 45",WA,Mason County,41312,2004
2975,"53 , 47",WA,Okanogan County,30396,2004
2976,"53 , 49",WA,Pacific County,32101,2004
2977,"53 , 51",WA,Pend Oreille County,34276,2004
2978,"53 , 53",WA,Pierce County,48205,2004
2979,"53 , 55",WA,San Juan County,44059,2004
2980,"53 , 57",WA,Skagit County,44636,2004
2981,"53 , 59",WA,Skamania County,40338,2004
2982,"53 , 61",WA,Snohomish County,52907,2004
2983,"53 , 63",WA,Spokane County,39874,2004
2984,"53 , 65",WA,Stevens County,36112,2004
2985,"53 , 67",WA,Thurston County,50808,2004
2986,"53 , 69",WA,Wahkiakum County,40416,2004
2987,"53 , 71",WA,Walla Walla County,37456,2004
2988,"53 , 73",WA,Whatcom County,41971,2004
2989,"53 , 75",WA,Whitman County,31096,2004
2990,"53 , 77",WA,Yakima County,34780,2004
2952,"53 , 1",WA,Adams County,35241,2005
2953,"53 , 3",WA,Asotin County,34698,2005
2954,"53 , 5",WA,Benton County,51753,2005
2955,"53 , 7",WA,Chelan County,38515,2005
2956,"53 , 9",WA,Clallam County,38651,2005
2957,"53 , 11",WA,Clark County,50312,2005
2958,"53 , 13",WA,Columbia County,35153,2005
2959,"53 , 15",WA,Cowlitz County,40464,2005
2960,"53 , 17",WA,Douglas County,39520,2005
2961,"53 , 19",WA,Ferry County,30606,2005
2962,"53 , 21",WA,Franklin County,40404,2005
2963,"53 , 23",WA,Garfield County,33920,2005
2964,"53 , 25",WA,Grant County,36283,2005
2965,"53 , 27",WA,Grays Harbor County,35479,2005
2966,"53 , 29",WA,Island County,45551,2005
2967,"53 , 31",WA,Jefferson County,40390,2005
2968,"53 , 33",WA,King County,53541,2005
2969,"53 , 35",WA,Kitsap County,51127,2005
2970,"53 , 37",WA,Kittitas County,34993,2005
2971,"53 , 39",WA,Klickitat County,36082,2005
2972,"53 , 41",WA,Lewis County,36808,2005
2973,"53 , 43",WA,Lincoln County,37266,2005
2974,"53 , 45",WA,Mason County,41312,2005
2975,"53 , 47",WA,Okanogan County,30396,2005
2976,"53 , 49",WA,Pacific County,32101,2005
2977,"53 , 51",WA,Pend Oreille County,34276,2005
2978,"53 , 53",WA,Pierce County,48205,2005
2979,"53 , 55",WA,San Juan County,44059,2005
2980,"53 , 57",WA,Skagit County,44636,2005
2981,"53 , 59",WA,Skamania County,40338,2005
2982,"53 , 61",WA,Snohomish County,52907,2005
2983,"53 , 63",WA,Spokane County,39874,2005
2984,"53 , 65",WA,Stevens County,36112,2005
2985,"53 , 67",WA,Thurston County,50808,2005
2986,"53 , 69",WA,Wahkiakum County,40416,2005
2987,"53 , 71",WA,Walla Walla County,37456,2005
2988,"53 , 73",WA,Whatcom County,41971,2005
2989,"53 , 75",WA,Whitman County,31096,2005
2990,"53 , 77",WA,Yakima County,34780,2005
2952,"53 , 1",WA,Adams County,35241,2006
2953,"53 , 3",WA,Asotin County,34698,2006
2954,"53 , 5",WA,Benton County,51753,2006
2955,"53 , 7",WA,Chelan County,38515,2006
2956,"53 , 9",WA,Clallam County,38651,2006
2957,"53 , 11",WA,Clark County,50312,2006
2958,"53 , 13",WA,Columbia County,35153,2006
2959,"53 , 15",WA,Cowlitz County,40464,2006
2960,"53 , 17",WA,Douglas County,39520,2006
2961,"53 , 19",WA,Ferry County,30606,2006
2962,"53 , 21",WA,Franklin County,40404,2006
2963,"53 , 23",WA,Garfield County,33920,2006
2964,"53 , 25",WA,Grant County,36283,2006
2965,"53 , 27",WA,Grays Harbor County,35479,2006
2966,"53 , 29",WA,Island County,45551,2006
2967,"53 , 31",WA,Jefferson County,40390,2006
2968,"53 , 33",WA,King County,53541,2006
2969,"53 , 35",WA,Kitsap County,51127,2006
2970,"53 , 37",WA,Kittitas County,34993,2006
2971,"53 , 39",WA,Klickitat County,36082,2006
2972,"53 , 41",WA,Lewis County,36808,2006
2973,"53 , 43",WA,Lincoln County,37266,2006
2974,"53 , 45",WA,Mason County,41312,2006
2975,"53 , 47",WA,Okanogan County,30396,2006
2976,"53 , 49",WA,Pacific County,32101,2006
