State County FIPS,Postal Code,Name,Median Household Income,Year
"55 , 1",WI,Adams County,35092,2003
"55 , 3",WI,Ashland County,33515,2003
"55 , 5",WI,Barron County,38573,2003
"55 , 7",WI,Bayfield County,35995,2003
"55 , 9",WI,Brown County,49894,2003
"55 , 11",WI,Buffalo County,40585,2003
"55 , 13",WI,Burnett County,36781,2003
"55 , 15",WI,Calumet County,60423,2003
"55 , 17",WI,Chippewa County,42308,2003
"55 , 19",WI,Clark County,36597,2003
"55 , 21",WI,Columbia County,48540,2003
"55 , 23",WI,Crawford County,34922,2003
"55 , 25",WI,Dane County,52322,2003
"55 , 27",WI,Dodge County,47053,2003
"55 , 29",WI,Door County,41481,2003
"55 , 31",WI,Douglas County,37245,2003
"55 , 33",WI,Dunn County,40559,2003
"55 , 35",WI,Eau Claire County,40854,2003
"55 , 37",WI,Florence County,36992,2003
"55 , 39",WI,Fond du Lac County,47770,2003
"55 , 41",WI,Forest County,33752,2003
"55 , 43",WI,Grant County,37814,2003
"55 , 45",WI,Green County,45793,2003
"55 , 47",WI,Green Lake County,40870,2003
"55 , 49",WI,Iowa County,45451,2003
"55 , 51",WI,Iron County,32056,2003
"55 , 53",WI,Jackson County,38522,2003
"55 , 55",WI,Jefferson County,49017,2003
"55 , 57",WI,Juneau County,36724,2003
"55 , 59",WI,Kenosha County,48933,2003
"55 , 61",WI,Kewaunee County,45868,2003
"55 , 63",WI,La Crosse County,41241,2003
"55 , 65",WI,Lafayette County,38881,2003
"55 , 67",WI,Langlade County,35611,2003
"55 , 69",WI,Lincoln County,41864,2003
"55 , 71",WI,Manitowoc County,45219,2003
"55 , 73",WI,Marathon County,48741,2003
"55 , 75",WI,Marinette County,38108,2003
"55 , 77",WI,Marquette County,38465,2003
"55 , 78",WI,Menominee County,28629,2003
"55 , 79",WI,Milwaukee County,39146,2003
"55 , 81",WI,Monroe County,40001,2003
"55 , 83",WI,Oconto County,43581,2003
"55 , 85",WI,Oneida County,41291,2003
"55 , 87",WI,Outagamie County,52754,2003
"55 , 89",WI,Ozaukee County,66869,2003
"55 , 91",WI,Pepin County,39687,2003
"55 , 93",WI,Pierce County,52222,2003
"55 , 95",WI,Polk County,44431,2003
"55 , 97",WI,Portage County,45825,2003
"55 , 99",WI,Price County,37640,2003
"55 , 101",WI,Racine County,49138,2003
"55 , 103",WI,Richland County,37575,2003
"55 , 105",WI,Rock County,45859,2003
"55 , 107",WI,Rusk County,33190,2003
"55 , 109",WI,St. Croix County,60971,2003
"55 , 111",WI,Sauk County,44565,2003
"55 , 113",WI,Sawyer County,34646,2003
"55 , 115",WI,Shawano County,39541,2003
"55 , 117",WI,Sheboygan County,49332,2003
"55 , 119",WI,Taylor County,39862,2003
"55 , 121",WI,Trempealeau County,39845,2003
"55 , 123",WI,Vernon County,35141,2003
"55 , 125",WI,Vilas County,35627,2003
"55 , 127",WI,Walworth County,46904,2003
"55 , 129",WI,Washburn County,35469,2003
"55 , 131",WI,Washington County,60798,2003
"55 , 133",WI,Waukesha County,67423,2003
"55 , 135",WI,Waupaca County,43167,2003
"55 , 137",WI,Waushara County,37859,2003
"55 , 139",WI,Winnebago County,47057,2003
"55 , 141",WI,Wood County,44637,2003
"55 , 1",WI,Adams County,35092,2004
"55 , 3",WI,Ashland County,33515,2004
"55 , 5",WI,Barron County,38573,2004
"55 , 7",WI,Bayfield County,35995,2004
"55 , 9",WI,Brown County,49894,2004
"55 , 11",WI,Buffalo County,40585,2004
"55 , 13",WI,Burnett County,36781,2004
"55 , 15",WI,Calumet County,60423,2004
"55 , 17",WI,Chippewa County,42308,2004
"55 , 19",WI,Clark County,36597,2004
"55 , 21",WI,Columbia County,48540,2004
"55 , 23",WI,Crawford County,34922,2004
"55 , 25",WI,Dane County,52322,2004
"55 , 27",WI,Dodge County,47053,2004
"55 , 29",WI,Door County,41481,2004
"55 , 31",WI,Douglas County,37245,2004
"55 , 33",WI,Dunn County,40559,2004
"55 , 35",WI,Eau Claire County,40854,2004
"55 , 37",WI,Florence County,36992,2004
"55 , 39",WI,Fond du Lac County,47770,2004
"55 , 41",WI,Forest County,33752,2004
"55 , 43",WI,Grant County,37814,2004
"55 , 45",WI,Green County,45793,2004
"55 , 47",WI,Green Lake County,40870,2004
"55 , 49",WI,Iowa County,45451,2004
"55 , 51",WI,Iron County,32056,2004
"55 , 53",WI,Jackson County,38522,2004
"55 , 55",WI,Jefferson County,49017,2004
"55 , 57",WI,Juneau County,36724,2004
"55 , 59",WI,Kenosha County,48933,2004
"55 , 61",WI,Kewaunee County,45868,2004
"55 , 63",WI,La Crosse County,41241,2004
"55 , 65",WI,Lafayette County,38881,2004
"55 , 67",WI,Langlade County,35611,2004
"55 , 69",WI,Lincoln County,41864,2004
"55 , 71",WI,Manitowoc County,45219,2004
"55 , 73",WI,Marathon County,48741,2004
"55 , 75",WI,Marinette County,38108,2004
"55 , 77",WI,Marquette County,38465,2004
"55 , 78",WI,Menominee County,28629,2004
"55 , 79",WI,Milwaukee County,39146,2004
"55 , 81",WI,Monroe County,40001,2004
"55 , 83",WI,Oconto County,43581,2004
"55 , 85",WI,Oneida County,41291,2004
"55 , 87",WI,Outagamie County,52754,2004
"55 , 89",WI,Ozaukee County,66869,2004
"55 , 91",WI,Pepin County,39687,2004
"55 , 93",WI,Pierce County,52222,2004
"55 , 95",WI,Polk County,44431,2004
"55 , 97",WI,Portage County,45825,2004
"55 , 99",WI,Price County,37640,2004
"55 , 101",WI,Racine County,49138,2004
"55 , 103",WI,Richland County,37575,2004
"55 , 105",WI,Rock County,45859,2004
"55 , 107",WI,Rusk County,33190,2004
"55 , 109",WI,St. Croix County,60971,2004
"55 , 111",WI,Sauk County,44565,2004
"55 , 113",WI,Sawyer County,34646,2004
"55 , 115",WI,Shawano County,39541,2004
"55 , 117",WI,Sheboygan County,49332,2004
"55 , 119",WI,Taylor County,39862,2004
"55 , 121",WI,Trempealeau County,39845,2004
"55 , 123",WI,Vernon County,35141,2004
"55 , 125",WI,Vilas County,35627,2004
"55 , 127",WI,Walworth County,46904,2004
"55 , 129",WI,Washburn County,35469,2004
"55 , 131",WI,Washington County,60798,2004
"55 , 133",WI,Waukesha County,67423,2004
"55 , 135",WI,Waupaca County,43167,2004
"55 , 137",WI,Waushara County,37859,2004
"55 , 139",WI,Winnebago County,47057,2004
"55 , 141",WI,Wood County,44637,2004
"55 , 1",WI,Adams County,35092,2005
"55 , 3",WI,Ashland County,33515,2005
"55 , 5",WI,Barron County,38573,2005
"55 , 7",WI,Bayfield County,35995,2005
"55 , 9",WI,Brown County,49894,2005
"55 , 11",WI,Buffalo County,40585,2005
"55 , 13",WI,Burnett County,36781,2005
"55 , 15",WI,Calumet County,60423,2005
"55 , 17",WI,Chippewa County,42308,2005
"55 , 19",WI,Clark County,36597,2005
"55 , 21",WI,Columbia County,48540,2005
"55 , 23",WI,Crawford County,34922,2005
"55 , 25",WI,Dane County,52322,2005
"55 , 27",WI,Dodge County,47053,2005
"55 , 29",WI,Door County,41481,2005
"55 , 31",WI,Douglas County,37245,2005
"55 , 33",WI,Dunn County,40559,2005
"55 , 35",WI,Eau Claire County,40854,2005
"55 , 37",WI,Florence County,36992,2005
"55 , 39",WI,Fond du Lac County,47770,2005
"55 , 41",WI,Forest County,33752,2005
"55 , 43",WI,Grant County,37814,2005
"55 , 45",WI,Green County,45793,2005
"55 , 47",WI,Green Lake County,40870,2005
"55 , 49",WI,Iowa County,45451,2005
"55 , 51",WI,Iron County,32056,2005
"55 , 53",WI,Jackson County,38522,2005
"55 , 55",WI,Jefferson County,49017,2005
"55 , 57",WI,Juneau County,36724,2005
"55 , 59",WI,Kenosha County,48933,2005
"55 , 61",WI,Kewaunee County,45868,2005
"55 , 63",WI,La Crosse County,41241,2005
"55 , 65",WI,Lafayette County,38881,2005
"55 , 67",WI,Langlade County,35611,2005
"55 , 69",WI,Lincoln County,41864,2005
"55 , 71",WI,Manitowoc County,45219,2005
"55 , 73",WI,Marathon County,48741,2005
"55 , 75",WI,Marinette County,38108,2005
"55 , 77",WI,Marquette County,38465,2005
"55 , 78",WI,Menominee County,28629,2005
"55 , 79",WI,Milwaukee County,39146,2005
"55 , 81",WI,Monroe County,40001,2005
"55 , 83",WI,Oconto County,43581,2005
"55 , 85",WI,Oneida County,41291,2005
"55 , 87",WI,Outagamie County,52754,2005
"55 , 89",WI,Ozaukee County,66869,2005
"55 , 91",WI,Pepin County,39687,2005
"55 , 93",WI,Pierce County,52222,2005
"55 , 95",WI,Polk County,44431,2005
"55 , 97",WI,Portage County,45825,2005
"55 , 99",WI,Price County,37640,2005
"55 , 101",WI,Racine County,49138,2005
"55 , 103",WI,Richland County,37575,2005
"55 , 105",WI,Rock County,45859,2005
"55 , 107",WI,Rusk County,33190,2005
"55 , 109",WI,St. Croix County,60971,2005
"55 , 111",WI,Sauk County,44565,2005
"55 , 113",WI,Sawyer County,34646,2005
"55 , 115",WI,Shawano County,39541,2005
"55 , 117",WI,Sheboygan County,49332,2005
"55 , 119",WI,Taylor County,39862,2005
"55 , 121",WI,Trempealeau County,39845,2005
"55 , 123",WI,Vernon County,35141,2005
"55 , 125",WI,Vilas County,35627,2005
"55 , 127",WI,Walworth County,46904,2005
"55 , 129",WI,Washburn County,35469,2005
"55 , 131",WI,Washington County,60798,2005
"55 , 133",WI,Waukesha County,67423,2005
"55 , 135",WI,Waupaca County,43167,2005
"55 , 137",WI,Waushara County,37859,2005
"55 , 139",WI,Winnebago County,47057,2005
"55 , 141",WI,Wood County,44637,2005
"55 , 1",WI,Adams County,35092,2006
"55 , 3",WI,Ashland County,33515,2006
"55 , 5",WI,Barron County,38573,2006
"55 , 7",WI,Bayfield County,35995,2006
"55 , 9",WI,Brown County,49894,2006
"55 , 11",WI,Buffalo County,40585,2006
"55 , 13",WI,Burnett County,36781,2006
"55 , 15",WI,Calumet County,60423,2006
"55 , 17",WI,Chippewa County,42308,2006
"55 , 19",WI,Clark County,36597,2006
"55 , 21",WI,Columbia County,48540,2006
"55 , 23",WI,Crawford County,34922,2006
"55 , 25",WI,Dane County,52322,2006
"55 , 27",WI,Dodge County,47053,2006
"55 , 29",WI,Door County,41481,2006
"55 , 31",WI,Douglas County,37245,2006
"55 , 33",WI,Dunn County,40559,2006
"55 , 35",WI,Eau Claire County,40854,2006
"55 , 37",WI,Florence County,36992,2006
"55 , 39",WI,Fond du Lac County,47770,2006
"55 , 41",WI,Forest County,33752,2006
"55 , 43",WI,Grant County,37814,2006
"55 , 45",WI,Green County,45793,2006
"55 , 47",WI,Green Lake County,40870,2006
"55 , 49",WI,Iowa County,45451,2006
"55 , 51",WI,Iron County,32056,2006
"55 , 53",WI,Jackson County,38522,2006
"55 , 55",WI,Jefferson County,49017,2006
"55 , 57",WI,Juneau County,36724,2006
"55 , 59",WI,Kenosha County,48933,2006
"55 , 61",WI,Kewaunee County,45868,2006
"55 , 63",WI,La Crosse County,41241,2006
"55 , 65",WI,Lafayette County,38881,2006
"55 , 67",WI,Langlade County,35611,2006
"55 , 69",WI,Lincoln County,41864,2006
"55 , 71",WI,Manitowoc County,45219,2006
"55 , 73",WI,Marathon County,48741,2006
"55 , 75",WI,Marinette County,38108,2006
"55 , 77",WI,Marquette County,38465,2006
"55 , 78",WI,Menominee County,28629,2006
"55 , 79",WI,Milwaukee County,39146,2006
"55 , 81",WI,Monroe County,40001,2006
"55 , 83",WI,Oconto County,43581,2006
"55 , 85",WI,Oneida County,41291,2006
"55 , 87",WI,Outagamie County,52754,2006
"55 , 89",WI,Ozaukee County,66869,2006
"55 , 91",WI,Pepin County,39687,2006
"55 , 93",WI,Pierce County,52222,2006
"55 , 95",WI,Polk County,44431,2006
"55 , 97",WI,Portage County,45825,2006
"55 , 99",WI,Price County,37640,2006
"55 , 101",WI,Racine County,49138,2006
"55 , 103",WI,Richland County,37575,2006
"55 , 105",WI,Rock County,45859,2006
"55 , 107",WI,Rusk County,33190,2006
"55 , 109",WI,St. Croix County,60971,2006
"55 , 111",WI,Sauk County,44565,2006
"55 , 113",WI,Sawyer County,34646,2006
"55 , 115",WI,Shawano County,39541,2006
"55 , 117",WI,Sheboygan County,49332,2006
"55 , 119",WI,Taylor County,39862,2006
"55 , 121",WI,Trempealeau County,39845,2006
"55 , 123",WI,Vernon County,35141,2006
"55 , 125",WI,Vilas County,35627,2006
"55 , 127",WI,Walworth County,46904,2006
"55 , 129",WI,Washburn County,35469,2006
"55 , 131",WI,Washington County,60798,2006
"55 , 133",WI,Waukesha County,67423,2006
"55 , 135",WI,Waupaca County,43167,2006
"55 , 137",WI,Waushara County,37859,2006
"55 , 139",WI,Winnebago County,47057,2006
"55 , 141",WI,Wood County,44637,2006
"55 , 1",WI,Adams County,35092,2007
"55 , 3",WI,Ashland County,33515,2007
"55 , 5",WI,Barron County,38573,2007
"55 , 7",WI,Bayfield County,35995,2007
"55 , 9",WI,Brown County,49894,2007
"55 , 11",WI,Buffalo County,40585,2007
"55 , 13",WI,Burnett County,36781,2007
"55 , 15",WI,Calumet County,60423,2007
"55 , 17",WI,Chippewa County,42308,2007
"55 , 19",WI,Clark County,36597,2007
"55 , 21",WI,Columbia County,48540,2007
"55 , 23",WI,Crawford County,34922,2007
"55 , 25",WI,Dane County,52322,2007
"55 , 27",WI,Dodge County,47053,2007
"55 , 29",WI,Door County,41481,2007
"55 , 31",WI,Douglas County,37245,2007
"55 , 33",WI,Dunn County,40559,2007
"55 , 35",WI,Eau Claire County,40854,2007
"55 , 37",WI,Florence County,36992,2007
"55 , 39",WI,Fond du Lac County,47770,2007
"55 , 41",WI,Forest County,33752,2007
"55 , 43",WI,Grant County,37814,2007
"55 , 45",WI,Green County,45793,2007
"55 , 47",WI,Green Lake County,40870,2007
"55 , 49",WI,Iowa County,45451,2007
"55 , 51",WI,Iron County,32056,2007
"55 , 53",WI,Jackson County,38522,2007
"55 , 55",WI,Jefferson County,49017,2007
"55 , 57",WI,Juneau County,36724,2007
"55 , 59",WI,Kenosha County,48933,2007
"55 , 61",WI,Kewaunee County,45868,2007
"55 , 63",WI,La Crosse County,41241,2007
"55 , 65",WI,Lafayette County,38881,2007
"55 , 67",WI,Langlade County,35611,2007
"55 , 69",WI,Lincoln County,41864,2007
"55 , 71",WI,Manitowoc County,45219,2007
"55 , 73",WI,Marathon County,48741,2007
"55 , 75",WI,Marinette County,38108,2007
"55 , 77",WI,Marquette County,38465,2007
"55 , 78",WI,Menominee County,28629,2007
"55 , 79",WI,Milwaukee County,39146,2007
"55 , 81",WI,Monroe County,40001,2007
"55 , 83",WI,Oconto County,43581,2007
"55 , 85",WI,Oneida County,41291,2007
"55 , 87",WI,Outagamie County,52754,2007
"55 , 89",WI,Ozaukee County,66869,2007
"55 , 91",WI,Pepin County,39687,2007
"55 , 93",WI,Pierce County,52222,2007
"55 , 95",WI,Polk County,44431,2007
"55 , 97",WI,Portage County,45825,2007
"55 , 99",WI,Price County,37640,2007
"55 , 101",WI,Racine County,49138,2007
"55 , 103",WI,Richland County,37575,2007
"55 , 105",WI,Rock County,45859,2007
"55 , 107",WI,Rusk County,33190,2007
"55 , 109",WI,St. Croix County,60971,2007
"55 , 111",WI,Sauk County,44565,2007
"55 , 113",WI,Sawyer County,34646,2007
"55 , 115",WI,Shawano County,39541,2007
"55 , 117",WI,Sheboygan County,49332,2007
"55 , 119",WI,Taylor County,39862,2007
"55 , 121",WI,Trempealeau County,39845,2007
"55 , 123",WI,Vernon County,35141,2007
"55 , 125",WI,Vilas County,35627,2007
"55 , 127",WI,Walworth County,46904,2007
"55 , 129",WI,Washburn County,35469,2007
"55 , 131",WI,Washington County,60798,2007
"55 , 133",WI,Waukesha County,67423,2007
"55 , 135",WI,Waupaca County,43167,2007
