,State County FIPS,Postal Code,Name,Median Household Income,Year
2991,"54 , 1",WV,Barbour County,27607,2003
2992,"54 , 3",WV,Berkeley County,43330,2003
2993,"54 , 5",WV,Boone County,28675,2003
2994,"54 , 7",WV,Braxton County,26790,2003
2995,"54 , 9",WV,Brooke County,34899,2003
2996,"54 , 11",WV,Cabell County,30740,2003
2997,"54 , 13",WV,Calhoun County,23758,2003
2998,"54 , 15",WV,Clay County,24640,2003
2999,"54 , 17",WV,Doddridge County,27951,2003
3000,"54 , 19",WV,Fayette County,26380,2003
3001,"54 , 21",WV,Gilmer County,24958,2003
3002,"54 , 23",WV,Grant County,31982,2003
3003,"54 , 25",WV,Greenbrier County,29704,2003
3004,"54 , 27",WV,Hampshire County,34881,2003
3005,"54 , 29",WV,Hancock County,36169,2003
3006,"54 , 31",WV,Hardy County,33849,2003
3007,"54 , 33",WV,Harrison County,32471,2003
3008,"54 , 35",WV,Jackson County,34344,2003
3009,"54 , 37",WV,Jefferson County,48633,2003
3010,"54 , 39",WV,Kanawha County,36379,2003
3011,"54 , 41",WV,Lewis County,29771,2003
3012,"54 , 43",WV,Lincoln County,26142,2003
3013,"54 , 45",WV,Logan County,26680,2003
3014,"54 , 47",WV,McDowell County,18431,2003
3015,"54 , 49",WV,Marion County,31539,2003
3016,"54 , 51",WV,Marshall County,32797,2003
3017,"54 , 53",WV,Mason County,29507,2003
3018,"54 , 55",WV,Mercer County,28186,2003
3019,"54 , 57",WV,Mineral County,33936,2003
3020,"54 , 59",WV,Mingo County,23450,2003
3021,"54 , 61",WV,Monongalia County,33087,2003
3022,"54 , 63",WV,Monroe County,29673,2003
3023,"54 , 65",WV,Morgan County,36837,2003
3024,"54 , 67",WV,Nicholas County,27903,2003
3025,"54 , 69",WV,Ohio County,32900,2003
3026,"54 , 71",WV,Pendleton County,31261,2003
3027,"54 , 73",WV,Pleasants County,35993,2003
3028,"54 , 75",WV,Pocahontas County,27567,2003
3029,"54 , 77",WV,Preston County,31187,2003
3030,"54 , 79",WV,Putnam County,44987,2003
3031,"54 , 81",WV,Raleigh County,30777,2003
3032,"54 , 83",WV,Randolph County,29745,2003
3033,"54 , 85",WV,Ritchie County,29843,2003
3034,"54 , 87",WV,Roane County,26647,2003
3035,"54 , 89",WV,Summers County,23017,2003
3036,"54 , 91",WV,Taylor County,29714,2003
3037,"54 , 93",WV,Tucker County,29517,2003
3038,"54 , 95",WV,Tyler County,31713,2003
3039,"54 , 97",WV,Upshur County,28910,2003
3040,"54 , 99",WV,Wayne County,30339,2003
3041,"54 , 101",WV,Webster County,23086,2003
3042,"54 , 103",WV,Wetzel County,32435,2003
3043,"54 , 105",WV,Wirt County,32068,2003
3044,"54 , 107",WV,Wood County,35060,2003
3045,"54 , 109",WV,Wyoming County,25571,2003
2991,"54 , 1",WV,Barbour County,27607,2004
2992,"54 , 3",WV,Berkeley County,43330,2004
2993,"54 , 5",WV,Boone County,28675,2004
2994,"54 , 7",WV,Braxton County,26790,2004
2995,"54 , 9",WV,Brooke County,34899,2004
2996,"54 , 11",WV,Cabell County,30740,2004
2997,"54 , 13",WV,Calhoun County,23758,2004
2998,"54 , 15",WV,Clay County,24640,2004
2999,"54 , 17",WV,Doddridge County,27951,2004
3000,"54 , 19",WV,Fayette County,26380,2004
3001,"54 , 21",WV,Gilmer County,24958,2004
3002,"54 , 23",WV,Grant County,31982,2004
3003,"54 , 25",WV,Greenbrier County,29704,2004
3004,"54 , 27",WV,Hampshire County,34881,2004
3005,"54 , 29",WV,Hancock County,36169,2004
3006,"54 , 31",WV,Hardy County,33849,2004
3007,"54 , 33",WV,Harrison County,32471,2004
3008,"54 , 35",WV,Jackson County,34344,2004
3009,"54 , 37",WV,Jefferson County,48633,2004
3010,"54 , 39",WV,Kanawha County,36379,2004
3011,"54 , 41",WV,Lewis County,29771,2004
3012,"54 , 43",WV,Lincoln County,26142,2004
3013,"54 , 45",WV,Logan County,26680,2004
3014,"54 , 47",WV,McDowell County,18431,2004
3015,"54 , 49",WV,Marion County,31539,2004
3016,"54 , 51",WV,Marshall County,32797,2004
3017,"54 , 53",WV,Mason County,29507,2004
3018,"54 , 55",WV,Mercer County,28186,2004
3019,"54 , 57",WV,Mineral County,33936,2004
3020,"54 , 59",WV,Mingo County,23450,2004
3021,"54 , 61",WV,Monongalia County,33087,2004
3022,"54 , 63",WV,Monroe County,29673,2004
3023,"54 , 65",WV,Morgan County,36837,2004
3024,"54 , 67",WV,Nicholas County,27903,2004
3025,"54 , 69",WV,Ohio County,32900,2004
3026,"54 , 71",WV,Pendleton County,31261,2004
3027,"54 , 73",WV,Pleasants County,35993,2004
3028,"54 , 75",WV,Pocahontas County,27567,2004
3029,"54 , 77",WV,Preston County,31187,2004
3030,"54 , 79",WV,Putnam County,44987,2004
3031,"54 , 81",WV,Raleigh County,30777,2004
3032,"54 , 83",WV,Randolph County,29745,2004
3033,"54 , 85",WV,Ritchie County,29843,2004
3034,"54 , 87",WV,Roane County,26647,2004
3035,"54 , 89",WV,Summers County,23017,2004
3036,"54 , 91",WV,Taylor County,29714,2004
3037,"54 , 93",WV,Tucker County,29517,2004
3038,"54 , 95",WV,Tyler County,31713,2004
3039,"54 , 97",WV,Upshur County,28910,2004
3040,"54 , 99",WV,Wayne County,30339,2004
3041,"54 , 101",WV,Webster County,23086,2004
3042,"54 , 103",WV,Wetzel County,32435,2004
3043,"54 , 105",WV,Wirt County,32068,2004
3044,"54 , 107",WV,Wood County,35060,2004
3045,"54 , 109",WV,Wyoming County,25571,2004
2991,"54 , 1",WV,Barbour County,27607,2005
2992,"54 , 3",WV,Berkeley County,43330,2005
2993,"54 , 5",WV,Boone County,28675,2005
2994,"54 , 7",WV,Braxton County,26790,2005
2995,"54 , 9",WV,Brooke County,34899,2005
2996,"54 , 11",WV,Cabell County,30740,2005
2997,"54 , 13",WV,Calhoun County,23758,2005
2998,"54 , 15",WV,Clay County,24640,2005
2999,"54 , 17",WV,Doddridge County,27951,2005
3000,"54 , 19",WV,Fayette County,26380,2005
3001,"54 , 21",WV,Gilmer County,24958,2005
3002,"54 , 23",WV,Grant County,31982,2005
3003,"54 , 25",WV,Greenbrier County,29704,2005
3004,"54 , 27",WV,Hampshire County,34881,2005
3005,"54 , 29",WV,Hancock County,36169,2005
3006,"54 , 31",WV,Hardy County,33849,2005
3007,"54 , 33",WV,Harrison County,32471,2005
3008,"54 , 35",WV,Jackson County,34344,2005
3009,"54 , 37",WV,Jefferson County,48633,2005
3010,"54 , 39",WV,Kanawha County,36379,2005
3011,"54 , 41",WV,Lewis County,29771,2005
3012,"54 , 43",WV,Lincoln County,26142,2005
3013,"54 , 45",WV,Logan County,26680,2005
3014,"54 , 47",WV,McDowell County,18431,2005
3015,"54 , 49",WV,Marion County,31539,2005
3016,"54 , 51",WV,Marshall County,32797,2005
3017,"54 , 53",WV,Mason County,29507,2005
3018,"54 , 55",WV,Mercer County,28186,2005
3019,"54 , 57",WV,Mineral County,33936,2005
3020,"54 , 59",WV,Mingo County,23450,2005
3021,"54 , 61",WV,Monongalia County,33087,2005
3022,"54 , 63",WV,Monroe County,29673,2005
3023,"54 , 65",WV,Morgan County,36837,2005
3024,"54 , 67",WV,Nicholas County,27903,2005
3025,"54 , 69",WV,Ohio County,32900,2005
3026,"54 , 71",WV,Pendleton County,31261,2005
3027,"54 , 73",WV,Pleasants County,35993,2005
3028,"54 , 75",WV,Pocahontas County,27567,2005
3029,"54 , 77",WV,Preston County,31187,2005
3030,"54 , 79",WV,Putnam County,44987,2005
3031,"54 , 81",WV,Raleigh County,30777,2005
3032,"54 , 83",WV,Randolph County,29745,2005
3033,"54 , 85",WV,Ritchie County,29843,2005
3034,"54 , 87",WV,Roane County,26647,2005
3035,"54 , 89",WV,Summers County,23017,2005
3036,"54 , 91",WV,Taylor County,29714,2005
3037,"54 , 93",WV,Tucker County,29517,2005
3038,"54 , 95",WV,Tyler County,31713,2005
3039,"54 , 97",WV,Upshur County,28910,2005
3040,"54 , 99",WV,Wayne County,30339,2005
3041,"54 , 101",WV,Webster County,23086,2005
3042,"54 , 103",WV,Wetzel County,32435,2005
3043,"54 , 105",WV,Wirt County,32068,2005
3044,"54 , 107",WV,Wood County,35060,2005
3045,"54 , 109",WV,Wyoming County,25571,2005
2991,"54 , 1",WV,Barbour County,27607,2006
2992,"54 , 3",WV,Berkeley County,43330,2006
2993,"54 , 5",WV,Boone County,28675,2006
2994,"54 , 7",WV,Braxton County,26790,2006
2995,"54 , 9",WV,Brooke County,34899,2006
2996,"54 , 11",WV,Cabell County,30740,2006
2997,"54 , 13",WV,Calhoun County,23758,2006
2998,"54 , 15",WV,Clay County,24640,2006
2999,"54 , 17",WV,Doddridge County,27951,2006
3000,"54 , 19",WV,Fayette County,26380,2006
3001,"54 , 21",WV,Gilmer County,24958,2006
3002,"54 , 23",WV,Grant County,31982,2006
3003,"54 , 25",WV,Greenbrier County,29704,2006
3004,"54 , 27",WV,Hampshire County,34881,2006
3005,"54 , 29",WV,Hancock County,36169,2006
3006,"54 , 31",WV,Hardy County,33849,2006
3007,"54 , 33",WV,Harrison County,32471,2006
3008,"54 , 35",WV,Jackson County,34344,2006
3009,"54 , 37",WV,Jefferson County,48633,2006
3010,"54 , 39",WV,Kanawha County,36379,2006
3011,"54 , 41",WV,Lewis County,29771,2006
3012,"54 , 43",WV,Lincoln County,26142,2006
3013,"54 , 45",WV,Logan County,26680,2006
3014,"54 , 47",WV,McDowell County,18431,2006
3015,"54 , 49",WV,Marion County,31539,2006
3016,"54 , 51",WV,Marshall County,32797,2006
3017,"54 , 53",WV,Mason County,29507,2006
3018,"54 , 55",WV,Mercer County,28186,2006
3019,"54 , 57",WV,Mineral County,33936,2006
3020,"54 , 59",WV,Mingo County,23450,2006
3021,"54 , 61",WV,Monongalia County,33087,2006
3022,"54 , 63",WV,Monroe County,29673,2006
3023,"54 , 65",WV,Morgan County,36837,2006
3024,"54 , 67",WV,Nicholas County,27903,2006
3025,"54 , 69",WV,Ohio County,32900,2006
3026,"54 , 71",WV,Pendleton County,31261,2006
3027,"54 , 73",WV,Pleasants County,35993,2006
3028,"54 , 75",WV,Pocahontas County,27567,2006
3029,"54 , 77",WV,Preston County,31187,2006
3030,"54 , 79",WV,Putnam County,44987,2006
3031,"54 , 81",WV,Raleigh County,30777,2006
3032,"54 , 83",WV,Randolph County,29745,2006
3033,"54 , 85",WV,Ritchie County,29843,2006
3034,"54 , 87",WV,Roane County,26647,2006
3035,"54 , 89",WV,Summers County,23017,2006
3036,"54 , 91",WV,Taylor County,29714,2006
3037,"54 , 93",WV,Tucker County,29517,2006
3038,"54 , 95",WV,Tyler County,31713,2006
3039,"54 , 97",WV,Upshur County,28910,2006
3040,"54 , 99",WV,Wayne County,30339,2006
3041,"54 , 101",WV,Webster County,23086,2006
3042,"54 , 103",WV,Wetzel County,32435,2006
3043,"54 , 105",WV,Wirt County,32068,2006
3044,"54 , 107",WV,Wood County,35060,2006
3045,"54 , 109",WV,Wyoming County,25571,2006
2991,"54 , 1",WV,Barbour County,27607,2007
2992,"54 , 3",WV,Berkeley County,43330,2007
2993,"54 , 5",WV,Boone County,28675,2007
2994,"54 , 7",WV,Braxton County,26790,2007
2995,"54 , 9",WV,Brooke County,34899,2007
2996,"54 , 11",WV,Cabell County,30740,2007
2997,"54 , 13",WV,Calhoun County,23758,2007
2998,"54 , 15",WV,Clay County,24640,2007
2999,"54 , 17",WV,Doddridge County,27951,2007
3000,"54 , 19",WV,Fayette County,26380,2007
3001,"54 , 21",WV,Gilmer County,24958,2007
3002,"54 , 23",WV,Grant County,31982,2007
3003,"54 , 25",WV,Greenbrier County,29704,2007
3004,"54 , 27",WV,Hampshire County,34881,2007
3005,"54 , 29",WV,Hancock County,36169,2007
3006,"54 , 31",WV,Hardy County,33849,2007
3007,"54 , 33",WV,Harrison County,32471,2007
3008,"54 , 35",WV,Jackson County,34344,2007
3009,"54 , 37",WV,Jefferson County,48633,2007
3010,"54 , 39",WV,Kanawha County,36379,2007
3011,"54 , 41",WV,Lewis County,29771,2007
3012,"54 , 43",WV,Lincoln County,26142,2007
3013,"54 , 45",WV,Logan County,26680,2007
3014,"54 , 47",WV,McDowell County,18431,2007
3015,"54 , 49",WV,Marion County,31539,2007
3016,"54 , 51",WV,Marshall County,32797,2007
3017,"54 , 53",WV,Mason County,29507,2007
3018,"54 , 55",WV,Mercer County,28186,2007
3019,"54 , 57",WV,Mineral County,33936,2007
3020,"54 , 59",WV,Mingo County,23450,2007
3021,"54 , 61",WV,Monongalia County,33087,2007
3022,"54 , 63",WV,Monroe County,29673,2007
3023,"54 , 65",WV,Morgan County,36837,2007
3024,"54 , 67",WV,Nicholas County,27903,2007
3025,"54 , 69",WV,Ohio County,32900,2007
3026,"54 , 71",WV,Pendleton County,31261,2007
3027,"54 , 73",WV,Pleasants County,35993,2007
3028,"54 , 75",WV,Pocahontas County,27567,2007
