,State County FIPS,Postal Code,Name,Median Household Income,Year
3118,"56 , 1",WY,Albany County,33882,2003
3119,"56 , 3",WY,Big Horn County,35659,2003
3120,"56 , 5",WY,Campbell County,57869,2003
3121,"56 , 7",WY,Carbon County,39759,2003
3122,"56 , 9",WY,Converse County,44870,2003
3123,"56 , 11",WY,Crook County,41568,2003
3124,"56 , 13",WY,Fremont County,35144,2003
3125,"56 , 15",WY,Goshen County,33336,2003
3126,"56 , 17",WY,Hot Springs County,32292,2003
3127,"56 , 19",WY,Johnson County,39508,2003
3128,"56 , 21",WY,Laramie County,44283,2003
3129,"56 , 23",WY,Lincoln County,47088,2003
3130,"56 , 25",WY,Natrona County,40947,2003
3131,"56 , 27",WY,Niobrara County,32595,2003
3132,"56 , 29",WY,Park County,38818,2003
3133,"56 , 31",WY,Platte County,37128,2003
3134,"56 , 33",WY,Sheridan County,38385,2003
3135,"56 , 35",WY,Sublette County,49456,2003
3136,"56 , 37",WY,Sweetwater County,52541,2003
3137,"56 , 39",WY,Teton County,57485,2003
3138,"56 , 41",WY,Uinta County,48658,2003
3139,"56 , 43",WY,Washakie County,40357,2003
3140,"56 , 45",WY,Weston County,39383,2003
3118,"56 , 1",WY,Albany County,33882,2004
3119,"56 , 3",WY,Big Horn County,35659,2004
3120,"56 , 5",WY,Campbell County,57869,2004
3121,"56 , 7",WY,Carbon County,39759,2004
3122,"56 , 9",WY,Converse County,44870,2004
3123,"56 , 11",WY,Crook County,41568,2004
3124,"56 , 13",WY,Fremont County,35144,2004
3125,"56 , 15",WY,Goshen County,33336,2004
3126,"56 , 17",WY,Hot Springs County,32292,2004
3127,"56 , 19",WY,Johnson County,39508,2004
3128,"56 , 21",WY,Laramie County,44283,2004
3129,"56 , 23",WY,Lincoln County,47088,2004
3130,"56 , 25",WY,Natrona County,40947,2004
3131,"56 , 27",WY,Niobrara County,32595,2004
3132,"56 , 29",WY,Park County,38818,2004
3133,"56 , 31",WY,Platte County,37128,2004
3134,"56 , 33",WY,Sheridan County,38385,2004
3135,"56 , 35",WY,Sublette County,49456,2004
3136,"56 , 37",WY,Sweetwater County,52541,2004
3137,"56 , 39",WY,Teton County,57485,2004
3138,"56 , 41",WY,Uinta County,48658,2004
3139,"56 , 43",WY,Washakie County,40357,2004
3140,"56 , 45",WY,Weston County,39383,2004
3118,"56 , 1",WY,Albany County,33882,2005
3119,"56 , 3",WY,Big Horn County,35659,2005
3120,"56 , 5",WY,Campbell County,57869,2005
3121,"56 , 7",WY,Carbon County,39759,2005
3122,"56 , 9",WY,Converse County,44870,2005
3123,"56 , 11",WY,Crook County,41568,2005
3124,"56 , 13",WY,Fremont County,35144,2005
3125,"56 , 15",WY,Goshen County,33336,2005
3126,"56 , 17",WY,Hot Springs County,32292,2005
3127,"56 , 19",WY,Johnson County,39508,2005
3128,"56 , 21",WY,Laramie County,44283,2005
3129,"56 , 23",WY,Lincoln County,47088,2005
3130,"56 , 25",WY,Natrona County,40947,2005
3131,"56 , 27",WY,Niobrara County,32595,2005
3132,"56 , 29",WY,Park County,38818,2005
3133,"56 , 31",WY,Platte County,37128,2005
3134,"56 , 33",WY,Sheridan County,38385,2005
3135,"56 , 35",WY,Sublette County,49456,2005
3136,"56 , 37",WY,Sweetwater County,52541,2005
3137,"56 , 39",WY,Teton County,57485,2005
3138,"56 , 41",WY,Uinta County,48658,2005
3139,"56 , 43",WY,Washakie County,40357,2005
3140,"56 , 45",WY,Weston County,39383,2005
3118,"56 , 1",WY,Albany County,33882,2006
3119,"56 , 3",WY,Big Horn County,35659,2006
3120,"56 , 5",WY,Campbell County,57869,2006
3121,"56 , 7",WY,Carbon County,39759,2006
3122,"56 , 9",WY,Converse County,44870,2006
3123,"56 , 11",WY,Crook County,41568,2006
3124,"56 , 13",WY,Fremont County,35144,2006
3125,"56 , 15",WY,Goshen County,33336,2006
3126,"56 , 17",WY,Hot Springs County,32292,2006
3127,"56 , 19",WY,Johnson County,39508,2006
3128,"56 , 21",WY,Laramie County,44283,2006
3129,"56 , 23",WY,Lincoln County,47088,2006
3130,"56 , 25",WY,Natrona County,40947,2006
3131,"56 , 27",WY,Niobrara County,32595,2006
3132,"56 , 29",WY,Park County,38818,2006
