,State County FIPS,Postal Code,Name,Median Household Income
0,"1 , 1",AL,Autauga County,44241
1,"1 , 3",AL,Baldwin County,41961
2,"1 , 5",AL,Barbour County,26062
3,"1 , 7",AL,Bibb County,32924
4,"1 , 9",AL,Blount County,37758
5,"1 , 11",AL,Bullock County,20903
6,"1 , 13",AL,Butler County,26951
7,"1 , 15",AL,Calhoun County,33137
8,"1 , 17",AL,Chambers County,30844
9,"1 , 19",AL,Cherokee County,32158
10,"1 , 21",AL,Chilton County,34201
11,"1 , 23",AL,Choctaw County,26829
12,"1 , 25",AL,Clarke County,28644
13,"1 , 27",AL,Clay County,29456
14,"1 , 29",AL,Cleburne County,32834
15,"1 , 31",AL,Coffee County,35739
16,"1 , 33",AL,Colbert County,33550
17,"1 , 35",AL,Conecuh County,23726
18,"1 , 37",AL,Coosa County,29801
19,"1 , 39",AL,Covington County,28670
20,"1 , 41",AL,Crenshaw County,28358
21,"1 , 43",AL,Cullman County,34056
22,"1 , 45",AL,Dale County,32774
23,"1 , 47",AL,Dallas County,24456
24,"1 , 49",AL,DeKalb County,31310
25,"1 , 51",AL,Elmore County,42687
26,"1 , 53",AL,Escambia County,28608
27,"1 , 55",AL,Etowah County,31512
28,"1 , 57",AL,Fayette County,30216
29,"1 , 59",AL,Franklin County,28277
30,"1 , 61",AL,Geneva County,28040
31,"1 , 63",AL,Greene County,21963
32,"1 , 65",AL,Hale County,26138
33,"1 , 67",AL,Henry County,31504
34,"1 , 69",AL,Houston County,35866
35,"1 , 71",AL,Jackson County,33128
36,"1 , 73",AL,Jefferson County,38305
37,"1 , 75",AL,Lamar County,28913
38,"1 , 77",AL,Lauderdale County,34422
39,"1 , 79",AL,Lawrence County,34195
40,"1 , 81",AL,Lee County,33550
41,"1 , 83",AL,Limestone County,40901
42,"1 , 85",AL,Lowndes County,24090
43,"1 , 87",AL,Macon County,22594
44,"1 , 89",AL,Madison County,48719
45,"1 , 91",AL,Marengo County,28815
46,"1 , 93",AL,Marion County,27227
47,"1 , 95",AL,Marshall County,33756
48,"1 , 97",AL,Mobile County,32850
49,"1 , 99",AL,Monroe County,29027
50,"1 , 101",AL,Montgomery County,35592
51,"1 , 103",AL,Morgan County,39965
52,"1 , 105",AL,Perry County,20630
53,"1 , 107",AL,Pickens County,26895
54,"1 , 109",AL,Pike County,26615
55,"1 , 111",AL,Randolph County,29435
56,"1 , 113",AL,Russell County,28547
57,"1 , 115",AL,St. Clair County,38713
58,"1 , 117",AL,Shelby County,60894
59,"1 , 119",AL,Sumter County,20627
60,"1 , 121",AL,Talladega County,33191
61,"1 , 123",AL,Tallapoosa County,30626
62,"1 , 125",AL,Tuscaloosa County,35268
63,"1 , 127",AL,Walker County,31298
64,"1 , 129",AL,Washington County,31198
65,"1 , 131",AL,Wilcox County,19633
66,"1 , 133",AL,Winston County,27430
67,"2 , 13",AK,Aleutians East Borough,39239
68,"2 , 16",AK,Aleutians West Census Area,50367
69,"2 , 20",AK,Anchorage Borough,55197
70,"2 , 50",AK,Bethel Census Area,35326
71,"2 , 60",AK,Bristol Bay Borough,55876
72,"2 , 68",AK,Denali Borough,52230
73,"2 , 70",AK,Dillingham Census Area,40477
74,"2 , 90",AK,Fairbanks North Star Borough,52492
75,"2 , 100",AK,Haines Borough,39003
76,"2 , 110",AK,Juneau Borough,60024
77,"2 , 122",AK,Kenai Peninsula Borough,48697
78,"2 , 130",AK,Ketchikan Gateway Borough,50154
79,"2 , 150",AK,Kodiak Island Borough,51809
80,"2 , 164",AK,Lake and Peninsula Borough,32617
81,"2 , 170",AK,Matanuska-Susitna Borough,54725
82,"2 , 180",AK,Nome Census Area,38925
83,"2 , 185",AK,North Slope Borough,57822
84,"2 , 188",AK,Northwest Arctic Borough,42230
85,"2 , 201",AK,Prince of Wales-Outer Ketchikan Census Area,35393
86,"2 , 220",AK,Sitka Borough,51207
87,"2 , 232",AK,Skagway-Hoonah-Angoon Census Area,41072
88,"2 , 240",AK,Southeast Fairbanks Census Area,40894
89,"2 , 261",AK,Valdez-Cordova Census Area,50408
90,"2 , 270",AK,Wade Hampton Census Area,27650
91,"2 , 280",AK,Wrangell-Petersburg Census Area,45724
92,"2 , 282",AK,Yakutat Borough,40404
93,"2 , 290",AK,Yukon-Koyukuk Census Area,29952
94,"4 , 1",AZ,Apache County,25558
95,"4 , 3",AZ,Cochise County,34801
96,"4 , 5",AZ,Coconino County,39034
97,"4 , 7",AZ,Gila County,31780
98,"4 , 9",AZ,Graham County,30040
99,"4 , 11",AZ,Greenlee County,41032
100,"4 , 12",AZ,La Paz County,25807
101,"4 , 13",AZ,Maricopa County,46376
102,"4 , 15",AZ,Mohave County,32505
103,"4 , 17",AZ,Navajo County,30078
104,"4 , 19",AZ,Pima County,37540
105,"4 , 21",AZ,Pinal County,37869
106,"4 , 23",AZ,Santa Cruz County,32070
107,"4 , 25",AZ,Yavapai County,35303
108,"4 , 27",AZ,Yuma County,32645
109,"5 , 1",AR,Arkansas County,32448
110,"5 , 3",AR,Ashley County,32485
111,"5 , 5",AR,Baxter County,30521
112,"5 , 7",AR,Benton County,45353
113,"5 , 9",AR,Boone County,31626
114,"5 , 11",AR,Bradley County,26593
115,"5 , 13",AR,Calhoun County,29940
116,"5 , 15",AR,Carroll County,27796
117,"5 , 17",AR,Chicot County,22088
118,"5 , 19",AR,Clark County,29970
119,"5 , 21",AR,Clay County,27217
120,"5 , 23",AR,Cleburne County,32341
121,"5 , 25",AR,Cleveland County,34724
122,"5 , 27",AR,Columbia County,29275
123,"5 , 29",AR,Conway County,31779
124,"5 , 31",AR,Craighead County,34821
125,"5 , 33",AR,Crawford County,35138
126,"5 , 35",AR,Crittenden County,30546
127,"5 , 37",AR,Cross County,30356
128,"5 , 39",AR,Dallas County,26633
129,"5 , 41",AR,Desha County,25822
130,"5 , 43",AR,Drew County,29817
131,"5 , 45",AR,Faulkner County,40395
132,"5 , 47",AR,Franklin County,31307
133,"5 , 49",AR,Fulton County,26687
134,"5 , 51",AR,Garland County,32064
135,"5 , 53",AR,Grant County,40375
136,"5 , 55",AR,Greene County,33001
137,"5 , 57",AR,Hempstead County,27614
138,"5 , 59",AR,Hot Spring County,32498
139,"5 , 61",AR,Howard County,27569
140,"5 , 63",AR,Independence County,32910
141,"5 , 65",AR,Izard County,26293
142,"5 , 67",AR,Jackson County,26246
143,"5 , 69",AR,Jefferson County,31211
144,"5 , 71",AR,Johnson County,28791
145,"5 , 73",AR,Lafayette County,24399
146,"5 , 75",AR,Lawrence County,27899
147,"5 , 77",AR,Lee County,21891
148,"5 , 79",AR,Lincoln County,28405
149,"5 , 81",AR,Little River County,30014
150,"5 , 83",AR,Logan County,29613
151,"5 , 85",AR,Lonoke County,42953
152,"5 , 87",AR,Madison County,28515
153,"5 , 89",AR,Marion County,27187
154,"5 , 91",AR,Miller County,32209
155,"5 , 93",AR,Mississippi County,27844
156,"5 , 95",AR,Monroe County,24069
157,"5 , 97",AR,Montgomery County,27109
158,"5 , 99",AR,Nevada County,27029
159,"5 , 101",AR,Newton County,25886
160,"5 , 103",AR,Ouachita County,29574
161,"5 , 105",AR,Perry County,32198
162,"5 , 107",AR,Phillips County,22660
163,"5 , 109",AR,Pike County,29172
164,"5 , 111",AR,Poinsett County,27718
165,"5 , 113",AR,Polk County,25699
166,"5 , 115",AR,Pope County,32990
167,"5 , 117",AR,Prairie County,30885
168,"5 , 119",AR,Pulaski County,39325
169,"5 , 121",AR,Randolph County,28598
170,"5 , 123",AR,St. Francis County,25571
171,"5 , 125",AR,Saline County,44342
172,"5 , 127",AR,Scott County,25706
173,"5 , 129",AR,Searcy County,21836
174,"5 , 131",AR,Sebastian County,35685
175,"5 , 133",AR,Sevier County,28620
176,"5 , 135",AR,Sharp County,24647
177,"5 , 137",AR,Stone County,23646
178,"5 , 139",AR,Union County,31957
179,"5 , 141",AR,Van Buren County,27204
180,"5 , 143",AR,Washington County,36928
181,"5 , 145",AR,White County,34019
182,"5 , 147",AR,Woodruff County,23706
183,"5 , 149",AR,Yell County,28569
184,"6 , 1",CA,Alameda County,56225
185,"6 , 3",CA,Alpine County,38825
186,"6 , 5",CA,Amador County,44494
187,"6 , 7",CA,Butte County,33528
188,"6 , 9",CA,Calaveras County,43462
189,"6 , 11",CA,Colusa County,36579
190,"6 , 13",CA,Contra Costa County,64365
191,"6 , 15",CA,Del Norte County,29990
192,"6 , 17",CA,El Dorado County,54131
