State County,Postal Code,Name,Median Household Income
"1,1",AL,Autauga County,44241
"1,3",AL,Baldwin County,41961
"1,5",AL,Barbour County,26062
"1,7",AL,Bibb County,32924
"1,9",AL,Blount County,37758
"1,11",AL,Bullock County,20903
"1,13",AL,Butler County,26951
"1,15",AL,Calhoun County,33137
"1,17",AL,Chambers County,30844
"1,19",AL,Cherokee County,32158
"1,21",AL,Chilton County,34201
"1,23",AL,Choctaw County,26829
"1,25",AL,Clarke County,28644
"1,27",AL,Clay County,29456
"1,29",AL,Cleburne County,32834
"1,31",AL,Coffee County,35739
"1,33",AL,Colbert County,33550
"1,35",AL,Conecuh County,23726
"1,37",AL,Coosa County,29801
"1,39",AL,Covington County,28670
"1,41",AL,Crenshaw County,28358
"1,43",AL,Cullman County,34056
"1,45",AL,Dale County,32774
"1,47",AL,Dallas County,24456
"1,49",AL,DeKalb County,31310
"1,51",AL,Elmore County,42687
"1,53",AL,Escambia County,28608
"1,55",AL,Etowah County,31512
"1,57",AL,Fayette County,30216
"1,59",AL,Franklin County,28277
"1,61",AL,Geneva County,28040
"1,63",AL,Greene County,21963
"1,65",AL,Hale County,26138
"1,67",AL,Henry County,31504
"1,69",AL,Houston County,35866
"1,71",AL,Jackson County,33128
"1,73",AL,Jefferson County,38305
"1,75",AL,Lamar County,28913
"1,77",AL,Lauderdale County,34422
"1,79",AL,Lawrence County,34195
"1,81",AL,Lee County,33550
"1,83",AL,Limestone County,40901
"1,85",AL,Lowndes County,24090
"1,87",AL,Macon County,22594
"1,89",AL,Madison County,48719
"1,91",AL,Marengo County,28815
"1,93",AL,Marion County,27227
"1,95",AL,Marshall County,33756
"1,97",AL,Mobile County,32850
"1,99",AL,Monroe County,29027
"1,101",AL,Montgomery County,35592
"1,103",AL,Morgan County,39965
"1,105",AL,Perry County,20630
"1,107",AL,Pickens County,26895
"1,109",AL,Pike County,26615
"1,111",AL,Randolph County,29435
"1,113",AL,Russell County,28547
"1,115",AL,St. Clair County,38713
"1,117",AL,Shelby County,60894
"1,119",AL,Sumter County,20627
"1,121",AL,Talladega County,33191
"1,123",AL,Tallapoosa County,30626
"1,125",AL,Tuscaloosa County,35268
"1,127",AL,Walker County,31298
"1,129",AL,Washington County,31198
"1,131",AL,Wilcox County,19633
"1,133",AL,Winston County,27430
"2,13",AK,Aleutians East Borough,39239
"2,16",AK,Aleutians West Census Area,50367
"2,20",AK,Anchorage Borough,55197
"2,50",AK,Bethel Census Area,35326
"2,60",AK,Bristol Bay Borough,55876
"2,68",AK,Denali Borough,52230
"2,70",AK,Dillingham Census Area,40477
"2,90",AK,Fairbanks North Star Borough,52492
"2,100",AK,Haines Borough,39003
"2,110",AK,Juneau Borough,60024
"2,122",AK,Kenai Peninsula Borough,48697
"2,130",AK,Ketchikan Gateway Borough,50154
"2,150",AK,Kodiak Island Borough,51809
"2,164",AK,Lake and Peninsula Borough,32617
"2,170",AK,Matanuska-Susitna Borough,54725
"2,180",AK,Nome Census Area,38925
"2,185",AK,North Slope Borough,57822
"2,188",AK,Northwest Arctic Borough,42230
"2,201",AK,Prince of Wales-Outer Ketchikan Census Area,35393
"2,220",AK,Sitka Borough,51207
"2,232",AK,Skagway-Hoonah-Angoon Census Area,41072
"2,240",AK,Southeast Fairbanks Census Area,40894
"2,261",AK,Valdez-Cordova Census Area,50408
"2,270",AK,Wade Hampton Census Area,27650
"2,280",AK,Wrangell-Petersburg Census Area,45724
"2,282",AK,Yakutat Borough,40404
"2,290",AK,Yukon-Koyukuk Census Area,29952
"4,1",AZ,Apache County,25558
"4,3",AZ,Cochise County,34801
"4,5",AZ,Coconino County,39034
"4,7",AZ,Gila County,31780
"4,9",AZ,Graham County,30040
"4,11",AZ,Greenlee County,41032
"4,12",AZ,La Paz County,25807
"4,13",AZ,Maricopa County,46376
"4,15",AZ,Mohave County,32505
"4,17",AZ,Navajo County,30078
"4,19",AZ,Pima County,37540
"4,21",AZ,Pinal County,37869
"4,23",AZ,Santa Cruz County,32070
"4,25",AZ,Yavapai County,35303
"4,27",AZ,Yuma County,32645
"5,1",AR,Arkansas County,32448
"5,3",AR,Ashley County,32485
"5,5",AR,Baxter County,30521
"5,7",AR,Benton County,45353
"5,9",AR,Boone County,31626
"5,11",AR,Bradley County,26593
"5,13",AR,Calhoun County,29940
"5,15",AR,Carroll County,27796
"5,17",AR,Chicot County,22088
"5,19",AR,Clark County,29970
"5,21",AR,Clay County,27217
"5,23",AR,Cleburne County,32341
"5,25",AR,Cleveland County,34724
"5,27",AR,Columbia County,29275
"5,29",AR,Conway County,31779
"5,31",AR,Craighead County,34821
"5,33",AR,Crawford County,35138
"5,35",AR,Crittenden County,30546
"5,37",AR,Cross County,30356
"5,39",AR,Dallas County,26633
"5,41",AR,Desha County,25822
"5,43",AR,Drew County,29817
"5,45",AR,Faulkner County,40395
"5,47",AR,Franklin County,31307
"5,49",AR,Fulton County,26687
"5,51",AR,Garland County,32064
"5,53",AR,Grant County,40375
"5,55",AR,Greene County,33001
"5,57",AR,Hempstead County,27614
"5,59",AR,Hot Spring County,32498
"5,61",AR,Howard County,27569
"5,63",AR,Independence County,32910
"5,65",AR,Izard County,26293
"5,67",AR,Jackson County,26246
"5,69",AR,Jefferson County,31211
"5,71",AR,Johnson County,28791
"5,73",AR,Lafayette County,24399
"5,75",AR,Lawrence County,27899
"5,77",AR,Lee County,21891
"5,79",AR,Lincoln County,28405
"5,81",AR,Little River County,30014
"5,83",AR,Logan County,29613
"5,85",AR,Lonoke County,42953
"5,87",AR,Madison County,28515
"5,89",AR,Marion County,27187
"5,91",AR,Miller County,32209
"5,93",AR,Mississippi County,27844
"5,95",AR,Monroe County,24069
"5,97",AR,Montgomery County,27109
"5,99",AR,Nevada County,27029
"5,101",AR,Newton County,25886
"5,103",AR,Ouachita County,29574
"5,105",AR,Perry County,32198
"5,107",AR,Phillips County,22660
"5,109",AR,Pike County,29172
"5,111",AR,Poinsett County,27718
"5,113",AR,Polk County,25699
"5,115",AR,Pope County,32990
"5,117",AR,Prairie County,30885
"5,119",AR,Pulaski County,39325
"5,121",AR,Randolph County,28598
"5,123",AR,St. Francis County,25571
"5,125",AR,Saline County,44342
"5,127",AR,Scott County,25706
"5,129",AR,Searcy County,21836
"5,131",AR,Sebastian County,35685
"5,133",AR,Sevier County,28620
"5,135",AR,Sharp County,24647
"5,137",AR,Stone County,23646
"5,139",AR,Union County,31957
"5,141",AR,Van Buren County,27204
"5,143",AR,Washington County,36928
"5,145",AR,White County,34019
