incidentType,state,county,incidentCount,FEMA$
Chemical,WestVirginia,Boone,6,12013.226666666667
Chemical,WestVirginia,Cabell,2,3826.87
Chemical,WestVirginia,Kanawha,12,50986.35166666666
Chemical,WestVirginia,Lincoln,9,7432.647777777778
Chemical,WestVirginia,Putnam,13,5519.38846153846
Coastal Storm,Alaska,Kenai Peninsula,1,2994493.77
Coastal Storm,Alaska,North Slope,1,3915189.31
Coastal Storm,Florida,Charlotte,5,212699.912
Coastal Storm,Florida,Collier,9,541084.4644444444
Coastal Storm,Florida,DeSoto,3,48955.47666666666
Coastal Storm,Florida,Flagler,6,108474.31166666666
Coastal Storm,Florida,Hardee,3,802487.42
Coastal Storm,Florida,Highlands,3,50819.73
Coastal Storm,Florida,Lee,7,50192.607142857145
Coastal Storm,Florida,Manatee,17,188608.43882352943
Coastal Storm,Florida,Putnam,5,132824.44
Coastal Storm,Florida,Sarasota,11,549919.290909091
Coastal Storm,Florida,St. Johns,4,286431.6
Coastal Storm,Louisiana,Ascension,4,182246.2975
Coastal Storm,Louisiana,Assumption,3,24179.586666666666
Coastal Storm,Louisiana,Beauregard,2,43021.875
Coastal Storm,Louisiana,E. Baton Rouge,13,79829.61
Coastal Storm,Louisiana,E. Feliciana,3,31483.34
Coastal Storm,Louisiana,Iberia,2,36498.16
Coastal Storm,Louisiana,Iberville,6,81993.15500000001
Coastal Storm,Louisiana,Jefferson,16,160633.181875
Coastal Storm,Louisiana,Lafayette,10,34220.096999999994
Coastal Storm,Louisiana,Lafourche,18,136529.77222222224
Coastal Storm,Louisiana,Livingston,8,29098.67125
Coastal Storm,Louisiana,Orleans,3,55617.46
Coastal Storm,Louisiana,Plaquemines,2,449137.20999999996
Coastal Storm,Louisiana,Pointe Coupee,4,9220.460000000001
Coastal Storm,Louisiana,St. Bernard,7,76579.24285714285
Coastal Storm,Louisiana,St. Charles,4,219935.9425
Coastal Storm,Louisiana,St. James,7,27753.40428571429
Coastal Storm,Louisiana,St. John the Baptist,2,53136.66
Coastal Storm,Louisiana,St. Martin,4,51428.63
Coastal Storm,Louisiana,St. Mary,10,23170.998
Coastal Storm,Louisiana,St. Tammany,11,32716.615454545456
Coastal Storm,Louisiana,Tangipahoa,1,118357.76
Coastal Storm,Louisiana,Terrebonne,6,203511.8883333333
Coastal Storm,Louisiana,Vermilion,4,45344.7
Coastal Storm,Louisiana,W. Feliciana,5,8352.774000000001
Coastal Storm,Louisiana,Washington,3,46855.34666666666
Coastal Storm,Maine,York,9,439178.6466666666
Coastal Storm,NewHampshire,Rockingham,7,49353.28857142857
Coastal Storm,Oregon,Deschutes,1,9734.18
Coastal Storm,Oregon,Multnomah,4,209276.71
Coastal Storm,Texas,Anderson,2,26618.899999999998
Coastal Storm,Texas,Angelina,2,9850.77
Coastal Storm,Texas,Brazoria,6,70540.08833333333
Coastal Storm,Texas,Chambers,1,67099.44
Coastal Storm,Texas,Cherokee,2,46705.405
Coastal Storm,Texas,Fort Bend,4,15839.197499999998
Coastal Storm,Texas,Galveston,14,75366.66071428571
Coastal Storm,Texas,Hardin,5,62668.414000000004
Coastal Storm,Texas,Harris,91,4183295.0096703297
Coastal Storm,Texas,Houston,2,88624.97
Coastal Storm,Texas,Jasper,1,48254.1
Coastal Storm,Texas,Jefferson,7,119616.24714285714
Coastal Storm,Texas,Liberty,6,39538.721666666665
Coastal Storm,Texas,Madison,2,30911.125
Coastal Storm,Texas,Montgomery,13,63868.35538461537
Coastal Storm,Texas,Nacogdoches,2,22245.22
Coastal Storm,Texas,Newton,1,58661.33
Coastal Storm,Texas,Orange,5,36833.788
Coastal Storm,Texas,Polk,2,28665.92
Coastal Storm,Texas,San Augustine,1,10348.88
Coastal Storm,Texas,San Jacinto,1,17857.05
Coastal Storm,Texas,Smith,2,13358.43
Coastal Storm,Texas,Trinity,2,74010.38500000001
Coastal Storm,Texas,Tyler,2,36378.94
Coastal Storm,Texas,Walker,2,69413.795
Coastal Storm,Utah,Salt Lake,1,11771.65
Coastal Storm,Utah,Utah,1,4023.74
Coastal Storm,Washington,Kitsap,1,0.0
Coastal Storm,Washington,Pierce,1,6981.46
Coastal Storm,Washington,Thurston,2,546.245
Dam/Levee Break,California,San Joaquin,9,471388.65888888884
Earthquake,Alaska,Anchorage,31,338118.7048387096
Earthquake,Alaska,Kenai Peninsula,1,130517.14
Earthquake,Alaska,Matanuska-Susitna,3,1658485.6133333333
Earthquake,Alaska,Southeast Fairbanks (C,4,91731.53749999999
Earthquake,Alaska,Valdez-Cordova (CA),4,152691.745
Earthquake,Alaska,Yukon-Koyukuk (CA),1,3723.88
Earthquake,California,Imperial,22,1114644.0922727275
Earthquake,California,Napa,22,829509.6236363635
Earthquake,California,San Luis Obispo,27,1627504.9337037036
Earthquake,California,Santa Barbara,4,162110.04750000002
Earthquake,California,Solano,8,418124.34500000003
Earthquake,DistrictofColumbia,District of Columbia,15,266368.2153333333
Earthquake,Hawaii,Hawaii,14,529232.5564285715
Earthquake,Hawaii,Honolulu,4,47486.445
Earthquake,Hawaii,Kauai,1,860.73
Earthquake,Hawaii,Maui,6,358832.9033333333
Earthquake,Virginia,Culpeper,4,169166.0775
Earthquake,Virginia,Fredericksburg (city),1,31046.52
Earthquake,Virginia,Louisa,6,6983013.528333333
Earthquake,Virginia,Northampton,2,3000.31
Earthquake,Virginia,Spotsylvania,2,13485.065
Earthquake,Washington,Clallam,6,11577.276666666667
Earthquake,Washington,Cowlitz,3,5956.0
Earthquake,Washington,Douglas,1,14770.97
Earthquake,Washington,Grays Harbor,12,11323.883333333333
Earthquake,Washington,King,70,413189.403
Earthquake,Washington,Kitsap,15,39300.04266666667
Earthquake,Washington,Lewis,19,23987.086842105266
Earthquake,Washington,Mason,9,41267.99888888889
Earthquake,Washington,Pacific,6,8461.433333333332
Earthquake,Washington,Pierce,36,70347.75805555556
Earthquake,Washington,Skagit,7,18070.87714285714
Earthquake,Washington,Snohomish,20,22481.9305
Earthquake,Washington,Thurston,18,103787.67333333337
Earthquake,Washington,Whatcom,9,18553.173333333336
Fire,Alaska,Wade Hampton (CA),2,123696.905
Fire,Arizona,Apache,7,0.0
Fire,Arizona,Navajo,19,36893.45105263158
Fire,Arizona,Pima,4,1188494.4775
Fire,California,Alameda,1,456313.43
Fire,California,Butte,23,603079.7913043479
Fire,California,Calaveras,13,995347.4330769231
Fire,California,Humboldt,3,45667.85333333333
Fire,California,Kern,1,49957.12
Fire,California,Lake,15,1068147.2826666667
Fire,California,Los Angeles,50,634796.8328
Fire,California,Mariposa,1,368563.72
Fire,California,Mendocino,9,677936.5222222223
Fire,California,Monterey,4,103719.77249999999
Fire,California,Napa,8,825167.88375
Fire,California,Nevada,1,137302.46
