county,totalamount
nan,0.0
Lauderdale,4004167.4499999997
Lawrence,1068738.48
Limestone,9823551.580000002
Colbert,3483914.3099999996
Cullman,15258666.23
Lamar,4358461.079999999
Madison,12909948.089999998
Statewide,246873857.85000002
Winston,1282838.6099999999
Morgan,1454239.81
Marion,7881074.529999999
Fayette,3166756.9499999997
Franklin,21064798.11
DeKalb,10129752.659999998
Cherokee,1577751.1500000001
Jackson,3822871.6999999997
Geneva,9553633.440000001
Henry,2126515.37
Dale,3476239.93
Macon,5222135.880000001
Etowah,2440401.38
Tuscaloosa,22810381.730000004
Houston,13648101.64
Jefferson,56717785.06000001
Blount,3097544.6
Walker,10164471.54
Butler,1773524.5200000003
St. Clair,2843201.29
Mobile,46776062.43000001
Baldwin,149703831.99
Cleburne,679472.0499999999
Chambers,1482594.94
Clay,351312.28
Talladega,1329107.1
Marshall,13907184.810000002
Randolph,1603110.8199999998
Russell,1445095.41
Autauga,826324.5000000001
Dallas,1938157.86
Bibb,793938.71
Conecuh,3901160.48
Chilton,200125.30000000002
Covington,16731299.500000002
Clarke,2441056.9699999997
Coffee,14443178.879999999
Calhoun,37861194.26
Crenshaw,5799852.22
Choctaw,857092.76
Coosa,33981.69
Bullock,815611.68
Hale,1044829.6099999999
Elmore,3111058.7799999993
Escambia,12004804.54
Greene,561706.99
Lee,4742414.15
Lowndes,409532.82
Marengo,1486713.06
Monroe,1105830.3599999999
Shelby,509804.53
Tallapoosa,653350.88
Montgomery,5465855.419999999
Pickens,486076.67
Sumter,762956.01
Pike,3952970.4599999995
Wilcox,4870116.420000001
Washington,1485100.98
Perry,1362570.94
Barbour,951493.58
NaN,1337757.46
