county,totalamount
Aleutians East,66382.88999999998
Statewide,122750720.84
Lake and Peninsula,490425.95
Kenai Peninsula,12143839.32
Anchorage,20692904.24
Valdez-Cordova (CA),6222090.72
Dillingham (CA),61051.78999999999
Kodiak Island,1937402.59
Southeast Fairbanks (C,2219360.4899999998
Fairbanks North Star,2164561.61
Bristol Bay,550038.89
Bethel (CA),4860959.66
Matanuska-Susitna,10975386.870000001
Wade Hampton (CA),20948661.42
Yukon-Koyukuk (CA),9962444.489999998
Nome (CA),8664715.2
Aleutians West (CA),17684789.91
Northwest Arctic,207405.44
North Slope,22934541.57
Denali,1929.08
