county,totalamount
White,4563239.16
Statewide,278553432.3
Pulaski,38630378.99
St. Francis,1798036.1299999997
Greene,12595162.77
Randolph,6304261.970000001
Columbia,20861314.589999996
Drew,625641.7000000001
Saline,8859924.25
Jackson,2956311.33
Chicot,1898996.2599999995
Miller,6921135.96
Independence,3633474.89
Monroe,3947524.2600000002
Bradley,2257875.34
Clay,5935503.480000001
Cleveland,1824027.02
Benton,24647097.43
Conway,4829454.679999999
Cleburne,9874527.23
Calhoun,2665345.22
Baxter,7668192.549999999
Clark,4821770.8100000005
Arkansas,1647041.3
Boone,6383989.569999998
Lee,3758186.76
Little River,3729949.6600000006
Franklin,8349475.5
Hempstead,14772271.209999997
Faulkner,8302243.360000001
Cross,3669157.880000001
Dallas,1366078.45
Lafayette,1227001.05
Jefferson,11363447.1
Fulton,7386347.67
Hot Spring,2624471.6499999994
Crittenden,1544818.0799999998
Crawford,7391391.0
Grant,782532.5599999999
Izard,3966070.17
Garland,6664901.0600000005
Howard,10890278.530000001
Desha,1014823.69
Johnson,2114569.17
Lincoln,3126724.06
Poinsett,2267264.6500000004
Ouachita,5954690.600000001
Logan,4297277.489999999
Perry,2579400.36
Prairie,2109014.76
Polk,6028965.65
Pike,3968100.1999999997
Lonoke,4150894.58
Mississippi,9995247.519999998
Newton,13086933.49
Marion,9507732.42
Nevada,7965882.069999999
Montgomery,6163300.22
Pope,2326593.72
Madison,9173639.21
Washington,17931510.2
Searcy,4991872.35
Sharp,13234058.47
Union,2398397.5500000003
Sevier,2855295.61
Sebastian,5980102.110000001
Scott,9343161.34
Van Buren,4549570.7
Woodruff,1920341.3300000003
Stone,5124378.47
Yell,3731787.5900000003
Craighead,7599278.2299999995
Ashley,726223.59
Lawrence,2358553.56
Carroll,5897693.959999999
Phillips,856428.01
