county,totalamount
Weld,21130843.91
Bent,136551.09
Otero,350668.36
Statewide,61296059.49
Larimer,77720700.61000001
Crowley,509892.94
Pueblo,1788345.54
El Paso,28663927.63
Las Animas,535087.54
Custer,60962.67
Kiowa,150169.11000000002
Elbert,1223806.93
Fremont,1707420.8
Sedgwick,32854.299999999996
Prowers,145376.14
Arapahoe,3877545.7399999998
Adams,11817598.049999999
Clear Creek,1125818.3800000001
Gilpin,684081.0
Costilla,10063.96
Boulder,186127584.12000003
Teller,201373.58999999997
Chaffee,7178.01
Grand,46582.52
Douglas,865958.85
Jefferson,8839199.47
Park,424851.5
Denver,5072211.149999999
Broomfield,458778.95999999996
Jackson,3873.3
Huerfano,41344.04000000001
Summit,19391.97
Cheyenne,21570.26
Washington,341722.32000000007
Baca,101738.63
Lake,110911.84
Logan,1916543.6900000002
Morgan,3573335.65
Lincoln,70299.93
Yuma,294169.84
Saguache,86615.39
