county,totalamount
Statewide,1554291406.9899998
Brevard,163891249.82999998
Nassau,17191783.349999998
Palm Beach,546627628.71
Highlands,24357379.12
Duval,152347617.49
St. Lucie,192690057.14999998
St. Johns,75093259.12
Indian River,83018868.52999999
Flagler,45906535.69
Martin,109070772.83
Glades,3258924.6
Volusia,203375222.95999998
Broward,678803358.0799999
Monroe,185469115.0
Miami-Dade,1164248666.63
Okeechobee,8221350.390000001
Bay,382948917.84999996
Wakulla,4764813.180000001
Franklin,11183737.069999997
Leon,67568865.91
Okaloosa,46635656.5
Escambia,572709169.3
Jefferson,2194781.05
Gulf,5631897.45
Calhoun,69520006.69
Gadsden,7308422.380000002
Holmes,26413440.740000002
Liberty,4366150.48
Washington,28295278.7
DeSoto,37109603.68
Charlotte,157444599.37999997
Hardee,29476136.949999996
Lee,181250541.52999997
Collier,191156136.76
Manatee,39456548.54999999
Sarasota,53575689.29
Putnam,18468140.91
Pasco,23601664.85
Taylor,3620674.23
Citrus,14669384.46
Levy,7880855.49
Dixie,6140790.95
Hernando,11470055.05
Baker,4723682.380000001
Clay,17136248.26
Alachua,29599170.3
Bradford,2692089.9200000004
Marion,66209868.65
Hendry,12724771.870000001
Lake,49452299.64
Hillsborough,62350243.230000004
Jackson,33389795.11
Gilchrist,1065121.4300000004
Pinellas,67621791.13999999
Polk,122873324.52
Osceola,64423560.31000001
Orange,166453584.12999997
Seminole,102956414.32000001
Sumter,5672264.36
Suwannee,5376703.12
Walton,30640696.17
Columbia,7084895.199999999
Hamilton,1690291.29
Madison,1297966.28
Lafayette,541582.14
Union,1620260.2200000002
Santa Rosa,133236095.16999999
NaN,8458847.420000002
nan,0.0
