county,totalamount
Dooly,1898952.0899999996
Statewide,194684126.18
Gordon,161090.07
Bartow,490149.43
Pickens,1908281.3900000001
Fulton,41788506.97
DeKalb,16425116.750000002
Greene,181669.64999999997
Lumpkin,3361477.46
Hart,337311.65
Floyd,962205.5600000002
Barrow,377364.30000000005
Oconee,204832.47999999998
Haralson,575939.81
Jasper,422923.89999999997
Chattooga,499221.19
Forsyth,915046.7099999998
Clarke,622733.8099999999
Habersham,1182650.4300000002
Gwinnett,14923857.079999998
Catoosa,5428316.069999999
Henry,401739.4
Cobb,12867202.43
Fannin,276334.39
Monroe,970668.37
Oglethorpe,161691.67
Gilmer,2784365.15
Cherokee,2720146.1900000004
Jones,346037.85
Butts,269195.3
Newton,5953727.8
Lamar,1038034.5100000001
Franklin,443203.74
Jackson,547199.09
Banks,1163000.89
Dawson,1908727.7200000002
Paulding,3555561.04
Douglas,9802699.44
Carroll,7525418.780000001
Hall,2539903.5000000005
Elbert,192389.36
Rabun,2028807.5499999998
Walker,3006937.840000001
White,555837.84
Spalding,2499281.1199999996
Taliaferro,98763.03
Pike,610105.9800000001
Walton,526521.0499999999
Stephens,1119541.53
Upson,774118.5
Wilkes,1402446.95
Rockdale,820933.18
Union,219505.16
Grady,1261748.35
Mitchell,3361990.8
Colquitt,3603513.34
Tift,1282788.85
Dade,2748850.13
Miller,865529.2799999999
Heard,203792.83000000002
Madison,525258.13
Towns,191476.72999999998
Clay,231137.44
Early,1017649.9100000001
Harris,203610.90000000002
Ben Hill,1376123.9000000001
Coffee,1230140.96
Putnam,356614.49
Camden,4246427.9799999995
Berrien,1074376.31
Brooks,973782.24
Irwin,553110.9
Dougherty,32969093.93
Bleckley,188015.93
Montgomery,345151.04999999993
Talbot,255574.09
Cook,2515560.5599999996
Appling,1448278.53
Wilkinson,277198.07999999996
Thomas,3272516.63
Telfair,606515.9599999998
Wayne,1948910.04
Peach,1415751.01
Houston,1839185.57
Schley,47593.96
Twiggs,302556.93
Sumter,47326863.83999999
Bibb,7974955.980000001
Toombs,939719.8099999999
Worth,2886493.0200000005
Laurens,1699831.1
Dodge,1765479.0299999998
Macon,683846.2100000001
Charlton,1442992.56
Hancock,680029.8300000001
Glynn,25905831.660000004
Ware,1519033.91
McIntosh,5476719.989999999
Lanier,480188.98
Washington,1239622.26
Lowndes,5396240.3
Johnson,433897.33
Candler,559117.25
Crawford,335355.38
Pulaski,553796.6100000001
Tattnall,1579946.9400000002
Wilcox,219109.91
Crisp,4026835.25
Baker,2599851.73
Echols,837706.0000000001
Taylor,416662.81999999995
Pierce,1273517.65
Clinch,607878.28
Calhoun,575584.47
Long,406214.30000000005
Jeff Davis,386119.15
Treutlen,154722.69
Brantley,2894534.2
Decatur,1615013.08
Evans,645620.54
Atkinson,1316534.3099999998
Bacon,1200330.54
Turner,2176827.3700000006
Wheeler,232085.56
McDuffie,546294.8200000001
Muscogee,3669722.52
Stewart,778565.72
Warren,331794.25000000006
Webster,123446.26000000001
Jefferson,1053751.79
Burke,1411056.6199999999
Emanuel,1016117.3200000001
Jenkins,1022764.1200000001
Seminole,22367668.8
Lee,983864.1299999999
Meriwether,1457510.6999999997
Coweta,1128281.83
Morgan,426669.41000000003
Polk,40639.86
Troup,2743082.5
nan,0.0
NaN,17680122.78
Chatham,55803029.36
Liberty,4721682.76
Bryan,1816617.3099999998
Richmond,14355228.459999999
Whitfield,58827.600000000006
Fayette,2005166.08
Clayton,388730.91
Columbia,8593573.129999999
Bulloch,4356905.909999999
Baldwin,628067.84
Glascock,53773.04
Screven,1262128.42
Marion,360357.66
Chattahoochee,74134.38
Effingham,2006002.05
Randolph,777759.59
Lincoln,11323.3
Terrell,347153.68
Quitman,103897.72
