county,totalamount
Statewide,16793915.62
Nez Perce,1845985.44
Owyhee,951001.35
Kootenai,2933098.77
Shoshone,1343505.59
Lewis,108922.99
Idaho,4460043.090000001
Payette,115659.54999999999
Gem,113847.9
Valley,352087.97
Washington,428357.02
Adams,385976.13
Bonner,1639796.6300000001
Clearwater,601110.5499999999
Boundary,2354855.38
Benewah,614124.64
Twin Falls,818232.6699999999
Minidoka,946085.45
Gooding,494072.01999999996
Latah,578958.74
Cassia,3043587.0
Lincoln,94560.14
Jerome,176872.67
Franklin,348868.01
Bingham,338413.98000000004
Jefferson,348306.56
Elmore,926919.2899999999
Blaine,418405.9
Custer,703931.1100000001
Camas,317667.69
Ada,2572656.13
Canyon,157906.6
