county,totalamount
Dubuque,13541997.87
Bremer,17483027.869999997
Butler,18435136.750000004
Clinton,2500170.38
Howard,3484426.51
Fayette,6556087.32
Buchanan,5460010.859999999
Clayton,9467412.28
Woodbury,9238425.989999998
Statewide,312672622.17
Pottawattamie,27791130.88
Harrison,9332234.75
Floyd,7204973.459999999
Black Hawk,42597692.70000002
Worth,1034928.48
Jones,9517627.389999999
Chickasaw,3895686.0199999996
Mills,5629563.880000001
Mitchell,3925543.62
Cerro Gordo,5589929.32
Story,4980787.369999999
Delaware,6835783.930000002
Montgomery,3527688.5399999996
Crawford,7520454.809999999
Linn,406293610.27
Henry,1347657.01
Muscatine,5676889.17
Humboldt,2474297.2199999997
Louisa,7877101.5200000005
Lee,12183525.94
Des Moines,12288775.049999999
Allamakee,4488983.22
Calhoun,1169107.76
Lucas,2330837.4800000004
Jackson,2211497.6199999996
Palo Alto,2848650.61
Grundy,2219936.83
Scott,5677148.6
Ringgold,6064622.829999999
Union,5050231.039999999
Wapello,6944858.38
Webster,6456162.34
Sac,3175738.2000000007
Benton,18248618.75
Cass,1310462.85
Audubon,1756389.96
Appanoose,5069789.92
Dallas,3649963.9000000004
Boone,4223698.1899999995
Adair,3498789.12
Clay,3636924.98
Hancock,1336804.55
Fremont,9233621.94
Pocahontas,1514348.5100000002
Guthrie,2647463.6199999996
Shelby,2161091.5500000003
Ida,1149181.6400000001
Page,2907433.07
Kossuth,1818772.1500000004
Jasper,3314717.66
Polk,22155779.38
Marshall,5487586.19
Franklin,2881562.36
Wright,2876938.34
Taylor,1137582.8299999998
Winneshiek,7208619.880000001
Tama,2704229.2799999993
Winnebago,1810683.3900000001
Hamilton,4684399.0200000005
Hardin,920760.6300000001
Iowa,3525018.03
Jefferson,191325.46
Cedar,1850436.47
Johnson,463633802.74000007
Keokuk,1624016.17
Greene,1568218.52
Marion,2559436.81
Poweshiek,1615867.44
Mahaska,1958897.2100000002
Washington,548550.22
Van Buren,1432377.95
Clarke,1404791.8399999999
Decatur,2473997.91
Monona,5676685.880000001
Davis,3344593.41
Wayne,2742708.3900000006
Cherokee,6247217.470000001
Adams,1215685.59
Madison,3693588.02
Monroe,2472365.62
Warren,7655392.600000001
Carroll,1437816.92
Lyon,6597512.8999999985
Dickinson,1183514.08
Emmet,497599.27999999997
Buena Vista,2519723.8600000003
O'Brien,2378542.1500000004
Plymouth,1265940.87
Sioux,4030005.43
Osceola,1203122.4200000002
