county,totalamount
nan,0.0
Sedgwick,14568670.17
Sumner,4879062.24
Statewide,650466521.9100001
Crawford,3490132.56
Labette,2860965.6399999997
Neosho,3925914.53
Barton,5468271.890000001
Allen,4494093.340000001
Anderson,1959966.86
Bourbon,1875146.9
Butler,7583148.720000001
Barber,750557.77
Cowley,10171722.44
Johnson,13905957.289999995
Elk,1818439.9500000002
Greenwood,3892136.4499999997
Douglas,5872323.630000001
Chautauqua,521317.55
Coffey,997966.0799999998
Franklin,3815097.3200000008
Linn,1022464.73
Montgomery,7711680.54
Woodson,1386207.4000000001
Wilson,11364539.209999997
Miami,2582807.76
Wyandotte,16929410.96
Seward,1389898.01
Meade,4797374.84
Cherokee,4504945.899999999
Leavenworth,4171983.9899999993
Jewell,889487.93
Ellis,1141103.77
Trego,485003.18000000005
Osborne,493445.05000000005
Wabaunsee,2139984.88
Mitchell,716315.9600000001
Russell,530533.6499999999
Geary,1014592.45
Graham,953150.1000000001
Lyon,2328018.99
Marion,1760509.1400000001
Morris,1173445.88
Shawnee,5025541.65
Rooks,1127919.1
Smith,1485324.5
Phillips,1170078.3599999996
Rush,348625.39
Brown,2347261.9299999997
Harvey,3324028.0500000003
Reno,6504141.77
Jefferson,3336965.24
Kingman,3111108.4799999995
McPherson,2120202.63
Pratt,1552596.5900000003
Osage,1952924.16
Jackson,6256138.0
Atchison,2190622.95
Chase,473943.39
Harper,4052941.4799999995
Pottawatomie,1817853.7100000002
Norton,912832.5599999999
Hodgeman,722782.4
Decatur,1015532.0800000001
Sherman,136766.86
Sheridan,435531.8400000001
Cheyenne,269901.54
Pawnee,837422.77
Thomas,703523.8299999998
Lane,923977.2899999999
Ness,395912.4700000001
Haskell,189535.08000000002
Clark,133411.59999999998
Greeley,283686.70999999996
Stanton,161543.89
Logan,479637.9
Kearny,160589.77000000002
Rawlins,112932.98000000001
Gray,282149.13
Ford,1013220.9899999999
Morton,208182.47
Gove,477544.85000000003
Hamilton,454568.94000000006
Scott,638679.1199999999
Grant,477056.14
Finney,1072209.79
Wallace,149455.54
Stevens,221492.90999999997
Wichita,303807.42
Dickinson,35922454.42
Marshall,2620564.3800000004
Ellsworth,689522.72
Edwards,1271422.4
Kiowa,58141280.58
Comanche,176164.57
Clay,6562268.580000002
Lincoln,825049.76
Doniphan,2158131.45
Nemaha,4117158.5300000003
Rice,3240313.56
Riley,3339482.9800000004
Ottawa,1484647.0
Saline,4094796.9400000004
Washington,2960912.2800000003
Stafford,826192.4
Cloud,679146.95
Republic,532157.06
NaN,275949.11
