county,totalamount
Daviess,10625678.69
Hopkins,5016992.919999998
Statewide,343876882.39
Crittenden,2794754.33
Webster,4451244.99
Ballard,2337925.85
Spencer,2661674.74
Livingston,2878680.8400000003
Breckinridge,1935038.5200000003
Carlisle,4609252.2299999995
Greenup,6061062.72
Boyd,4990581.85
Fleming,3708020.26
Nicholas,899524.27
Lawrence,2763960.4900000007
Johnson,5191660.09
Oldham,1331334.2400000002
Bourbon,979540.24
Lewis,4434531.51
Pendleton,1600472.19
Harrison,576008.22
Carter,9134176.28
Rowan,4557431.9799999995
Knott,4474675.52
Whitley,2112569.3100000005
Estill,2290162.91
Letcher,1679930.42
Floyd,16101826.12
Pike,31175725.88
Mason,605705.96
Rockcastle,2454525.58
Perry,6034953.970000001
Powell,1033428.74
Bath,1786571.3900000004
Clay,5315567.91
Menifee,1078472.45
Elliott,2558680.7199999997
Magoffin,5364094.78
Harlan,3646325.96
Morgan,6221190.530000001
Wayne,367203.16000000003
Bell,1824953.79
Owsley,2139629.1999999997
Lee,4941499.04
Knox,2343487.08
Leslie,8232891.790000001
McCreary,297111.83999999997
Breathitt,7452969.32
Laurel,722848.36
Marion,570091.8799999999
Grayson,3396397.6
Martin,1639376.2499999998
Lincoln,529502.8
Edmonson,673236.64
Green,314275.93
Grant,2570792.74
Shelby,1014613.62
Scott,442726.51
Anderson,639605.8400000001
Meade,949368.82
Jessamine,1259572.66
Clark,824550.99
Fayette,5612515.58
Mercer,604824.99
Casey,1485066.57
Bracken,331374.33999999997
Wolfe,1116517.1600000001
Washington,1203492.73
Robertson,107526.6
Woodford,1294924.1900000002
Henderson,6080280.630000001
McLean,1060642.32
Graves,6743206.930000002
Hart,549739.84
Calloway,1605321.3900000001
Montgomery,501836.48
Monroe,1019004.0399999999
Henry,1043651.7
Franklin,2432183.1299999994
Jackson,1129211.7300000002
Hancock,1073348.4100000001
Pulaski,421917.04
Ohio,2204160.4400000004
Cumberland,1033312.6
Barren,505020.32
Hardin,3148852.89
Adair,768553.4
Clinton,41585.5
Allen,390881.57999999996
Warren,1107589.6
Larue,357533.16000000003
Russell,238866.03
Taylor,305813.27
Nelson,840727.5599999999
Metcalfe,4895963.03
Marshall,3328337.0500000003
Caldwell,1463800.1000000003
Lyon,776558.78
Muhlenberg,2708352.8600000003
Todd,197894.37
Union,2012582.8699999999
Trigg,933186.61
Fulton,2677505.2399999998
Hickman,1237545.5999999999
Bullitt,1485769.71
Boone,1197024.7
Jefferson,22138580.68
Campbell,1842214.3200000003
McCracken,11962752.650000002
Kenton,1751856.95
Carroll,4214220.789999999
Gallatin,662884.8500000001
Trimble,1342299.8900000001
Butler,559294.4999999999
Christian,1415181.9899999998
Boyle,1153939.73
Garrard,849189.9899999999
Madison,2645356.82
Logan,364838.62
Owen,1376404.5
Simpson,116223.25
NaN,1721295.1800000002
