county,totalamount
Ouachita,18891393.919999998
Statewide,4255148879.3700004
Morehouse,1302355.25
E. Carroll,1246955.24
Franklin,2648866.6
Natchitoches,9576129.0
Bossier,12753208.310000002
Union,4485563.18
W. Carroll,890731.6
Claiborne,2008814.2300000002
Richland,3065735.41
Webster,6627839.9799999995
Lincoln,2875000.8099999996
Sabine,2743338.69
De Soto,2056913.41
Caddo,7259005.35
Catahoula,1068658.79
Bienville,288360.33
E. Baton Rouge,1900641739.3899999
Iberville,16779770.36
Assumption,5744309.6899999995
Jefferson,607781572.61
Beauregard,4263421.5600000005
Iberia,26091404.589999996
E. Feliciana,11890970.889999999
Lafayette,49849544.940000005
Ascension,106277666.74999999
St. Bernard,1810107073.0000002
Livingston,174929921.79999998
Lafourche,58607827.91
St. Mary,35071557.66
St. Charles,32970118.909999996
St. James,9646335.129999999
Terrebonne,71927462.26999998
St. Tammany,513726126.36
Vermilion,59835226.45
Orleans,4970912719.0
Washington,120149927.24999999
Tangipahoa,32021484.82
Pointe Coupee,13004918.33
W. Feliciana,12464226.64
St. Martin,5915748.319999998
St. John the Baptist,65232812.95999999
Plaquemines,899718500.6999998
Calcasieu,104820938.65
Avoyelles,4089135.7
Allen,3097056.54
Acadia,13881262.400000002
Caldwell,2235318.3700000006
Jefferson Davis,5232802.46
Rapides,10175675.2
Evangeline,5992656.4
La Salle,541706.0599999999
Cameron,227024600.97
St. Landry,14869329.58
W. Baton Rouge,4952176.0
Vernon,4496144.0200000005
Jackson,1470711.41
Concordia,2726109.6199999996
Grant,1051946.48
Madison,1002723.8899999999
Red River,644005.02
St. Helena,2817721.3099999996
Tensas,1029896.4200000002
Winn,2154353.05
