county,totalamount
Gogebic,3243373.45
Houghton,18675148.86
Marquette,583523.3200000001
Iron,247540.87
Baraga,1033971.83
Statewide,9703403.25
Ontonagon,155535.26
Ottawa,1091889.93
Allegan,916674.4600000001
Mason,1509453.4100000001
Lake,226130.45
Eaton,743561.17
Osceola,1507366.0699999998
Ingham,4618211.48
Manistee,1671966.48
Barry,1081348.62
Missaukee,60039.12
Saginaw,1366868.2199999997
Wexford,2187509.1799999997
Ionia,490680.02999999997
Jackson,257423.56
Berrien,391940.51999999996
Cass,130388.59000000001
Arenac,15004.36
Iosco,22857.75
Crawford,14581.6
Kalamazoo,610392.6
Kent,2303366.4799999995
Alcona,6401.92
Monroe,215670.11
Macomb,3941581.0100000002
Mecosta,71739.25
Lenawee,99108.69999999998
Oceana,19817.97
Muskegon,525504.37
St. Joseph,181198.8
Van Buren,186982.42
Oakland,8969777.2
Newaygo,182702.6
Montmorency,14862.75
Ogemaw,13127.25
Otsego,22554.19
Oscoda,8574.39
Washtenaw,1096503.5099999998
Wayne,12298197.779999997
Branch,62816.25
Bay,113683.5
Clinton,89601.47
Genesee,540765.59
Clare,15585.75
Calhoun,223203.2
Huron,58133.630000000005
Gratiot,41229.49
Hillsdale,56255.82
Isabella,54003.0
Gladwin,5189.25
Lapeer,124541.04999999999
Livingston,170963.56
Montcalm,38899.07
Midland,266595.82
St. Clair,382679.07999999996
Sanilac,84378.75
Shiawassee,71970.07
Tuscola,82683.8
Keweenaw,46126.86
Menominee,137860.99
