county,totalamount
nan,0.0
Franklin,4999257.58
Jefferson,7911875.0600000005
Gasconade,560301.1399999999
Statewide,264172135.70999998
Carroll,3357029.05
Cass,2434839.8000000003
Bates,988937.56
Chariton,2006027.3900000001
Cedar,5429849.99
Johnson,1722062.9099999997
Jackson,34169273.49
Ray,6823517.71
Lafayette,3558199.5600000005
Saline,2049603.3700000003
Linn,3831872.0000000005
Clay,3145501.4599999995
Randolph,541966.8
Clinton,1636411.6999999997
Macon,1937518.1300000004
Shelby,1212425.47
Howard,1871742.8599999999
Lewis,3168150.86
Henry,448750.28
Platte,7343584.61
Monroe,1949475.6200000003
Knox,879675.16
Pettis,739090.67
Marion,7228528.260000002
Vernon,2366735.7900000005
St. Clair,391098.87000000005
Adair,3634268.01
Crawford,1654995.0799999998
Grundy,2330422.46
Barry,11470091.6
Dallas,4410952.670000001
Lincoln,4561561.899999999
Camden,5016833.25
Iron,1598413.3499999999
Clark,1428054.9200000002
Lawrence,9630940.860000003
Christian,6541996.18
Bollinger,2826841.3299999996
Cape Girardeau,4787800.7
Howell,6891098.46
Cooper,522628.20999999996
Boone,3261106.73
Livingston,1875886.65
Douglas,3773991.3499999996
Dent,1045541.01
Butler,5906743.2
Laclede,5981241.510000001
Polk,2439763.26
Miller,9325370.03
Pike,3376796.21
Reynolds,6733917.360000001
Perry,5272418.46
DeKalb,371262.4
Scott,5623622.970000001
Phelps,5925810.359999999
Scotland,925290.1299999999
Mississippi,11347828.739999998
Madison,3312726.89
Ripley,2694473.84
Pulaski,10011206.77
Pemiscot,13172521.19
Barton,2443675.02
Schuyler,585862.1100000001
McDonald,4571307.4799999995
Carter,5958552.58
Oregon,2645722.91
Dade,4063302.7199999997
Maries,1905269.42
Shannon,8044758.13
Osage,1088664.37
Ralls,1435426.83
Ozark,7778728.53
Mercer,1820831.2
Taney,5246291.58
Stoddard,3667547.7299999995
Texas,12501688.259999998
Stone,2430892.1
Sullivan,4852020.460000001
Ste. Genevieve,4083466.0100000002
Wright,1432865.4400000002
Webster,11751196.47
Wayne,3511298.4800000004
Greene,52691802.66
Jasper,121668592.49999999
Washington,2078900.15
Benton,763846.02
Hickory,365636.69
Daviess,2783529.41
Montgomery,902665.05
Morgan,674314.09
Putnam,3167536.7700000005
Andrew,1591522.9600000002
St. Francois,1115471.2000000002
St. Louis (city),13413164.18
Cole,2495119.15
Callaway,1069683.8900000001
St. Louis,18066353.73
St. Charles,6066211.11
Newton,4486121.819999999
Warren,124083.48
Gentry,1160759.2800000003
Holt,11219673.279999997
Nodaway,3906262.029999999
Atchison,10428111.270000001
Caldwell,1839753.42
Harrison,3162134.0100000002
Worth,633616.97
Buchanan,5492716.119999999
Audrain,816662.53
Moniteau,460717.44
New Madrid,4570134.44
Dunklin,13211993.11
