county,totalamount
Douglas,17308327.95
Statewide,291302274.67
Washington,4654795.210000001
Burt,1510210.46
Saline,1875502.53
Gage,2964742.2699999996
Dakota,7691855.309999999
Thayer,3053796.95
Cedar,1680604.19
Cuming,1322138.39
Platte,3893352.25
Stanton,4186946.8400000003
Polk,460267.27999999997
Holt,3828746.9600000004
Butler,920877.0700000001
Knox,705099.1099999999
McPherson,446382.48
Valley,1328748.4300000002
Jefferson,1401985.6600000001
Howard,375743.67
Cass,9018563.780000001
Antelope,3047010.2399999998
Lancaster,9576880.52
Greeley,544807.5
Clay,615890.0
Buffalo,7666664.63
Boone,658465.83
Blaine,641368.32
Dodge,5224390.34
Adams,2999252.1400000006
Nance,746313.7000000001
Thurston,1565686.6600000001
Webster,257548.67
Pawnee,2456510.58
Madison,2315930.27
Pierce,658546.05
Sherman,276766.79
York,975504.17
Hall,1292433.6300000001
Hamilton,788808.82
Frontier,947806.32
Seward,754957.98
Fillmore,100660.03
Merrick,284950.02
Kearney,832033.6
Garfield,508949.27999999997
Custer,4922495.37
Gosper,203229.08
Furnas,194896.30000000002
Phelps,1231550.08
Wheeler,139942.74
Franklin,311098.12000000005
Dawson,702035.61
Dundy,241671.98
Chase,769035.49
Harlan,381312.11
Perkins,826396.5599999999
Lincoln,1407003.58
Rock,329568.67
Hitchcock,506438.10000000003
Hayes,885678.1200000001
Morrill,1453065.4599999997
Cheyenne,206025.44
Logan,661186.42
Red Willow,332424.62
Brown,2218287.9
Nemaha,2503866.5900000003
Saunders,2819523.8999999994
Richardson,3048052.6799999997
Otoe,7293337.1899999995
Loup,1311296.79
Thomas,117200.54000000001
Keya Paha,287206.33
Johnson,2375031.0300000003
Arthur,452866.82000000007
Keith,86774.48
Cherry,1293591.03
Sarpy,5158248.109999999
Colfax,1487149.37
Boyd,4241692.9
Scotts Bluff,388864.62000000005
Box Butte,217573.59999999998
Deuel,66552.48999999999
Garden,778840.16
Dixon,1474910.1899999997
Nuckolls,552593.0399999999
Wayne,1118607.7200000002
Dawes,861002.84
Hooker,96600.15
Sioux,330746.29000000004
Sheridan,91843.18
Kimball,17922.09
Banner,41933.54
