county,totalamount
Bergen,115213081.66999999
Morris,54108616.8
Middlesex,183091122.56999996
Mercer,23755359.650000002
Essex,55830612.59
Hunterdon,14730377.68
Passaic,30530509.940000005
Somerset,35484953.68
Statewide,1195366185.69
Union,51363027.54000001
Sussex,13967359.82
Burlington,29439961.130000003
Camden,16124791.02
Warren,8335113.710000001
Atlantic,48832764.169999994
Hudson,97004347.32000001
Cape May,48581798.35
Ocean,264209344.42999998
Cumberland,17886768.07
Gloucester,13152397.59
Salem,6392693.290000001
Monmouth,287935401.0
NaN,1769069.3599999996
