county,totalamount
Rio Arriba,6149701.199999999
Statewide,90085471.66
Sierra,3979369.32
Sandoval,10374025.079999998
Otero,20265978.299999997
Dona Ana,5220158.71
San Juan,4543888.87
Mora,933297.0799999998
Luna,2001955.69
Los Alamos,10568233.84
Bernalillo,5900106.74
San Miguel,2464035.51
Eddy,63054160.529999994
Grant,797894.73
Harding,148498.85
Lincoln,39928452.81999999
Cibola,6167403.01
Guadalupe,1872185.3099999996
Hidalgo,676956.86
Valencia,1154495.6500000001
McKinley,2418406.96
Taos,795291.0399999999
Socorro,1701068.2600000002
Torrance,1100576.17
Colfax,72440.47
Chaves,268210.61
DeBaca,137481.62
Catron,701663.77
Santa Fe,3788640.4299999997
Lea,2654080.65
