county,totalamount
nan,0.0
Essex,20685882.17
Greene,38468471.39
Albany,20222341.31
Nassau,1645362303.2199998
Rockland,48419254.78
Statewide,4302607907.3
Orange,48586115.04000001
Suffolk,281584631.51
Westchester,167796740.19
Ulster,47742750.68
Schoharie,97865572.59999998
Warren,4526759.919999999
Putnam,10062453.730000002
Allegany,14422765.919999998
Cattaraugus,37321638.14000001
Lewis,1970846.7500000002
Herkimer,28566589.000000004
Columbia,10975319.7
Erie,159568222.76999998
Oneida,16301804.84
Niagara,8267020.279999999
Chenango,24536007.759999998
Dutchess,11280612.73
Madison,7067366.809999999
Montgomery,18939321.34
Livingston,10078931.840000002
Orleans,1609123.91
Tioga,96129780.92999999
Schenectady,10403974.7
Otsego,28683642.840000004
Rensselaer,18508345.31
Steuben,15815874.000000002
Onondaga,5913672.69
Sullivan,28419754.5
Tompkins,3222708.19
Yates,8754092.700000001
New York,12344496330.81
Kings,168839105.93999994
Fulton,2392369.47
Genesee,2926963.32
Chemung,8656170.690000001
Delaware,114321552.72999999
Bronx,8989465.72
Jefferson,2734120.2399999998
Cayuga,1810218.45
Chautauqua,8156851.16
Broome,171686194.36
Clinton,7977767.0
Wyoming,1012491.21
Queens,1063308150.3399999
Richmond,9491582.229999999
Washington,2834341.27
Ontario,6779594.95
Wayne,3520624.85
Monroe,10524016.84
Cortland,4271058.030000001
Saratoga,9021243.2
St. Lawrence,1172328.06
Oswego,13645626.27
Seneca,608279.14
Schuyler,708258.6
Hamilton,1298545.49
Franklin,6679813.999999998
NaN,8473682.7
