county,totalamount
Greene,6353614.7299999995
Statewide,52625605.34
Hamilton,18832143.64
Clermont,5503516.2
Brown,3590308.65
Butler,4435592.41
Darke,1970555.1700000004
Belmont,24357656.68
Adams,6152740.03
Athens,12750331.990000002
Delaware,1368877.05
Harrison,2816446.6500000004
Gallia,7817071.84
Guernsey,8382419.119999998
Franklin,10788835.76
Fayette,346086.18
Miami,1458171.31
Lawrence,8812165.11
Hocking,1063102.6400000001
Madison,491098.46
Meigs,6156811.33
Jackson,3816757.619999999
Licking,13830927.8
Montgomery,9988515.690000001
Noble,4535201.81
Monroe,14553401.99
Morgan,4732710.97
Muskingum,3109292.88
Perry,2583473.51
Preble,527830.92
Ross,1379369.7100000002
Scioto,7481412.99
Vinton,2572556.93
Pike,2257527.49
Union,631549.2300000001
Washington,12425333.620000001
Mahoning,836936.0
Jefferson,9663709.07
Columbiana,5212850.019999999
Carroll,1077489.83
Trumbull,4362466.720000001
Stark,837307.7300000002
Summit,4877028.339999999
Portage,755576.1599999999
Medina,704463.49
Tuscarawas,2827910.6499999994
Holmes,5966366.510000001
Cuyahoga,18191312.549999997
Knox,1492192.1399999997
Auglaize,1917261.2099999995
Allen,1662378.89
Ashland,325924.87000000005
Coshocton,3714679.53
Crawford,703597.8699999999
Champaign,466726.38
Fairfield,11137168.749999996
Hardin,5770418.0600000005
Highland,650849.8200000001
Hancock,6227100.22
Henry,46872.43
Logan,3733552.95
Huron,4684720.99
Marion,209771.81
Mercer,549877.5
Lorain,2426157.9099999997
Morrow,3199065.1100000013
Paulding,535933.71
Richland,3217107.369999999
Shelby,613081.5500000002
Seneca,5520281.050000001
Pickaway,447474.74
Putnam,2559567.6399999997
Van Wert,151720.39
Wyandot,620521.8099999999
Wayne,252316.93
Lake,6014244.63
Ashtabula,1640512.93
Geauga,644010.6999999998
Clark,1772566.9599999997
Clinton,361282.43
Warren,1849201.77
Erie,194532.39
Lucas,27637.11
Sandusky,109015.96
