county,totalamount
Statewide,685153441.4300001
Okmulgee,8753065.71
Cleveland,43653400.470000006
Oklahoma,59340137.720000006
Logan,7852814.25
Lincoln,6626498.99
McClain,10933260.27
Grady,17830884.779999994
Craig,3264208.850000001
Caddo,13132764.539999997
Canadian,15100822.45
Kingfisher,2281290.63
Noble,1568362.7200000002
Tulsa,33663025.86
Latimer,1972407.83
Creek,5279609.76
Tillman,6339690.79
Jefferson,2428583.3100000005
Comanche,31415782.189999998
Carter,5187351.82
Kiowa,5626866.8599999985
Cotton,8181992.35
Jackson,7171992.86
Garvin,11522896.51
Beckham,2091532.4000000001
Hughes,8862548.59
Haskell,11780661.71
Blaine,4717060.439999999
Cherokee,3700376.69
Garfield,4666560.06
Greer,1653037.44
Bryan,3360618.3200000008
Le Flore,7244267.2299999995
Delaware,4062614.49
Coal,1069042.3499999999
Choctaw,1850080.8399999999
Adair,3374550.3499999996
McCurtain,20244305.09
Murray,2623468.12
Okfuskee,7963769.159999999
Marshall,1886508.25
Kay,11565349.15
Atoka,4416297.029999999
McIntosh,18872812.12
Johnston,2827566.65
Muskogee,19575077.79
Mayes,5998246.49
Nowata,3323859.0599999996
Custer,9130198.45
Harmon,2018532.36
Love,1212137.1300000001
Pittsburg,10217647.94
Pontotoc,7922619.05
Sequoyah,8218963.82
Osage,2790259.6500000004
Ottawa,7884747.569999999
Payne,2761586.29
Seminole,3941713.9399999995
Pottawatomie,6371917.87
Roger Mills,2888150.1
Pawnee,1420092.5099999998
Rogers,17483577.889999993
Pushmataha,2922392.62
Stephens,7691650.2700000005
Washita,9390781.81
Wagoner,4634449.5600000005
Washington,1729002.0
Beaver,1421408.5799999998
Cimarron,771935.25
Woodward,1504585.87
Alfalfa,1849162.3599999996
Ellis,1017812.43
Harper,441943.72
Grant,3072537.02
Major,2115544.11
Dewey,7283147.210000001
Woods,1220612.6900000002
Texas,696302.5899999999
NaN,3907406.6300000004
nan,0.0
