county,totalamount
Coos,3050874.27
Douglas,5544128.349999999
Linn,4107241.1200000006
Lane,26068628.14
Curry,6876375.08
Statewide,30775827.14
Clackamas,5622134.51
Union,118355.63
Yamhill,2792201.21
Multnomah,10443080.25
Columbia,7837511.259999999
Marion,3517263.1599999997
Harney,11083.62
Umatilla,66840.06
Wheeler,61452.840000000004
Lake,19293.0
Grant,31173.66
Polk,3597633.48
Wallowa,4547.19
Wasco,27264.75
Deschutes,1928478.0699999998
Benton,1793180.8299999996
Tillamook,44559492.669999994
Hood River,2538265.75
Baker,25157.89
Crook,224130.81
Jefferson,149249.86
Jackson,1052394.47
Clatsop,3464492.53
Josephine,1755782.21
Lincoln,9527940.920000002
Gilliam,54200.49
Sherman,68634.0
Washington,1979494.0999999999
