county,totalamount
McKean,1234127.4600000002
Bucks,11017254.23
Delaware,9036865.54
Chester,9424118.66
Montgomery,18529392.43
Lancaster,9572302.780000001
York,9090156.38
Philadelphia,25483412.939999998
Statewide,218696572.87
Berks,6145508.109999999
Clarion,668115.05
Crawford,2057613.1199999999
Lawrence,1293286.99
Lackawanna,9253113.650000002
Mercer,1042614.5000000001
Forest,60569.96
Tioga,4597596.07
Potter,966431.4100000001
Venango,1094512.7400000002
Warren,499814.71
Wayne,7235041.199999999
Wyoming,12554921.75
Allegheny,29880842.66
Armstrong,2163975.02
Beaver,2116304.45
Blair,2045867.33
Bedford,1586187.5899999999
Bradford,26028776.230000004
Carbon,1629726.5100000002
Cameron,313656.98000000004
Clearfield,1857212.4199999997
Centre,3508497.44
Butler,2495394.08
Dauphin,21989819.43
Cumberland,2478945.0299999993
Clinton,952956.87
Columbia,12812071.399999999
Fulton,491846.9999999999
Jefferson,750453.85
Indiana,1117662.04
Huntingdon,1641316.1200000003
Juniata,852097.7499999999
Greene,1834501.05
Franklin,1654998.2200000002
Elk,344316.80000000005
Luzerne,33264755.23
Lebanon,3943200.3099999996
Lycoming,10242705.620000001
Lehigh,2906605.68
Northampton,13772719.57
Montour,8976542.13
Mifflin,470930.12
Northumberland,9154458.280000001
Monroe,3200006.6
Somerset,1822400.13
Schuylkill,17371931.21
Pike,1141799.1099999999
Snyder,368543.56
Perry,982835.1000000001
Susquehanna,24441810.64
Washington,2813823.8899999997
Union,575799.3899999999
Sullivan,8528470.750000002
Westmoreland,4797199.75
Adams,1772218.96
Cambria,681070.8300000001
Fayette,2577574.51
NaN,23082023.19
