county,totalamount
nan,0.0
Statewide,5846410822.45
Maricao,5735913.69
Lares,7676226.21
Anasco,10698674.830000002
Las Marias,5777247.8100000005
San German,3333833.72
Rincon,4605365.11
Yauco,19626787.5
Hormigueros,2118948.2600000002
Moca,3593094.2600000002
Adjuntas,13493574.170000002
Guayanilla,10789641.22
Lajas,5635358.13
Guanica,3876670.83
Sabana Grande,4889253.010000001
Cabo Rojo,11497231.49
Aguas Buenas,5757637.030000001
San Lorenzo,15871294.94
Barranquitas,6726635.99
Ciales,3069098.1100000003
Utuado,22248018.3
Vega Alta,5317457.859999999
Bayamon,32142326.789999995
Juncos,8657352.57
Orocovis,16367752.489999998
Corozal,13796731.09
Naranjito,20057693.36
Jayuya,23451184.22
Morovis,8476229.09
Rio Grande,7254735.589999999
Guayama,9113065.28
Coamo,8941416.75
Patillas,7786942.590000001
Luquillo,4591375.67
Maunabo,13150811.99
Cayey,20071729.2
Culebra,478459.92000000004
Ceiba,3546312.46
Yabucoa,16941705.51
Salinas,10599112.72
Naguabo,9501193.92
Vieques,44484150.660000004
Aibonito,21706876.78
Fajardo,5090213.430000001
Manati,6740089.5600000005
Aguada,14086493.629999999
Quebradillas,9344517.33
Humacao,16696648.61
Arecibo,5353337.249999999
Comerio,4635796.14
Las Piedras,9494352.38
Florida,1665564.8199999998
Gurabo,7589111.13
Cidra,16568918.200000001
Arroyo,13724134.21
Ponce,28735357.390000004
Aguadilla,8975304.89
Guaynabo,9404976.79
Camuy,3857887.7100000004
Isabela,7316649.84
Caguas,16911156.180000003
Penuelas,3211494.1100000003
Canovanas,10472475.06
Barceloneta,9838562.03
Mayaguez,13899120.959999999
Carolina,24578605.160000008
Dorado,9770255.069999998
Juana Diaz,11399865.370000001
Loiza,6133721.93
San Sebastian,4476371.76
Santa Isabel,6303150.12
Villalba,13936803.709999999
Hatillo,3694475.62
Catano,11220545.24
Vega Baja,6609670.36
San Juan,58660302.38999999
Trujillo Alto,10648893.750000002
Toa Baja,7110012.13
Toa Alta,10235093.78
