county,totalamount
nan,0.0
Beaufort,78185690.69
Bamberg,4792668.11
Barnwell,3136314.9999999995
Lee,589627.28
Dorchester,7970470.18
Charleston,40786477.54
Colleton,11305149.670000002
Richland,25058301.9
Horry,56411001.56999999
Darlington,6350527.639999999
Statewide,336615980.27
Hampton,1995555.15
Clarendon,3332795.73
Jasper,3655574.08
Berkeley,54330436.25
Lexington,8265657.579999999
Marion,9743770.85
Orangeburg,6741594.600000001
Georgetown,11299472.91
Florence,6664371.35
Marlboro,3141236.8899999997
Dillon,2919544.15
Kershaw,1251823.0899999999
Williamsburg,22567893.97
Sumter,9050152.25
Chesterfield,6639707.96
Cherokee,1104334.42
Chester,93474.63
Aiken,33681482.3
Abbeville,442556.27
Newberry,984591.68
Union,421957.35
Spartanburg,2327061.6300000004
Greenwood,414575.29
Laurens,1367374.98
York,1305916.74
Fairfield,572769.01
McCormick,40476.369999999995
Lancaster,237924.46000000002
Saluda,216129.0
Edgefield,246642.82
Greenville,6288969.349999999
Oconee,840728.0100000001
Calhoun,1104891.1599999997
Anderson,5088573.46
Pickens,1225338.0299999998
Allendale,1157421.47
