county,totalamount
Statewide,169130829.5
Oglala Lakota,869563.3999999999
Fall River,459958.94
Pennington,3588747.7800000007
Custer,1184353.02
Beadle,4935328.609999999
Brookings,804681.38
Brown,6473058.240000001
Edmunds,1830220.0
Day,3677942.9899999998
Clark,2214180.8600000003
Codington,2156126.09
Deuel,678945.12
Buffalo,175498.18
Roberts,1535134.25
Grant,639029.9700000001
Kingsbury,1788225.9699999997
Marshall,1800719.34
Hamlin,2228567.63
Moody,983956.7800000001
Gregory,356176.81
Hanson,925298.56
Jerauld,1753013.2899999998
Mellette,116505.04000000001
Turner,819138.0
Spink,4075251.1399999997
Sanborn,1834108.94
Tripp,929313.9099999999
Todd,353508.28
Minnehaha,10035736.58
Yankton,631194.1900000001
Haakon,893371.0299999999
Jackson,227618.12000000002
Faulk,697669.3300000002
Potter,99234.91
Sully,198299.40000000002
Davison,646196.16
Bon Homme,247693.76
Douglas,476145.46
Aurora,719122.82
Charles Mix,1123118.4900000002
Hutchinson,1083233.36
Miner,880168.7999999999
Butte,1443483.3699999999
Brule,604798.76
Lake,886082.7999999999
McCook,422578.33999999997
Harding,98877.87
Perkins,1940150.0399999998
Clay,663932.8999999999
Hand,1320410.94
Lawrence,2311254.64
Dewey,455014.35
Hughes,6799407.66
Lyman,642234.64
Meade,759410.18
Stanley,6594252.16
Ziebach,651033.2100000001
Bennett,1932.45
Corson,439107.32
Campbell,197907.72999999998
McPherson,322878.8
Jones,24607.92
Hyde,286386.41000000003
Union,15356021.209999999
Lincoln,2580043.11
