county,totalamount
Monroe,1370506.5
Statewide,149804164.98000002
Lawrence,3370992.5999999996
Dickson,3171005.36
Lewis,2026406.5600000003
Franklin,492339.5399999999
Anderson,1308629.4100000001
Hamilton,22808234.47
Claiborne,1538613.6300000001
Williamson,5197483.649999999
Stewart,694405.97
Maury,2995921.28
Madison,30763683.64
Perry,1132670.84
Lincoln,435452.34
DeKalb,773871.43
Henderson,2575953.8600000003
Hardin,3788141.26
Davidson,115066872.42
Hardeman,1050554.87
Benton,2020462.0299999998
Decatur,793898.09
Van Buren,259290.44
Bedford,1230204.0
Sequatchie,287432.04000000004
Carroll,1904006.24
Montgomery,35889740.910000004
White,1379022.92
Lauderdale,1293535.26
Marshall,687093.66
Giles,1152627.25
Hickman,9078210.829999998
Roane,4965708.78
Warren,1446912.29
Union,766759.59
Crockett,640327.1200000001
Cumberland,7479002.260000001
Scott,2259877.3900000006
Jackson,5198052.27
Coffee,1542064.63
Campbell,3452063.71
Moore,703524.09
Grundy,81322.55
McNairy,2569913.27
Sumner,5838501.31
Humphreys,5000119.7299999995
Sevier,3802955.38
Wayne,2532619.8200000003
Cannon,520112.75
Fentress,2807204.73
Cheatham,3053601.65
Marion,1000782.73
Houston,2466109.64
Morgan,779350.5599999998
Loudon,1894557.2699999998
Haywood,1618686.02
Knox,11337479.63
Obion,1724668.9800000002
Weakley,908783.4
Henry,1732229.42
Lake,825778.99
Johnson,653061.37
Washington,889951.6399999999
Carter,989195.57
Unicoi,410330.18
Greene,4025478.46
Cocke,1313950.3499999999
Blount,2859766.190000001
Hawkins,88494.2
Hancock,155631.80000000002
Macon,3121533.38
Bledsoe,839671.35
Clay,767867.6100000001
Meigs,224979.32
Grainger,296670.54
Overton,1872416.85
Tipton,5869297.829999999
Gibson,3442393.6099999994
Rhea,1266517.5
Dyer,2774460.8000000003
Bradley,4701089.9399999995
Polk,182274.47
McMinn,555505.28
Rutherford,6194953.730000001
Smith,1632901.75
Trousdale,630053.77
Shelby,94421870.5
Fayette,1500076.5099999998
Chester,497471.24999999994
Robertson,830098.95
Pickett,240979.66999999998
Putnam,3574430.04
Wilson,412783.51
Jefferson,372572.37
Sullivan,399475.17
nan,0.0
NaN,99260.11
Hamblen,264751.39
