county,totalamount
Val Verde,2318814.53
Kimble,1556083.3
Statewide,2311306089.92
Maverick,568801.8200000001
Kinney,288581.98
Webb,3761149.69
Uvalde,2661857.5999999996
Real,1338315.83
Edwards,2092039.1600000001
nan,0.0
Bexar,45339654.599999994
Harris,1815944205.7699997
Wilson,2079196.1900000002
San Patricio,35068605.080000006
Guadalupe,4961428.630000001
Caldwell,3116828.47
Comal,6519115.83
Calhoun,19310328.51
Wharton,10445325.11
Walker,11211232.4
Travis,44106697.910000004
Gonzales,2627941.38
Grimes,2145723.26
Montgomery,65589689.64000001
Waller,5588770.0
Goliad,620862.15
Willacy,3216115.48
Hidalgo,30467027.64
Aransas,67387620.07000001
Jim Wells,1754450.65
DeWitt,4307784.03
Bastrop,23771993.319999997
Polk,12442741.38
Duval,694535.47
Bowie,15093900.030000001
Liberty,50827941.03
Jackson,2735774.7100000004
Hays,10685912.170000002
Cameron,32093939.37
Kenedy,29192.42
Victoria,32545254.860000003
Nueces,68135767.02999999
Matagorda,11487562.26
Fort Bend,64171208.57
Austin,4196607.23
Karnes,754615.9599999998
San Jacinto,9107416.07
Refugio,23646592.800000004
Burleson,2407398.12
Fayette,2315471.26
Colorado,4450743.79
Trinity,2195430.83
Kleberg,1147538.71
Brooks,234703.15
Tarrant,22473196.15
Fannin,2256753.26
Crosby,32757.15
Cass,2302417.01
Gregg,3532104.0900000003
Armstrong,251860.43
Briscoe,62709.98
Garza,491821.4099999999
Deaf Smith,472027.4
Hall,1051795.0599999998
Grayson,4126766.67
Carson,123766.06
Bailey,575045.51
Borden,11298.5
Cooke,6706329.659999999
Cherokee,3605969.52
Gray,249486.13
Franklin,986534.0
Delta,797891.7200000001
Floyd,521337.75999999995
Harrison,1982629.2299999997
Lamar,6568878.680000001
Upshur,1442559.2200000002
Red River,4532170.539999999
Nacogdoches,7087413.609999999
Parmer,1009951.6000000001
Morris,192897.3
Smith,3408062.7199999997
Wood,205549.11000000002
Panola,418292.81000000006
Randall,267267.08999999997
Hunt,1299508.64
Potter,1674339.1099999999
Rusk,2276885.73
Oldham,60535.28
Marion,307641.81
Montague,15067298.56
Hemphill,372708.87
Titus,503688.70999999996
Hopkins,4958421.2
Galveston,476961377.2099999
Brazoria,71909350.75
Hardin,50944179.120000005
Anderson,1915023.6
Chambers,86210234.73
Angelina,9994115.450000001
Jefferson,301399063.18
Orange,134443550.98
San Augustine,2344466.82
Madison,1869127.41
Jasper,14976231.9
Tyler,42190149.48
Newton,29687816.059999995
Houston,8098383.02
Atascosa,1625056.6100000003
Bandera,2079054.2000000002
Blanco,768130.0800000001
Burnet,2986492.8899999997
Callahan,5322671.4
Coleman,1665302.06
Brown,7946202.61
Taylor,1172588.97
Medina,2674267.87
Frio,510924.44
Live Oak,359243.49
Jones,8922257.51
Kendall,712625.26
Dimmit,758646.04
La Salle,783237.4500000001
San Saba,3032143.58
Kerr,1118021.49
Eastland,11390851.59
Zavala,3827640.03
Gillespie,329543.72
McMullen,125314.68
Bee,1201391.1300000001
Bell,7412809.41
Denton,6299534.970000001
Dallas,60930013.18000001
Freestone,461234.19
Brazos,2839408.5600000005
Hill,16186306.030000001
Milam,4026144.75
Midland,114962.8
Limestone,39568.57
Johnson,635695.77
Henderson,3653715.4700000007
Kaufman,1928933.03
Leon,1648703.6800000002
Lubbock,5351732.329999999
McLennan,31718176.39
Lavaca,406005.75
Robertson,328894.29000000004
Shelby,3030597.63
Navarro,5722898.42
Sabine,2635896.5999999996
Reeves,3404.8900000000003
Wise,1768422.26
Washington,6306989.21
Williamson,2109034.9
Van Zandt,7432534.77
Childress,111202.53
Castro,328887.75
Donley,159601.97
Ellis,1891492.1300000004
Comanche,14876760.290000001
Falls,583457.98
Collin,8355117.28
Concho,9896.11
Coryell,2144544.3099999996
Erath,4739615.909999999
Bosque,3694489.98
Brewster,23954.56
Archer,1435230.3800000004
Cottle,214205.55
Collingsworth,204756.96000000002
Crockett,69247.28
Fisher,392059.92
Coke,2756.81
Andrews,141054.72
Dallam,2335.41
Dawson,543388.44
Pecos,62949.25
Scurry,39874.090000000004
Ochiltree,13782.28
Swisher,6343.06
Stonewall,7540.66
Hutchinson,71758.61
Howard,390412.66000000003
Hartley,86697.03
Hamilton,4609978.81
Wichita,2931507.5
Kent,46898.090000000004
Cochran,71546.94
Stephens,983741.2699999999
Lampasas,273738.96
Ward,0.0
Hale,16190.56
Mills,1703398.22
Shackelford,566132.8099999999
Llano,1650971.97
Hardeman,35824.82
Motley,70463.17
Starr,4128204.62
Throckmorton,1713801.52
Lipscomb,16383.37
Hood,785307.8200000001
Zapata,111811.14
Lee,466284.8
Terry,797121.69
Mitchell,19314.38
Wheeler,292963.95
Lynn,455808.23000000004
Nolan,102875.26
Clay,343495.0
Moore,73493.98
Palo Pinto,550485.9099999999
Parker,1888976.8599999999
Jack,741592.4
Young,1000924.4400000001
Irion,42610.46
Menard,347237.43
Tom Green,315805.74
Rockwall,38797.09
Sterling,42310.82
Reagan,32665.64
Sherman,2481.98
Hockley,377462.78
Yoakum,5490.11
Roberts,227266.25
McCulloch,3164034.5100000002
Haskell,561778.53
El Paso,9164005.290000003
Hudspeth,44975.2
Baylor,892795.63
Jim Hogg,265937.82
Runnels,380075.11000000004
Mason,531859.6699999999
Wilbarger,153287.28
Lamb,1103915.6199999999
Foard,231300.92
Culberson,51653.63
King,22369.88
Dickens,175375.91
Jeff Davis,85575.4
Glasscock,11427.09
Crane,18682.31
Presidio,43751.76
Winkler,24719.15
Sutton,141855.61
Martin,4574.14
Terrell,51957.06
Ector,155129.0
Rains,238379.43
Camp,12308.14
Somervell,337490.77999999997
Gaines,109286.15000000001
Knox,236824.83
Schleicher,20335.620000000003
