county,totalamount
nan,0.0
Statewide,253780967.92000002
Newport News (city),13892137.15
Westmoreland,1156915.46
Accomack,1926694.65
Hampton (city),20097882.3
Williamsburg (city),1371699.86
Portsmouth (city),13082800.34
Dinwiddie,547479.8899999999
King and Queen,66449.4
Norfolk (city),26199124.720000003
Franklin (city),6011841.100000001
Northumberland,281904.73000000004
Southampton,2803687.78
Prince George,1220371.56
James City,8835739.56
Middlesex,472400.55
Petersburg (city),3670211.07
Brunswick,404824.61
Sussex,565462.8300000001
Mathews,300290.49
Colonial Heights (city,1467133.81
Gloucester,936506.47
Surry,1760065.4200000002
Greensville,244162.75
Suffolk (city),7159138.220000001
Isle of Wight,4723427.329999998
Emporia (city),367431.08
Richmond,175235.03999999998
Virginia Beach (city),29577118.040000003
Hopewell (city),727115.95
Northampton,566994.9099999999
Chesapeake (city),20422009.970000003
Chesterfield,12916330.270000001
Lancaster,398909.29
York,9424210.67
Loudoun,3033119.5500000003
Fairfax,12971848.87
Manassas (city),930322.7799999999
Prince Edward,803170.1200000001
Campbell,6632.39
Nottoway,142114.87
Norton (city),168689.81
Prince William,1545659.8800000001
Fredericksburg (city),733389.8899999999
Halifax,437079.12000000005
Mecklenburg,891571.0700000001
Charlotte,104634.63
Lynchburg (city),1884134.8199999998
Frederick,252037.84000000003
Carroll,20663.489999999998
Bath,95028.77000000002
Arlington,11675846.610000001
Essex,188005.88999999998
Greene,62716.619999999995
Fairfax (city),1105482.44
Montgomery,435378.95
Louisa,42039161.71
Richmond (city),52083822.9
Roanoke,604323.65
Albemarle,494548.48000000004
Buchanan,4143272.389999999
Henrico,20734550.630000003
Page,282786.64999999997
King William,215093.63000000003
Orange,128867.06
Danville (city),7360968.600000001
Culpeper,1035502.0
Wythe,116847.9
Tazewell,601224.8999999999
Warren,435073.01
Rockingham,1680860.9400000002
Spotsylvania,622478.99
Alexandria (city),7631755.7700000005
Wise,750756.02
Scott,228517.81000000003
Smyth,182981.21
Russell,546808.61
Dickenson,402422.80000000005
Washington,12525.0
Lee,125819.38
Fauquier,862988.92
Roanoke (city),883066.6599999999
Shenandoah,303572.69000000006
Salem (city),228853.13
Manassas Park (city),426840.48
Winchester (city),1230180.98
Clarke,83267.56999999999
Falls Church (city),710145.6499999999
Henry,527131.28
Hanover,2537468.6900000004
Amherst,123403.96
Caroline,112225.33
Appomattox,23509.07
Amelia,55577.83
Augusta,418854.26
Buckingham,5841.4
Fluvanna,122366.52
Goochland,239756.45
Cumberland,11910.21
Charles City,138237.66999999998
King George,230280.32
Harrisonburg (city),216407.12
Bedford (city),132691.01
Pittsylvania,406161.41
Poquoson (city),3003353.0999999996
Powhatan,132484.01
Madison,45648.810000000005
Charlottesville (city),230297.34999999998
Rappahannock,8465.63
Stafford,940371.99
New Kent,1088105.0699999998
Lunenburg,67349.15
Rockbridge,86330.72
Nelson,16833.39
Buena Vista (city),43815.32
Waynesboro (city),219696.31
Staunton (city),288983.76
Alleghany,264216.19
Galax (city),485516.09
Radford (city),129997.14
Bedford,14719.05
Covington (city),111081.68
Botetourt,87794.65000000001
NaN,5497901.19
Bristol (city),3612.31
Craig,19431.239999999998
Pulaski,51571.64
Franklin,243917.11
Martinsville (city),391113.6
Lexington (city),184154.82
Giles,29590.51
Highland,44289.31
Grayson,22024.06
