county,totalamount
Statewide,22721903.31
Bayfield,6135466.15
Iron,4343422.44
Sawyer,656348.1
Price,10160.25
Rusk,1837065.81
Douglas,12871015.69
Vilas,186136.03
Ashland,2689130.3600000003
Florence,292099.72000000003
Oneida,450864.42
Adams,1373903.6900000002
Barron,1249923.46
Burnett,5775657.280000001
Dane,10098526.48
Crawford,9040524.36
Green,788308.01
Forest,91581.06
Grant,7078902.92
Jackson,1831053.9400000002
Iowa,2488216.88
Columbia,5837251.37
Juneau,4044238.5000000005
Milwaukee,21388615.74
Polk,2286851.8000000003
Lafayette,773197.76
Kenosha,2489205.0500000003
Monroe,6078716.909999999
Richland,4208020.7700000005
Sauk,7955574.719999999
Vernon,20112412.299999997
Washburn,1759285.47
Walworth,1817317.49
Clark,2539257.92
Calumet,343183.18999999994
Buffalo,1579842.71
Chippewa,424573.53
Dunn,176667.26
Portage,1601735.3800000001
St. Croix,467259.6699999999
Pepin,86922.66
Pierce,283483.73000000004
La Crosse,5044679.42
Outagamie,586778.01
Wood,2546361.13
Trempealeau,1753315.4400000002
Taylor,710594.7400000001
Waupaca,402691.05000000005
Winnebago,3535232.76
Waushara,319770.1
Marathon,1777275.88
Marinette,708500.3499999999
Dodge,3002936.2199999997
Green Lake,1960369.53
Fond du Lac,3117779.37
Marquette,654823.49
Jefferson,2286520.6200000006
Ozaukee,1384637.5799999998
Racine,1971759.2699999998
Rock,2201665.09
Waukesha,4081677.92
Sheboygan,607188.2500000001
Washington,1392622.9500000004
Kewaunee,40463.939999999995
Manitowoc,170464.72000000003
Door,59582.36
Langlade,136890.19
Menominee,16266.1
Oconto,66094.48999999999
Shawano,10087.13
