disasterNumber,county,year,incidentType,amountOblig
1316,Aleutians East,2000,Severe Storm(s),7535.63
1316,Statewide,2000,Severe Storm(s),239776.11
1316,Lake and Peninsula,2000,Severe Storm(s),46156.43
1316,Kenai Peninsula,2000,Severe Storm(s),328201.97
1316,Anchorage,2000,Severe Storm(s),558241.21
1316,Kenai Peninsula,2000,Severe Storm(s),463934.3
1316,Valdez-Cordova (CA),2000,Severe Storm(s),31699.25
1316,Valdez-Cordova (CA),2000,Severe Storm(s),167075.82
1316,Kenai Peninsula,2000,Severe Storm(s),580121.97
1316,Kenai Peninsula,2000,Severe Storm(s),0.0
1316,Lake and Peninsula,2000,Severe Storm(s),21495.75
1316,Statewide,2000,Severe Storm(s),9210.07
1316,Dillingham (CA),2000,Severe Storm(s),15485.21
1316,Aleutians East,2000,Severe Storm(s),2329.28
1316,Aleutians East,2000,Severe Storm(s),19763.67
1316,Kodiak Island,2000,Severe Storm(s),23809.41
1316,Kenai Peninsula,2000,Severe Storm(s),28911.16
1316,Southeast Fairbanks (C,2000,Severe Storm(s),11493.75
1316,Statewide,2000,Severe Storm(s),3352741.98
1316,Fairbanks North Star,2000,Severe Storm(s),181871.9
1316,Lake and Peninsula,2000,Severe Storm(s),27569.9
1316,Statewide,2000,Severe Storm(s),215879.45
1316,Aleutians East,2000,Severe Storm(s),18473.1
1316,Aleutians East,2000,Severe Storm(s),6115.5
1316,Anchorage,2000,Severe Storm(s),6435.75
1316,Kenai Peninsula,2000,Severe Storm(s),9785.34
1316,Lake and Peninsula,2000,Severe Storm(s),1814.4
1316,Fairbanks North Star,2000,Severe Storm(s),37139.21
1316,Statewide,2000,Severe Storm(s),532282.35
1316,Lake and Peninsula,2000,Severe Storm(s),0.0
1316,Lake and Peninsula,2000,Severe Storm(s),2895.9
1316,Statewide,2000,Severe Storm(s),29170.71
1316,Valdez-Cordova (CA),2000,Severe Storm(s),4049.84
1316,Anchorage,2000,Severe Storm(s),874807.47
1316,Lake and Peninsula,2000,Severe Storm(s),0.0
1316,Valdez-Cordova (CA),2000,Severe Storm(s),24804.83
1316,Statewide,2000,Severe Storm(s),111179.99
1316,Bristol Bay,2000,Severe Storm(s),550038.89
1316,Valdez-Cordova (CA),2000,Severe Storm(s),106028.63
1316,Valdez-Cordova (CA),2000,Severe Storm(s),2201.25
1316,Kenai Peninsula,2000,Severe Storm(s),12713.2
1316,Lake and Peninsula,2000,Severe Storm(s),44215.5
1316,Lake and Peninsula,2000,Severe Storm(s),4716.0
1316,Statewide,2000,Severe Storm(s),59791.47
1316,Bethel (CA),2000,Severe Storm(s),14128.09
1316,Lake and Peninsula,2000,Severe Storm(s),5914.5
1316,Kenai Peninsula,2000,Severe Storm(s),8178.02
1316,Valdez-Cordova (CA),2000,Severe Storm(s),49077.34
1316,Matanuska-Susitna,2000,Severe Storm(s),319567.83
1316,Dillingham (CA),2000,Severe Storm(s),18783.94
1316,Lake and Peninsula,2000,Severe Storm(s),5257.16
1316,Valdez-Cordova (CA),2000,Severe Storm(s),232453.86
1316,Lake and Peninsula,2000,Severe Storm(s),975.0
1316,Kenai Peninsula,2000,Severe Storm(s),36654.23
1316,Dillingham (CA),2000,Severe Storm(s),6131.99
1316,Statewide,2000,Severe Storm(s),837410.78
1316,Matanuska-Susitna,2000,Severe Storm(s),35606.84
1316,Statewide,2000,Severe Storm(s),51493.13
1316,Aleutians East,2000,Severe Storm(s),12165.71
1316,Valdez-Cordova (CA),2000,Severe Storm(s),2286.38
1316,Valdez-Cordova (CA),2000,Severe Storm(s),20046.75
1316,Matanuska-Susitna,2000,Severe Storm(s),15947.25
1423,Statewide,2002,Flood,186598.27
1423,Bethel (CA),2002,Flood,31267.5
1423,Bethel (CA),2002,Flood,54333.37
1423,Bethel (CA),2002,Flood,91688.25
1423,Wade Hampton (CA),2002,Flood,109186.53
1423,Fairbanks North Star,2002,Flood,0.0
1423,Yukon-Koyukuk (CA),2002,Flood,23945.0
1423,Fairbanks North Star,2002,Flood,15874.37
1423,Statewide,2002,Flood,33923.46
1423,Statewide,2002,Flood,360483.06
1423,Statewide,2002,Flood,406280.25
1423,Bethel (CA),2002,Flood,876.98
1423,Wade Hampton (CA),2002,Flood,1015.2
1423,Wade Hampton (CA),2002,Flood,108003.69
1423,Bethel (CA),2002,Flood,48088.78
1423,Bethel (CA),2002,Flood,14565.75
1423,Statewide,2002,Flood,0.0
1423,Bethel (CA),2002,Flood,3870.0
1423,Bethel (CA),2002,Flood,35035.5
1423,Bethel (CA),2002,Flood,1593826.72
1423,Dillingham (CA),2002,Flood,0.0
1423,Bethel (CA),2002,Flood,7547.25
1423,Fairbanks North Star,2002,Flood,18669.35
1440,Southeast Fairbanks (C,2002,Earthquake,179735.7
1440,Yukon-Koyukuk (CA),2002,Earthquake,3723.88
1440,Statewide,2002,Earthquake,16280108.47
1440,Valdez-Cordova (CA),2002,Earthquake,8275.5
1440,Southeast Fairbanks (C,2002,Earthquake,67361.25
1440,Statewide,2002,Earthquake,1734.14
1440,Valdez-Cordova (CA),2002,Earthquake,162756.16
1440,Southeast Fairbanks (C,2002,Earthquake,109010.4
1440,Statewide,2002,Earthquake,23076.0
1440,Valdez-Cordova (CA),2002,Earthquake,116673.36
1440,Southeast Fairbanks (C,2002,Earthquake,10818.8
1445,Kenai Peninsula,2002,Severe Storm(s),567132.45
1445,Kenai Peninsula,2002,Severe Storm(s),6747.68
1445,Kodiak Island,2002,Severe Storm(s),1461147.22
1445,Statewide,2002,Severe Storm(s),2305213.63
1445,Lake and Peninsula,2002,Severe Storm(s),1484.44
1445,Kenai Peninsula,2002,Severe Storm(s),889282.01
1445,Statewide,2002,Severe Storm(s),8749.34
1445,Kodiak Island,2002,Severe Storm(s),3676.34
1445,Statewide,2002,Severe Storm(s),1409318.72
1445,Kenai Peninsula,2002,Severe Storm(s),82049.45
1445,Lake and Peninsula,2002,Severe Storm(s),76136.6
1445,Kenai Peninsula,2002,Severe Storm(s),356491.75
1445,Kodiak Island,2002,Severe Storm(s),3134.51
1445,Statewide,2002,Severe Storm(s),304207.22
1445,Lake and Peninsula,2002,Severe Storm(s),251794.37
1445,Kodiak Island,2002,Severe Storm(s),24022.96
1445,Kenai Peninsula,2002,Severe Storm(s),27926.92
1445,Kodiak Island,2002,Severe Storm(s),13510.21
1445,Kenai Peninsula,2002,Severe Storm(s),15970.02
1440,Statewide,2002,Earthquake,672293.22
1445,Kenai Peninsula,2002,Severe Storm(s),773.7
1445,Statewide,2002,Severe Storm(s),520501.17
1440,Valdez-Cordova (CA),2002,Earthquake,323061.96
1445,Statewide,2002,Severe Storm(s),91215.4
1445,Kenai Peninsula,2002,Severe Storm(s),0.0
1445,Kodiak Island,2002,Severe Storm(s),12640.26
1445,Kenai Peninsula,2002,Severe Storm(s),19615.5
1461,Statewide,2003,Severe Storm(s),128727.4
1461,Statewide,2003,Severe Storm(s),0.0
1461,Statewide,2003,Severe Storm(s),159251.2
1461,Statewide,2003,Severe Storm(s),91537.79
1461,Kenai Peninsula,2003,Severe Storm(s),216154.87
1461,Matanuska-Susitna,2003,Severe Storm(s),16329.58
1461,Matanuska-Susitna,2003,Severe Storm(s),1477.05
1461,Statewide,2003,Severe Storm(s),33038.64
1461,Matanuska-Susitna,2003,Severe Storm(s),20772.58
1461,Matanuska-Susitna,2003,Severe Storm(s),443258.78
1461,Anchorage,2003,Severe Storm(s),2449.5
1461,Matanuska-Susitna,2003,Severe Storm(s),15006.41
1461,Statewide,2003,Severe Storm(s),35249.75
1461,Matanuska-Susitna,2003,Severe Storm(s),1387.65
1461,Statewide,2003,Severe Storm(s),29382.33
1461,Matanuska-Susitna,2003,Severe Storm(s),5272.93
1461,Anchorage,2003,Severe Storm(s),148364.95
1461,Statewide,2003,Severe Storm(s),5650.78
1461,Anchorage,2003,Severe Storm(s),250958.82
1461,Kenai Peninsula,2003,Severe Storm(s),21537.26
1461,Matanuska-Susitna,2003,Severe Storm(s),202410.88
1571,Nome (CA),2004,Severe Storm(s),111468.59
