disasterNumber,county,declarationDate,incidentType,amountOblig
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),23263.3
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),349.92
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),0.0
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),470305.59
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),234637.04
1473,Eastern,2003-06-06T00:00:00.000Z,Severe Storm(s),0.0
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),74750.28
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),43697.45
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),3674.87
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),6925.22
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),1940.78
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),441536.54
1473,Eastern,2003-06-06T00:00:00.000Z,Severe Storm(s),0.0
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),117650.27
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),14965.2
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),0.0
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),2246.69
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),13142.03
1473,Statewide,2003-06-06T00:00:00.000Z,Severe Storm(s),0.0
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,214134.39
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,2494203.7
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,22885.97
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,40.5
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,186387.91
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,277916.16
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,43461.0
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,13279.76
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,359413.15
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,270955.85
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,61068.83
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,1044.0
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,2045051.82
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,18800.1
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,107786.38
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,35490.94
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,354405.15
1506,Western,2004-01-13T00:00:00.000Z,Typhoon,64640.16
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,4087217.66
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,403531.22
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,17708.4
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,0.0
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,7123.85
1506,Western,2004-01-13T00:00:00.000Z,Typhoon,31908.98
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,2083.5
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,28593.31
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,25182.0
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,619079.25
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,41026.73
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,41968.8
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,11510.1
1506,Statewide,2004-01-13T00:00:00.000Z,Typhoon,1174.51
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,56226.98
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,413114.83
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,11499.04
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,10425.6
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,2967798.59
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,0.0
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,366559.7
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,14529.25
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,128277.26
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,7670.04
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,6534.61
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,10617.3
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,679577.92
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,649349.46
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,58764.53
1582,Statewide,2005-02-18T00:00:00.000Z,Typhoon,112665.17
