disasterNumber,county,declarationDate,incidentType,amountOblig
1266,White,1999-01-23T00:00:00.000Z,Severe Storm(s),261826.32
1266,Statewide,1999-01-23T00:00:00.000Z,Severe Storm(s),35579.0
1266,White,1999-01-23T00:00:00.000Z,Severe Storm(s),528451.58
1266,Pulaski,1999-01-23T00:00:00.000Z,Severe Storm(s),1674.61
1266,St. Francis,1999-01-23T00:00:00.000Z,Severe Storm(s),26853.25
1266,White,1999-01-23T00:00:00.000Z,Severe Storm(s),16372.5
1266,Greene,1999-01-23T00:00:00.000Z,Severe Storm(s),76344.31
1266,Randolph,1999-01-23T00:00:00.000Z,Severe Storm(s),17841.5
1266,Columbia,1999-01-23T00:00:00.000Z,Severe Storm(s),179938.84
1266,Statewide,1999-01-23T00:00:00.000Z,Severe Storm(s),26331.98
1266,Drew,1999-01-23T00:00:00.000Z,Severe Storm(s),55020.38
1266,White,1999-01-23T00:00:00.000Z,Severe Storm(s),180217.52
1266,Saline,1999-01-23T00:00:00.000Z,Severe Storm(s),11035.07
1266,Jackson,1999-01-23T00:00:00.000Z,Severe Storm(s),4161.24
1266,Chicot,1999-01-23T00:00:00.000Z,Severe Storm(s),36031.34
1266,Statewide,1999-01-23T00:00:00.000Z,Severe Storm(s),6412.5
1266,Miller,1999-01-23T00:00:00.000Z,Severe Storm(s),119407.73
1266,White,1999-01-23T00:00:00.000Z,Severe Storm(s),426440.52
1266,Independence,1999-01-23T00:00:00.000Z,Severe Storm(s),117341.25
1266,Monroe,1999-01-23T00:00:00.000Z,Severe Storm(s),55902.0
1266,Statewide,1999-01-23T00:00:00.000Z,Severe Storm(s),101928.98
1266,Pulaski,1999-01-23T00:00:00.000Z,Severe Storm(s),24841.02
1266,Independence,1999-01-23T00:00:00.000Z,Severe Storm(s),88217.89
1266,Pulaski,1999-01-23T00:00:00.000Z,Severe Storm(s),75000.0
1266,Bradley,1999-01-23T00:00:00.000Z,Severe Storm(s),32330.26
1266,Clay,1999-01-23T00:00:00.000Z,Severe Storm(s),5950.62
1266,Miller,1999-01-23T00:00:00.000Z,Severe Storm(s),21105.0
1266,White,1999-01-23T00:00:00.000Z,Severe Storm(s),127395.51
1266,Pulaski,1999-01-23T00:00:00.000Z,Severe Storm(s),7608.0
1266,White,1999-01-23T00:00:00.000Z,Severe Storm(s),2675.25
1266,Pulaski,1999-01-23T00:00:00.000Z,Severe Storm(s),3482504.24
1266,Pulaski,1999-01-23T00:00:00.000Z,Severe Storm(s),8073.87
1266,Saline,1999-01-23T00:00:00.000Z,Severe Storm(s),88375.05
1266,Statewide,1999-01-23T00:00:00.000Z,Severe Storm(s),10615.8
1266,Clay,1999-01-23T00:00:00.000Z,Severe Storm(s),7500.0
1266,Statewide,1999-01-23T00:00:00.000Z,Severe Storm(s),20284.28
1266,Clay,1999-01-23T00:00:00.000Z,Severe Storm(s),2359.37
1266,Jackson,1999-01-23T00:00:00.000Z,Severe Storm(s),750.0
1266,Statewide,1999-01-23T00:00:00.000Z,Severe Storm(s),267368.0
1266,Jackson,1999-01-23T00:00:00.000Z,Severe Storm(s),62251.54
1266,Pulaski,1999-01-23T00:00:00.000Z,Severe Storm(s),14149.5
1266,Clay,1999-01-23T00:00:00.000Z,Severe Storm(s),15750.0
1266,Pulaski,1999-01-23T00:00:00.000Z,Severe Storm(s),187524.0
1266,Statewide,1999-01-23T00:00:00.000Z,Severe Storm(s),3750.0
1266,Statewide,1999-01-23T00:00:00.000Z,Severe Storm(s),61627.5
