disasterNumber,county,year,incidentType,amountOblig
1498,Los Angeles,2003,Fire,29637.88
1498,Los Angeles,2003,Fire,2576.51
1498,San Bernardino,2003,Fire,88684.5
1498,Los Angeles,2003,Fire,511332.78
1498,San Diego,2003,Fire,43368.33
1498,San Diego,2003,Fire,29508.0
1498,Los Angeles,2003,Fire,23687.02
1498,San Diego,2003,Fire,58429.9
1498,San Bernardino,2003,Fire,10242.13
1498,San Diego,2003,Fire,273.08
1498,San Diego,2003,Fire,1500.0
1498,San Bernardino,2003,Fire,8316.47
1498,Los Angeles,2003,Fire,6970.85
1498,San Diego,2003,Fire,4806.0
1498,San Bernardino,2003,Fire,4656.19
1498,San Bernardino,2003,Fire,3510.71
1498,San Diego,2003,Fire,23534.9
1498,Los Angeles,2003,Fire,2613.43
1498,San Diego,2003,Fire,0.0
1498,Los Angeles,2003,Fire,43437.04
1498,San Bernardino,2003,Fire,29689.65
1498,San Bernardino,2003,Fire,2806.25
1498,San Diego,2003,Fire,4818.22
1498,San Bernardino,2003,Fire,1039076.86
1498,San Bernardino,2003,Fire,15866.77
1498,Los Angeles,2003,Fire,350985.17
1498,San Diego,2003,Fire,4806.0
1498,San Bernardino,2003,Fire,0.0
1498,San Diego,2003,Fire,19632.75
1498,San Diego,2003,Fire,75232.31
1498,San Bernardino,2003,Fire,91230.35
1498,San Bernardino,2003,Fire,3161.15
1498,San Diego,2003,Fire,1005.75
1498,San Diego,2003,Fire,3028.73
1498,San Diego,2003,Fire,0.0
1498,San Diego,2003,Fire,0.0
1498,San Bernardino,2003,Fire,11571.61
1498,San Bernardino,2003,Fire,1548.75
1498,San Diego,2003,Fire,0.0
1498,San Bernardino,2003,Fire,40013.31
1498,San Bernardino,2003,Fire,0.0
1498,San Bernardino,2003,Fire,9742417.13
1498,Los Angeles,2003,Fire,76924.97
1498,Los Angeles,2003,Fire,4665296.92
1498,Los Angeles,2003,Fire,14641.03
1498,Los Angeles,2003,Fire,2283.59
1498,San Diego,2003,Fire,12696.27
1498,Los Angeles,2003,Fire,1054.25
1498,San Diego,2003,Fire,0.0
1498,San Bernardino,2003,Fire,7089.71
1498,San Bernardino,2003,Fire,41443.76
1498,San Diego,2003,Fire,13016.79
1498,San Diego,2003,Fire,18750.0
1498,Los Angeles,2003,Fire,2858.38
1498,San Diego,2003,Fire,21912.79
1498,Los Angeles,2003,Fire,31041.61
1498,Riverside,2003,Fire,18836.4
1498,San Bernardino,2003,Fire,13231.92
1498,San Bernardino,2003,Fire,35472.65
1498,San Bernardino,2003,Fire,40303.1
1498,San Diego,2003,Fire,35900.92
1498,San Diego,2003,Fire,36574.21
1498,San Bernardino,2003,Fire,353570.11
1498,San Diego,2003,Fire,61599.15
1498,San Bernardino,2003,Fire,472799.47
1498,San Diego,2003,Fire,0.0
1498,San Bernardino,2003,Fire,1740.96
1498,San Bernardino,2003,Fire,4237.43
1498,San Bernardino,2003,Fire,3054.13
1498,San Bernardino,2003,Fire,5960.53
1498,Los Angeles,2003,Fire,17865.05
1498,San Bernardino,2003,Fire,15218.71
