disasterNumber,county,declarationDate,incidentType,amountOblig
1276,Weld,1999-05-17T00:00:00.000Z,Severe Storm(s),4503.05
1276,Bent,1999-05-17T00:00:00.000Z,Severe Storm(s),37481.59
1276,Otero,1999-05-17T00:00:00.000Z,Severe Storm(s),2883.75
1276,Statewide,1999-05-17T00:00:00.000Z,Severe Storm(s),56869.74
1276,Larimer,1999-05-17T00:00:00.000Z,Severe Storm(s),45339.76
1276,Crowley,1999-05-17T00:00:00.000Z,Severe Storm(s),16110.65
1276,Pueblo,1999-05-17T00:00:00.000Z,Severe Storm(s),19408.5
1276,Larimer,1999-05-17T00:00:00.000Z,Severe Storm(s),32921.45
1276,Statewide,1999-05-17T00:00:00.000Z,Severe Storm(s),129509.9
1276,Otero,1999-05-17T00:00:00.000Z,Severe Storm(s),20952.47
1276,El Paso,1999-05-17T00:00:00.000Z,Severe Storm(s),162918.13
1276,Otero,1999-05-17T00:00:00.000Z,Severe Storm(s),21944.16
1276,Las Animas,1999-05-17T00:00:00.000Z,Severe Storm(s),12637.5
1276,Pueblo,1999-05-17T00:00:00.000Z,Severe Storm(s),150212.24
1276,El Paso,1999-05-17T00:00:00.000Z,Severe Storm(s),750.0
1276,Weld,1999-05-17T00:00:00.000Z,Severe Storm(s),78460.0
1276,Bent,1999-05-17T00:00:00.000Z,Severe Storm(s),0.0
1276,Weld,1999-05-17T00:00:00.000Z,Severe Storm(s),24742.31
1276,Custer,1999-05-17T00:00:00.000Z,Severe Storm(s),13903.8
1276,El Paso,1999-05-17T00:00:00.000Z,Severe Storm(s),2436827.04
1276,Crowley,1999-05-17T00:00:00.000Z,Severe Storm(s),180757.67
1276,El Paso,1999-05-17T00:00:00.000Z,Severe Storm(s),96934.69
1276,Kiowa,1999-05-17T00:00:00.000Z,Severe Storm(s),106351.25
1276,Otero,1999-05-17T00:00:00.000Z,Severe Storm(s),2586.28
1276,Weld,1999-05-17T00:00:00.000Z,Severe Storm(s),149484.47
1276,El Paso,1999-05-17T00:00:00.000Z,Severe Storm(s),19537.5
1276,El Paso,1999-05-17T00:00:00.000Z,Severe Storm(s),0.0
1276,El Paso,1999-05-17T00:00:00.000Z,Severe Storm(s),0.0
1276,Bent,1999-05-17T00:00:00.000Z,Severe Storm(s),28065.48
1276,Larimer,1999-05-17T00:00:00.000Z,Severe Storm(s),0.0
1276,Las Animas,1999-05-17T00:00:00.000Z,Severe Storm(s),54343.11
1276,Crowley,1999-05-17T00:00:00.000Z,Severe Storm(s),35467.61
1276,El Paso,1999-05-17T00:00:00.000Z,Severe Storm(s),167955.08
1276,El Paso,1999-05-17T00:00:00.000Z,Severe Storm(s),8073.75
1276,Pueblo,1999-05-17T00:00:00.000Z,Severe Storm(s),141357.82
1276,El Paso,1999-05-17T00:00:00.000Z,Severe Storm(s),6290.25
1276,Elbert,1999-05-17T00:00:00.000Z,Severe Storm(s),107550.18
1276,El Paso,1999-05-17T00:00:00.000Z,Severe Storm(s),27454.76
1276,Fremont,1999-05-17T00:00:00.000Z,Severe Storm(s),16958.25
1276,Otero,1999-05-17T00:00:00.000Z,Severe Storm(s),147197.68
