disasterNumber,county,declarationDate,incidentType,amountOblig
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,1776.73
1302,Statewide,1999-09-23T00:00:00.000Z,Hurricane,88092.22
1302,Hartford,1999-09-23T00:00:00.000Z,Hurricane,6552.2
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,13361.1
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,9791.25
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,399182.91
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,84005.48
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,236228.67
1302,Hartford,1999-09-23T00:00:00.000Z,Hurricane,3956.66
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,116524.14
1302,Hartford,1999-09-23T00:00:00.000Z,Hurricane,5074.91
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,36107.67
1302,Hartford,1999-09-23T00:00:00.000Z,Hurricane,8194.11
1302,Hartford,1999-09-23T00:00:00.000Z,Hurricane,29372.76
1302,Hartford,1999-09-23T00:00:00.000Z,Hurricane,49484.22
1302,Litchfield,1999-09-23T00:00:00.000Z,Hurricane,2359.5
1302,Hartford,1999-09-23T00:00:00.000Z,Hurricane,1053.99
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,23555.25
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,35638.41
1302,Litchfield,1999-09-23T00:00:00.000Z,Hurricane,10144.1
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,0.0
1302,Hartford,1999-09-23T00:00:00.000Z,Hurricane,23877.86
1302,Hartford,1999-09-23T00:00:00.000Z,Hurricane,4156.22
1302,Hartford,1999-09-23T00:00:00.000Z,Hurricane,178937.21
1302,Hartford,1999-09-23T00:00:00.000Z,Hurricane,45499.28
1302,Hartford,1999-09-23T00:00:00.000Z,Hurricane,5274.71
1302,Litchfield,1999-09-23T00:00:00.000Z,Hurricane,9424.28
1302,Hartford,1999-09-23T00:00:00.000Z,Hurricane,29689.69
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,17473.76
1302,Statewide,1999-09-23T00:00:00.000Z,Hurricane,115181.74
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,7466.15
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,13148.92
1302,Fairfield,1999-09-23T00:00:00.000Z,Hurricane,14575.5
1302,Litchfield,1999-09-23T00:00:00.000Z,Hurricane,25582.05
