disasterNumber,county,year,incidentType,amountOblig
1297,New Castle,1999,Hurricane,3939.75
1297,New Castle,1999,Hurricane,7955.95
1297,Statewide,1999,Hurricane,500186.17
1297,New Castle,1999,Hurricane,7723.77
1297,New Castle,1999,Hurricane,6063.08
1297,New Castle,1999,Hurricane,1319.6
1297,New Castle,1999,Hurricane,1623095.19
1297,New Castle,1999,Hurricane,1886.25
1297,Statewide,1999,Hurricane,35824.5
1297,New Castle,1999,Hurricane,2972.2
1297,Statewide,1999,Hurricane,23460.78
1297,New Castle,1999,Hurricane,5625.0
1297,Statewide,1999,Hurricane,20619.0
1297,New Castle,1999,Hurricane,2192.0
1297,New Castle,1999,Hurricane,19921.5
1297,Statewide,1999,Hurricane,46558.52
1297,Statewide,1999,Hurricane,7188.74
1297,Statewide,1999,Hurricane,6741.75
1297,New Castle,1999,Hurricane,0.0
1297,New Castle,1999,Hurricane,123712.43
1297,New Castle,1999,Hurricane,34035.86
1297,New Castle,1999,Hurricane,375.0
1297,New Castle,1999,Hurricane,3424.5
1297,Statewide,1999,Hurricane,8734.5
1297,New Castle,1999,Hurricane,8889.58
1297,Statewide,1999,Hurricane,6356.72
1297,Statewide,1999,Hurricane,44742.57
1297,New Castle,1999,Hurricane,693589.86
1494,Kent,2003,Hurricane,2316.0
1494,Kent,2003,Hurricane,3868.5
1494,Kent,2003,Hurricane,1794.62
1494,Kent,2003,Hurricane,2135.12
1494,Kent,2003,Hurricane,7261.27
1494,Kent,2003,Hurricane,2700.0
1494,Kent,2003,Hurricane,34867.5
1494,Kent,2003,Hurricane,4823.85
1494,Sussex,2003,Hurricane,3512.2
1494,New Castle,2003,Hurricane,2800.67
1494,New Castle,2003,Hurricane,1187.21
1494,New Castle,2003,Hurricane,14504.75
1494,New Castle,2003,Hurricane,82370.06
1494,Sussex,2003,Hurricane,9493.85
1494,New Castle,2003,Hurricane,164895.75
1494,Kent,2003,Hurricane,3788.18
1494,Kent,2003,Hurricane,1875.0
1494,Kent,2003,Hurricane,1103.02
1494,Kent,2003,Hurricane,1749.14
1494,New Castle,2003,Hurricane,18419.52
1494,New Castle,2003,Hurricane,12427.52
1494,New Castle,2003,Hurricane,2740.05
1494,Statewide,2003,Hurricane,68469.23
1494,Statewide,2003,Hurricane,1457.25
1494,New Castle,2003,Hurricane,1687.27
1494,Statewide,2003,Hurricane,8498.25
1494,Sussex,2003,Hurricane,8180.09
1494,Sussex,2003,Hurricane,13850.39
1494,New Castle,2003,Hurricane,6799.81
1494,Sussex,2003,Hurricane,3537.68
1494,Statewide,2003,Hurricane,125889.88
1494,New Castle,2003,Hurricane,5419.29
1494,New Castle,2003,Hurricane,8754.05
1494,New Castle,2003,Hurricane,2586.87
1494,Statewide,2003,Hurricane,32659.55
1494,Statewide,2003,Hurricane,35310.75
1494,New Castle,2003,Hurricane,2652.0
1494,Kent,2003,Hurricane,1988.01
1494,Sussex,2003,Hurricane,1584.0
1494,Sussex,2003,Hurricane,2684.3
1494,New Castle,2003,Hurricane,8277.25
1494,Statewide,2003,Hurricane,80627.33
1494,New Castle,2003,Hurricane,18552.75
1494,New Castle,2003,Hurricane,18687.52
1494,New Castle,2003,Hurricane,1140.75
1494,Sussex,2003,Hurricane,7693.01
1494,New Castle,2003,Hurricane,5575.5
1494,Sussex,2003,Hurricane,10228.85
1494,Kent,2003,Hurricane,375.0
1494,Kent,2003,Hurricane,2212.5
1494,Kent,2003,Hurricane,25242.3
1494,New Castle,2003,Hurricane,1579.66
1494,New Castle,2003,Hurricane,9919.5
1494,Sussex,2003,Hurricane,16046.14
1494,Sussex,2003,Hurricane,2970.42
1494,New Castle,2003,Hurricane,6775.72
1494,Kent,2003,Hurricane,1826.76
1494,Sussex,2003,Hurricane,1016.65
1494,New Castle,2003,Hurricane,84912.75
1494,Kent,2003,Hurricane,1637.28
1494,Kent,2003,Hurricane,11664.76
1494,Sussex,2003,Hurricane,1793.52
1494,New Castle,2003,Hurricane,201100.12
1494,Sussex,2003,Hurricane,7893.77
1494,Sussex,2003,Hurricane,1153.25
1494,Sussex,2003,Hurricane,2925.89
1495,New Castle,2003,Hurricane,7329072.9
1494,Sussex,2003,Hurricane,136104.58
1494,Sussex,2003,Hurricane,27579.17
1494,Sussex,2003,Hurricane,13971.29
1495,Statewide,2003,Hurricane,8718.75
1495,New Castle,2003,Hurricane,3548.12
1494,New Castle,2003,Hurricane,5520.83
1495,New Castle,2003,Hurricane,6663.0
1495,New Castle,2003,Hurricane,65112.67
1494,Kent,2003,Hurricane,104750.45
1494,Statewide,2003,Hurricane,55958.25
1495,Statewide,2003,Hurricane,773267.58
1494,Sussex,2003,Hurricane,3155.25
1494,Sussex,2003,Hurricane,8512.08
1494,Sussex,2003,Hurricane,2367.82
1495,New Castle,2003,Hurricane,5409.05
1494,Statewide,2003,Hurricane,22435.5
1495,New Castle,2003,Hurricane,2587.78
1495,Statewide,2003,Hurricane,37053.02
1495,New Castle,2003,Hurricane,199852.11
1494,Statewide,2003,Hurricane,54161.85
